dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.075,GHCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,GHCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,GHCP,10,0.925,0.967,0.17872588772459053,0.005648982209212561,1000.0,15.161608262712614,3.1358664088914288,0.09916480290109805,14.712527377021736,12.905623585089614,16.977594226499672,7.513519558118155,26.308727803380727,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP,15,0.925,0.952,0.21387319079712103,0.006759881655768837,1000.0,11.55045751459789,2.2662914812464106,0.0716664292257543,11.253652928674136,9.926933637520307,12.853949969339338,6.12991861520954,19.581865063421944,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP,20,0.925,0.915,0.27902124086322333,0.008819013550278736,1000.0,8.579085195054086,1.5282943557901905,0.048328910994767445,8.42050423376422,7.512792403293808,9.48884282720122,5.184374791396344,14.449694585695909,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP,25,0.925,0.929,0.2569533518462544,0.008121514637061239,1000.0,8.00342965273665,2.862468927199879,0.09051921541410324,7.576414586756497,5.870310698776074,9.563892307322059,2.4986496420212188,21.272753800805464,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP,30,0.925,0.929,0.25695335184625445,0.008121514637061239,1000.0,7.700236322833103,2.5957468895597127,0.08208472400306237,7.370175471354665,5.778218934826541,9.163094387511489,2.663204488544107,20.32599865118537,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP,35,0.925,0.941,0.2357426023750789,0.007451107300260817,1000.0,7.696725329638499,2.4899116892019633,0.07873792110555482,7.417797470854569,5.832615800386572,9.136870932553716,2.8200497363091053,19.41288620529723,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,GHCP no within,5,0.925,0.97,0.17067257872642908,0.0053944415837044735,1000.0,34.55619950087391,8.421988227298188,0.26632665225386154,33.85996974831498,28.672041715420054,39.56381870923226,13.337186481766617,67.91588433279333,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,10,0.925,0.937,0.24308453280719053,0.007683163410991592,1000.0,32.068922133633755,8.17962908809597,0.25866258333749337,31.43977471978957,26.38391101247735,37.1749480675008,11.957715989082129,63.80544018146193,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,15,0.925,0.924,0.2651307117146075,0.008379976133617564,1000.0,30.628144405843187,8.021122723709997,0.2536501719865707,29.514438749677343,25.155871709188922,35.72383922099063,11.290483996081718,62.32120619177198,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,20,0.925,0.908,0.28917057184232914,0.009139803061335619,1000.0,29.339227080647376,7.773897584312342,0.24583222663307852,28.302353510531944,24.085078222259526,34.09338753761048,10.35993167233446,57.904268999935965,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,25,0.925,0.956,0.2051977244174655,0.006485676526007139,1000.0,17.18985130000198,8.790506638307626,0.27798022763882047,15.54443910686398,10.211575953018114,22.33813396564847,3.166724660532381,49.63622124975093,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,30,0.925,0.931,0.2535809600567505,0.008014923580421711,1000.0,16.273536668479107,8.70199942526995,0.2751813838132924,14.635426281701333,9.327856043213224,21.39755636574597,2.775225647312883,49.31576692878808,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,GHCP no within,35,0.925,0.941,0.2357426023750789,0.007451107300260817,1000.0,16.47580461090123,8.724190487782232,0.2758831268256723,14.795019710675842,9.486084492069605,21.730587380393487,2.8422576394659975,49.31576692878808,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,10,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,15,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,20,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,25,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,30,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,HCP,35,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,Std-CP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.075,Std-CP,5,0.925,0.741,0.4383048152953731,0.013853483316480371,1000.0,6.469145226873996,4.893547524281552,0.15474756015007832,5.207219107056863,3.556442537027942,7.980404463449145,0.6013195741254342,60.762112628236224,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,10,0.925,0.834,0.37226681638655706,0.011766222843376714,1000.0,89.58035405775618,1036.8982075401054,32.78960037572711,11.659591439365649,6.799269634497088,24.726657785904052,0.5344939608710906,30318.625542312628,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,15,0.925,0.891,0.3117951510466707,0.009854897259738428,1000.0,9.179306097546089,6.659229243110442,0.21058331869428137,7.507978733874267,5.292988172665932,10.810353636893499,1.9301179481303643,86.93945689193266,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,20,0.925,0.897,0.304110972316823,0.009612023720320294,1000.0,6.801589151206143,2.8945411794986566,0.09153342908366033,6.200737609411845,4.772698494383981,8.210104186893691,1.8168185819184048,26.578315039489112,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,25,0.925,0.929,0.25695335184625445,0.008121514637061239,1000.0,6.754456730991766,2.3768950952764882,0.0751640226035663,6.399965011987058,5.046480115199997,8.084289790310365,2.188390545245671,17.214348181311713,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,30,0.925,0.945,0.22809433799861636,0.007209368904418752,1000.0,6.427457269958661,2.176733935355008,0.06883437095903544,6.1770010147026975,4.844004866845587,7.542606122542793,2.131699899261534,16.386415905727137,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,Std-CP,35,0.925,0.955,0.2074078542823729,0.00655553201502365,1000.0,6.447725856275052,2.1142253896702203,0.06685767718314925,6.1161892377747265,4.9101533548852885,7.547636626789858,2.447042146188286,16.50574853006941,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,0,0.9,0.943,0.23195862735583866,0.007331507348424336,1000.0,33.445632088568104,8.090856898614943,0.2558553602210925,32.57750452074665,27.87623518978443,38.55732951774499,13.187523300121953,62.08559894300714,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,5,0.9,0.946,0.22613079209858866,0.0071473071852271785,1000.0,20.873664680327405,4.789553526770772,0.15145898119887885,20.464270186346912,17.438504810432356,23.83685645314295,9.741985472166885,38.65864545532731,1000.0,1000.0,0.0,1.0,0.0
