puma,N_j,y_mean,y_sd,income_mean,income_sd,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_<HS,prop_educ_SomeCollege,prop_educ_HS,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75
101,67,99121.64179104478,105438.85784772792,99121.64179104478,105438.85784772792,37.43283582089552,9.392491973519956,46.82089552238806,9.570987367345582,8.298507462686567,6.329380565635189,1488.1194029850747,739.3934353195041,0.44776119402985076,0.6865671641791045,0.8805970149253731,0.04477611940298507,0.05970149253731343,0.014925373134328358,1.3432835820895523,601.1786854381029,87453.13023703614,-47411.82935118729,-17471.101637203363,4132.898007711274
102,74,71861.21621621621,78133.12241967872,71861.21621621621,78133.12241967872,35.16216216216216,8.570460621286024,43.62162162162162,8.52506811558808,9.054054054054054,5.071791156118784,1308.837837837838,659.6038459690626,0.47297297297297297,0.5675675675675675,0.6081081081081081,0.13513513513513514,0.12162162162162163,0.13513513513513514,1.445945945945946,-3321.2020443384645,75194.07305913488,-32223.50844956057,-11395.395341438747,6932.000456057284
103,25,90208.0,61260.93725477381,90208.0,61260.93725477381,37.8,7.297259759663213,43.24,6.186544539024458,10.8,5.024937810560445,1479.96,582.2059687086693,0.4,0.72,0.64,0.12,0.12,0.12,1.28,1891.142616075296,58695.802406797506,-22260.275205905287,1039.8287813070492,32096.695699106087
104,52,34733.07692307692,16619.856720373118,34733.07692307692,16619.856720373118,34.92307692307692,7.09002655999382,42.34615384615385,5.397474410785378,10.76923076923077,5.956098817361238,1268.923076923077,532.0324273676737,0.3076923076923077,0.5576923076923077,0.19230769230769232,0.3076923076923077,0.1346153846153846,0.36538461538461536,2.1346153846153846,-10116.356951942666,29539.72623966819,-17876.330145552587,-2854.3835626495893,5608.823607803648
105,70,59825.142857142855,47265.76172176554,59825.142857142855,47265.76172176554,39.34285714285714,7.560165848740058,42.857142857142854,6.609798861825435,9.428571428571429,5.520899497630795,1604.2,606.7515213789349,0.4142857142857143,0.6714285714285714,0.4714285714285714,0.17142857142857143,0.15714285714285714,0.2,1.8857142857142857,-6583.78789178076,38175.12952021988,-28877.989839526683,-2686.9644682074504,12280.187633375112
106,50,72737.0,51787.99369367698,72737.0,51787.99369367698,39.56,6.667496546986855,43.48,8.862302644531235,11.2,5.558593273812491,1608.56,530.0258045316169,0.44,0.72,0.5,0.24,0.14,0.12,1.82,924.4595951240932,43068.01826054699,-17240.546918068307,-2016.371507138192,16085.897344373483
107,98,62514.69387755102,44550.64224152248,62514.69387755102,44550.64224152248,37.683673469387756,7.993034259640309,41.285714285714285,4.43044760485681,11.642857142857142,5.386600404478299,1483.295918367347,631.8120105570956,0.4489795918367347,0.7448979591836735,0.3979591836734694,0.1326530612244898,0.19387755102040816,0.2755102040816326,1.6224489795918366,1355.7540686097152,35519.679290511565,-13696.820412631774,1116.7669439587535,15788.21818783696
108,148,97428.31081081081,65808.24492302099,97428.31081081081,65808.24492302099,36.229729729729726,6.424966814382223,41.21621621621622,4.108296799452092,10.054054054054054,5.47944058888554,1353.5945945945946,491.23351386143315,0.43243243243243246,0.7837837837837838,0.7905405405405406,0.033783783783783786,0.10135135135135136,0.07432432432432433,1.3513513513513513,5808.505950664972,53511.19599175613,-20703.7729461515,1059.6833949757347,24730.22144466733
109,252,122426.62698412698,82453.91522292551,122426.62698412698,82453.91522292551,37.3968253968254,6.998667334815691,41.63095238095238,4.170030893781712,9.531746031746032,5.513744518250188,1447.3095238095239,552.1052856501198,0.38095238095238093,0.8571428571428571,0.8690476190476191,0.03571428571428571,0.051587301587301584,0.04365079365079365,1.3492063492063493,20251.23526492423,68924.53054537409,-13821.351069074575,13168.902093871802,40906.62020202792
110,167,134158.0239520958,98851.30309297975,134158.0239520958,98851.30309297975,39.209580838323355,6.5975829229843495,41.50898203592814,4.179508623151848,10.952095808383234,5.471512624531174,1580.6586826347304,522.5342183117655,0.32335329341317365,0.8922155688622755,0.9041916167664671,0.023952095808383235,0.059880239520958084,0.011976047904191617,1.251497005988024,22549.500072602037,85834.69982730127,-16853.191428458238,6887.816170000508,37267.72135650227
1301,50,45072.0,30873.071550119133,45072.0,30873.071550119133,38.52,8.152225187653006,41.18,3.414793745825743,11.48,4.937321425342172,1548.92,641.8835115883408,0.44,0.74,0.18,0.34,0.18,0.3,2.1,1105.0013288867422,35184.85026318408,-14177.368701683583,26.089082060694636,18211.61713527483
1302,44,62129.545454545456,50971.7686547032,62129.545454545456,50971.7686547032,38.63636363636363,7.548574204169702,44.38636363636363,9.048232280372623,11.704545454545455,5.097101526812079,1548.4545454545455,614.4172302023732,0.38636363636363635,0.7727272727272727,0.5681818181818182,0.09090909090909091,0.1590909090909091,0.18181818181818182,1.6363636363636365,-18815.412075963566,45274.02362219848,-39367.034584572,-19680.88995332271,7372.516840173792
1303,43,59191.86046511628,38923.0585505873,59191.86046511628,38923.0585505873,38.883720930232556,7.264425065985153,42.25581395348837,5.038390820470426,11.465116279069768,5.206904012070816,1563.4883720930231,583.715169128828,0.3953488372093023,0.627906976744186,0.5116279069767442,0.16279069767441862,0.18604651162790697,0.13953488372093023,1.9767441860465116,-10687.4320981953,40454.94620355905,-32155.940164677726,-1743.7863059315605,11500.156606748962
