tau_B,alpha,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,n_finite_total,base_seed
0.0,0.05,0,,,,,0,12345
0.0,0.05,5,,,,,0,12345
0.0,0.05,10,,,,,0,12345
0.0,0.05,15,9.423458737594139,0.49899305691936396,0.7365668625044915,0.052986993271208815,5000,12345
0.0,0.05,20,6.828596271147782,0.3995296088991398,0.48927380649194224,0.05805929166723635,5000,12345
0.0,0.05,25,,,,,0,12345
0.0,0.05,30,,,,,0,12345
0.0,0.05,35,,,,,0,12345
0.0,0.1,0,11.184252694648444,3.1867708476299823e-15,2.035248608570409e-15,2.8841028201802875e-16,5000,12345
0.0,0.1,5,9.505416291148011,0.7538643578061037,0.9568360845731013,0.07840706224657013,5000,12345
0.0,0.1,10,7.845324773565982,0.5799791285328824,0.7025840540886849,0.07329199123603365,5000,12345
0.0,0.1,15,6.712927410987463,0.49137480527641686,0.561645973936213,0.07255923760749067,5000,12345
0.0,0.1,20,5.720503989003988,0.4117864909797389,0.44651011784650557,0.07113203219859385,5000,12345
0.0,0.1,25,5.899740333411086,2.6422525795475483e-15,1.1604487680445315e-15,4.34551260656255e-16,5000,12345
0.0,0.1,30,5.945485123193269,2.2851914201492313e-15,1.4103915796233536e-15,3.7578918761364383e-16,5000,12345
0.0,0.1,35,5.961327856726026,2.5529872896979694e-15,1.2854201738339425e-15,4.243092175327176e-16,5000,12345
5.0,0.05,0,,,,,0,12345
5.0,0.05,5,,,,,0,12345
5.0,0.05,10,,,,,0,12345
5.0,0.05,15,23.128425118175702,2.0284747507192407,3.5647062868424926,0.08703769051071532,5000,12345
5.0,0.05,20,17.59237762959378,1.619769444535517,2.8648513920877634,0.09137597807619359,5000,12345
5.0,0.05,25,,,,,0,12345
5.0,0.05,30,,,,,0,12345
5.0,0.05,35,,,,,0,12345
5.0,0.1,0,38.41938440903593,4.998856231576443e-15,7.533990463304497e-15,1.3814195149699354e-16,5000,12345
5.0,0.1,5,32.438038680584306,4.3328624326056655,5.716294189030867,0.12200725513211327,5000,12345
5.0,0.1,10,25.62114280705682,3.4830784675680957,4.521963202087185,0.1233290280739985,5000,12345
5.0,0.1,15,21.477130772446674,3.072399354002329,3.9152669490307663,0.12863340789452124,5000,12345
5.0,0.1,20,16.859037782653175,2.4792880611782873,2.8696719930117185,0.13165021491747608,5000,12345
5.0,0.1,25,5.95020305194253,2.930133139312442e-15,1.0622569492099942e-15,4.937578510452744e-16,5000,12345
5.0,0.1,30,6.0820298460093305,3.0350198548856974e-15,1.2854201738339425e-15,5.02125185728866e-16,5000,12345
5.0,0.1,35,6.187186784135029,2.6556423730249856e-15,1.0622569492099942e-15,4.390767105808077e-16,5000,12345
