dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
poissonNmean21,0.05,0.95,10,14,9.09075352593253,0.49160047745948404,0.9847966658464801,0.05407697789376108,1.0,17,50,456
poissonNmean21,0.05,0.95,10,11,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,10,10,9.966963601162444,0.8019797093252277,1.0605149401762173,0.08046379433267851,1.0,12,50,456
poissonNmean21,0.05,0.95,10,8,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,10,16,9.754568982868836,0.9000457914769422,1.9697389258138593,0.09226915028820035,1.0,8,50,456
poissonNmean21,0.05,0.95,10,15,10.1634245396069,0.0,0.0,0.0,1.0,6,50,456
poissonNmean21,0.05,0.95,10,20,10.738614578516444,0.5822707999829196,0.9350257597027608,0.0542221527484378,1.0,7,50,456
poissonNmean21,0.05,0.95,10,17,7.321497028208874,1.1440117701430208,2.293555326047431,0.15625380516242468,1.0,21,50,456
poissonNmean21,0.05,0.95,10,19,7.216937305884652,0.032702011275470615,0.5472409719602315,0.004531286595604145,1.0,12,50,456
poissonNmean21,0.05,0.95,10,21,6.817127424423122,0.1651985352085375,0.3541625121326103,0.024232865974705895,1.0,10,50,456
poissonNmean21,0.05,0.95,10,23,6.965909559797244,0.17577136312977304,0.35604161327779715,0.0252330814261805,1.0,10,50,456
poissonNmean21,0.05,0.95,10,18,8.4231480982652,0.8596287183841911,1.485476254727305,0.10205551515367954,1.0,16,50,456
poissonNmean21,0.05,0.95,10,24,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,15,0,8.514005883023442,0.532416418104375,0.7914475349290885,0.0625341848971458,1.0,50,50,456
poissonNmean21,0.05,0.95,10,22,10.624477004044005,0.0024736311461205722,0.26422895898897597,0.00023282380348501217,1.0,15,50,456
poissonNmean21,0.05,0.95,15,5,7.0372964251898615,0.35905627775638593,0.7207643330986445,0.051021906150087865,1.0,50,50,456
poissonNmean21,0.05,0.95,15,2,8.08116126293079,0.9784250056230894,1.8343140974000858,0.12107480271569838,1.0,50,50,456
poissonNmean21,0.05,0.95,15,4,7.083015954766816,0.4922699556426179,0.9448830250735553,0.06950004896026303,1.0,50,50,456
poissonNmean21,0.05,0.95,15,1,8.850544045462405,0.2829877561029226,0.5459444128175248,0.03197405206383984,1.0,50,50,456
poissonNmean21,0.05,0.95,15,3,8.357863890865392,0.5387306446024269,1.1088340104075658,0.06445793466333244,1.0,50,50,456
poissonNmean21,0.05,0.95,15,7,7.816677696878031,0.6601062623429244,0.4878646431621842,0.08444844318022346,1.0,50,50,456
poissonNmean21,0.05,0.95,15,6,6.421478480831858,0.23038624860235365,0.47007405455747486,0.03587744618160096,1.0,50,50,456
poissonNmean21,0.05,0.95,15,9,5.984088932819056,0.22746479627316188,0.46218089919036015,0.038011600233020776,1.0,40,50,456
poissonNmean21,0.05,0.95,15,8,8.406061396116117,0.17377825721052137,0.7397488676833274,0.02067297025582192,1.0,50,50,456
poissonNmean21,0.05,0.95,15,10,8.404286554021478,0.28651680897865195,0.6060233822604645,0.0340917467695759,1.0,50,50,456
poissonNmean21,0.05,0.95,15,11,7.621972363751979,0.2656232074066425,0.4605317526042456,0.03484966813444169,1.0,50,50,456
poissonNmean21,0.05,0.95,15,14,7.777888218339978,0.6009268118944275,1.175085370861458,0.07726092160561834,1.0,50,50,456
poissonNmean21,0.05,0.95,15,13,7.944342953920406,0.2631802261952858,0.341637228473359,0.033128004130966,1.0,50,50,456
poissonNmean21,0.05,0.95,15,12,6.222711485072532,0.23012477333095813,0.46051345726871673,0.036981430664590066,1.0,50,50,456
poissonNmean21,0.05,0.95,15,15,7.11333351738077,0.3971011294707664,0.5680442975566835,0.05582489960585802,1.0,50,50,456
poissonNmean21,0.05,0.95,15,16,6.62800513114629,0.3961469282298787,0.6779229834909705,0.059768651410408075,1.0,50,50,456
poissonNmean21,0.05,0.95,15,19,6.0641903380171405,0.18821286429418016,0.5161763691867575,0.031036767285197334,1.0,50,50,456
poissonNmean21,0.05,0.95,15,17,7.1817838069661954,0.6178291968831262,1.2327397192056442,0.08602726195737659,1.0,41,50,456
poissonNmean21,0.05,0.95,15,21,7.589466040448908,0.44656569635155935,0.9038556860599766,0.05884019955706205,1.0,50,50,456
poissonNmean21,0.05,0.95,15,18,7.904222340605908,0.15425409175222368,0.41527845782387246,0.019515403932880655,1.0,50,50,456
poissonNmean21,0.05,0.95,15,20,8.126864067137504,0.7256917701878812,1.4676203035618,0.08929542369514358,1.0,50,50,456
poissonNmean21,0.05,0.95,15,23,8.575616297191127,0.7697911508453746,1.7653802052299905,0.08976511123725457,1.0,38,50,456
poissonNmean21,0.05,0.95,15,22,6.784360741609828,0.4428402001752585,0.8242442783131938,0.06527368119729127,1.0,50,50,456
poissonNmean21,0.05,0.95,15,24,7.721319335987704,0.16493540906894777,0.2892559379952562,0.021361039725453782,1.0,40,50,456
poissonNmean21,0.05,0.95,20,0,7.0129397389118235,0.368233788524704,0.7312902362710372,0.052507764537249785,1.0,39,50,456
poissonNmean21,0.05,0.95,20,1,7.850901198642493,0.263846774605351,0.7490345279760261,0.03360719590395215,1.0,50,50,456
poissonNmean21,0.05,0.95,20,6,6.1352637457124395,0.4402228522589465,0.6850877422325022,0.07175288145788211,1.0,50,50,456
poissonNmean21,0.05,0.95,20,4,6.676999015764394,0.12370281297108193,0.244911705096241,0.018526708283020502,0.1,45,50,456
poissonNmean21,0.05,0.95,20,11,7.135812047150972,0.7617409275736405,1.2928500662402478,0.10674901784692767,1.0,38,50,456
poissonNmean21,0.05,0.95,20,8,7.196155272135148,0.2273175870753538,0.253590441370675,0.03158875517258081,1.0,50,50,456
poissonNmean21,0.05,0.95,20,7,6.809441799724535,0.3427794151052917,0.36576188766609763,0.050338842035357184,1.0,50,50,456
poissonNmean21,0.05,0.95,20,5,6.704034811447482,0.4099943457127946,0.6896250295262923,0.06115635691698801,1.0,50,50,456
poissonNmean21,0.05,0.95,20,2,6.515028729374481,0.5102060940713835,0.3555639172549363,0.07831217869707986,1.0,50,50,456
poissonNmean21,0.05,0.95,20,3,6.318764868557944,0.339327830625318,0.6298397737610999,0.05370160746347866,1.0,50,50,456
poissonNmean21,0.05,0.95,20,10,6.371029448213428,0.256964784887769,0.44399133009989367,0.04033332242088873,1.0,50,50,456
poissonNmean21,0.05,0.95,20,13,7.412364653740494,0.5042647057549637,1.125119589805211,0.0680302075398432,1.0,43,50,456
poissonNmean21,0.05,0.95,20,9,6.262675905725987,0.28513714000854135,0.5916318617632796,0.045529601771000065,1.0,50,50,456
poissonNmean21,0.05,0.95,20,12,6.65336183916716,0.3611280300488569,0.6724732553854149,0.05427752747835843,1.0,50,50,456
poissonNmean21,0.05,0.95,20,14,6.744516812794915,0.8835106229767182,1.6876138718357288,0.1309968745723377,1.0,50,50,456
poissonNmean21,0.05,0.95,25,1,8.607879337103936,0.011985222064985621,0.10497128704251447,0.0013923547944409231,1.0,40,50,456
poissonNmean21,0.05,0.95,20,16,8.462265041031559,1.0615264628261893,2.077771046010047,0.12544235587979033,1.0,48,50,456
poissonNmean21,0.05,0.95,25,0,6.665872168656496,0.014715738288068858,0.07434058178426907,0.0022076238361220793,1.0,17,50,456
poissonNmean21,0.05,0.95,20,24,7.469763682770626,0.6805738538298746,0.9076725659327122,0.09111049328101922,1.0,31,50,456
poissonNmean21,0.05,0.95,25,2,7.450140145140031,0.033755069659675924,0.15071845931912844,0.004530796602758601,1.0,39,50,456
poissonNmean21,0.05,0.95,25,5,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,20,15,6.017273602957734,0.23340243303982708,0.4543304455023119,0.03878873530449078,1.0,45,50,456
poissonNmean21,0.05,0.95,20,20,6.075646705149494,0.33281071601558126,0.548705594886558,0.05477782566479766,0.44,50,50,456
poissonNmean21,0.05,0.95,25,7,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,20,22,5.431604358978673,0.1256332251308309,0.2387956774703309,0.023130039823897306,1.0,50,50,456
poissonNmean21,0.05,0.95,20,18,7.796265826764621,0.316448520627133,0.6636992569246193,0.04058975510311149,1.0,46,50,456
poissonNmean21,0.05,0.95,25,4,8.642179768982869,0.5717534343296189,1.1188149854513851,0.066158475015952,1.0,28,50,456
poissonNmean21,0.05,0.95,20,19,8.30242871379718,0.6031576360881311,1.0133280491838765,0.07264833663501247,1.0,50,50,456
poissonNmean21,0.05,0.95,20,21,7.180475382601285,0.3396721846753182,0.434751713601437,0.047304971687301356,1.0,41,50,456
poissonNmean21,0.05,0.95,20,23,6.567278015359082,0.331568538382538,0.543458076734587,0.05048797045093708,1.0,50,50,456
poissonNmean21,0.05,0.95,25,3,6.852087359643276,0.20346901487868213,0.3821094453463606,0.029694457206872922,1.0,50,50,456
poissonNmean21,0.05,0.95,25,10,10.42970163964211,1.8162799553975086e-15,1.8162799553975086e-15,1.741449581351431e-16,1.0,23,50,456
poissonNmean21,0.05,0.95,25,8,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,12,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,14,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,20,17,7.0008150361583805,0.3073948643180785,0.2935605419532722,0.04390843962173267,1.0,50,50,456
poissonNmean21,0.05,0.95,25,9,6.084464151222048,0.6804763747378411,1.3079485525259058,0.11183834070271731,1.0,50,50,456
poissonNmean21,0.05,0.95,25,20,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,6,7.391684485648955,0.0810361431736326,0.14265184941982081,0.010963149648901445,1.0,50,50,456
poissonNmean21,0.05,0.95,25,15,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,11,5.987140758020775,0.5138792689724321,0.9718857477520403,0.08583049735117801,1.0,34,50,456
poissonNmean21,0.05,0.95,25,18,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,1,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,2,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,0,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,13,6.848474422323226,0.09406867873020026,0.0666355133624763,0.013735712938282262,1.0,25,50,456
poissonNmean21,0.05,0.95,25,22,10.02743136573668,0.0,1.8250331625114363e-15,0.0,1.0,19,50,456
poissonNmean21,0.05,0.95,30,4,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,16,6.188995393498872,0.11472332572828067,0.2872767638289543,0.01853666361567984,1.0,50,50,456
poissonNmean21,0.05,0.95,30,5,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,7,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,6,,0.0,0.0,,1.0,0,50,456
