tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.05,35,Repeated,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,35,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
0.0,0.05,35,Std-CP,0.9428,0.232247600180406,6.501628632873484,6.2500338086556795,2.0553343015245864,0.0,0,12345
0.0,0.05,35,Subsampling,1.0,0.0,,,,1.0,5000,12345
0.0,0.1,0,Donor-HCP-no-within,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.3114255442456324,0.0,0,12345
0.0,0.1,0,Donor-HCP-within,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.3114255442456324,0.0,0,12345
0.0,0.1,0,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.3114255442456324,0.0,0,12345
0.0,0.1,0,Pooling,0.8904,0.3124217685634189,7.820568534586776,7.6605780379047985,1.774833159962736,0.0,0,12345
0.0,0.1,0,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475,0.0,0,12345
0.0,0.1,0,S-HCP-within,0.9032,0.29571481100866426,9.666663498200078,9.100177642138007,3.790832995816284,0.0,0,12345
0.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
0.0,0.1,0,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804,0.0,0,12345
0.0,0.1,5,Donor-HCP-no-within,0.9532,0.21123135121649753,10.063118153265814,9.658357124111127,2.558998829094697,0.0,0,12345
0.0,0.1,5,Donor-HCP-within,0.9638,0.18680615436291587,9.611095544749023,9.332281124792686,2.1659516702109314,0.0,0,12345
0.0,0.1,5,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.3114255442456324,0.0,0,12345
0.0,0.1,5,Pooling,0.8904,0.3124217685634189,7.820568534586776,7.6605780379047985,1.774833159962736,0.0,0,12345
0.0,0.1,5,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475,0.0,0,12345
0.0,0.1,5,S-HCP-within,0.9036,0.2951685364211073,8.887052352085227,8.371764027546671,3.0122103602129164,0.0,0,12345
0.0,0.1,5,Std-CP,0.754,0.4307216087229011,6.0767988391217544,5.05501969898503,4.7265263895765655,0.0,0,12345
