tau_B,alpha,o,dataset_id,rerun_id,lower,upper,width,finite
0.0,0.1,0,0,0,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,1,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,2,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,3,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,4,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,5,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,6,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,7,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,8,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,9,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,10,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,11,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,12,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,13,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,14,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,15,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,16,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,17,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,18,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,19,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,20,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,21,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,22,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,23,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,24,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,25,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,26,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,27,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,28,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,29,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,30,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,31,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,32,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,33,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,34,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,35,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,36,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,37,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,38,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,39,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,40,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,41,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,42,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,43,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,44,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,45,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,46,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,47,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,48,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,49,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,50,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,51,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,52,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,53,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,54,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,55,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,56,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,57,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,58,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,59,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,60,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,61,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,62,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,63,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,64,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,65,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,66,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,67,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,68,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,69,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,70,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,71,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,72,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,73,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,74,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,75,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,76,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,77,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,78,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,79,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,80,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,81,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,82,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,83,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,84,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,85,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,86,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,87,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,88,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,89,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,90,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,91,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,92,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,93,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,94,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,95,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,96,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,97,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,98,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,0,99,1.371176889310707,14.36462467493132,12.993447785620614,1
0.0,0.1,0,1,0,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,1,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,2,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,3,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,4,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,5,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,6,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,7,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,8,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,9,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,10,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,11,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,12,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,13,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,14,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,15,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,16,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,17,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,18,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,19,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,20,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,21,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,22,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,23,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,24,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,25,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,26,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,27,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,28,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,29,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,30,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,31,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,32,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,33,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,34,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,35,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,36,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,37,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,38,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,39,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,40,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,41,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,42,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,43,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,44,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,45,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,46,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,47,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,48,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,49,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,50,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,51,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,52,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,53,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,54,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,55,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,56,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,57,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,58,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,59,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,60,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,61,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,62,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,63,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,64,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,65,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,66,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,67,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,68,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,69,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,70,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,71,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,72,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,73,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,74,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,75,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,76,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,77,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,78,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,79,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,80,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,81,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,82,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,83,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,84,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,85,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,86,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,87,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,88,8.469233772528572,18.323870710592306,9.854636938063734,1
0.0,0.1,0,1,89,8.469233772528572,18.323870710592306,9.854636938063734,1
