o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.983,0.983,0.917,0.882,0.958,0.911,1.0,0.897
5,0.97,,0.917,,,0.905,0.894,
10,0.963,,0.917,,,0.903,0.9,
15,0.95,,0.917,,,0.907,0.913,
20,0.938,,0.917,,,0.9,0.9,
