experiment,o_observed,coverage_none,coverage_constant,coverage_linear,coverage_stdcp,coverage_hcp,width_none,width_constant,width_linear,width_stdcp,width_hcp,infinite_none,infinite_constant,infinite_linear,infinite_stdcp,infinite_hcp
1,0,0.9,0.9,0.9,,0.9,5.444214860461806,5.444214860461806,5.444214860461806,,5.444214860461806,0,0,0,0,0
1,20,0.9,0.96,0.9,0.84,0.94,4.99868556839711,5.4023466864325105,5.780743940014091,7.2765149046928554,5.444214860461806,0,0,0,0,0
1,50,0.82,0.86,0.88,0.88,0.92,4.0634062070946735,4.198141031507774,4.550001091444288,4.702563658626417,5.444214860461806,0,0,0,0,0
1,100,0.76,0.78,0.82,0.72,0.76,4.281674511254315,4.303295193628703,4.687439047910531,4.534476349066571,5.444214860461806,0,0,0,0,0
1,200,0.84,0.84,0.8,0.82,0.88,4.238862420855773,4.1569166258577575,4.159989163353183,4.392963554624509,5.444214860461806,0,0,0,0,0
1,300,0.86,0.84,0.82,0.82,0.92,4.305028125076199,4.222063949192365,4.3880889490930715,4.322090334323844,5.444214860461806,0,0,0,0,0
1,500,0.8,0.84,0.8,0.82,0.86,4.221746828478469,4.097861148497606,3.984582537451683,4.192190369556352,5.444214860461806,0,0,0,0,0
2,0,0.86,0.86,0.86,,0.86,5.188248115645851,5.188248115645851,5.188248115645851,,5.188248115645851,0,0,0,0,0
2,20,0.8,0.76,0.76,0.82,0.84,4.765067026650831,4.9925593537323785,5.404076445979733,7.452392632881734,5.188248115645851,0,0,0,0,0
2,50,0.7,0.76,0.8,0.84,0.88,4.071652686103943,4.0486419503587125,4.780888092372729,5.060563468591354,5.188248115645851,0,0,0,0,0
2,100,0.76,0.8,0.84,0.78,0.88,4.04393989625743,4.233368351263719,4.599987462757536,4.687793708980194,5.188248115645851,0,0,0,0,0
2,200,0.86,0.88,0.9,0.8,0.92,4.096712445298233,4.188273727551449,4.2748814754445705,4.201875915117931,5.188248115645851,0,0,0,0,0
2,300,0.78,0.78,0.8,0.76,0.84,4.1108259176241795,4.306018597150872,4.217594839432931,4.226793191338359,5.188248115645851,0,0,0,0,0
2,500,0.74,0.78,0.76,0.78,0.82,4.116316407863788,4.121811506504079,4.112883091851487,4.113257200543281,5.188248115645851,0,0,0,0,0
3,0,0.88,0.88,0.88,,0.88,5.530144417940343,5.530144417940343,5.530144417940343,,5.530144417940343,0,0,0,0,0
3,20,0.82,0.82,0.84,0.76,0.84,5.039737187549703,5.062706806253949,5.817747466389916,7.035171636469066,5.530144417940343,0,0,0,0,0
3,50,0.8,0.8,0.78,0.82,0.96,4.12839281269242,4.333956547364249,4.489501954081399,4.9292135204667,5.530144417940343,0,0,0,0,0
3,100,0.72,0.76,0.76,0.8,0.82,4.09158672901281,4.311114500035105,4.329448339192386,4.5233655974308284,5.530144417940343,0,0,0,0,0
3,200,0.84,0.84,0.84,0.88,0.9,4.173360615275521,4.257268435576271,4.266221689888022,4.383412472632857,5.530144417940343,0,0,0,0,0
3,300,0.8,0.78,0.82,0.82,0.88,4.145521674420685,4.136998812042471,4.18913131251122,4.162687132740513,5.530144417940343,0,0,0,0,0
3,500,0.8,0.84,0.86,0.8,0.92,4.234113561507742,4.182523014825456,4.188109475578955,4.250932448492322,5.530144417940343,0,0,0,0,0
4,0,0.82,0.82,0.82,,0.82,4.900126340156468,4.900126340156468,4.900126340156468,,4.900126340156468,0,0,0,0,0
4,20,0.84,0.86,0.92,0.8,0.9,4.362354980815166,4.585349563341538,6.086328372714805,6.294289650153376,4.900126340156468,0,0,0,0,0
4,50,0.86,0.84,0.86,0.78,0.86,4.093112522183093,4.124159480085639,4.659866154995367,4.97826428176891,4.900126340156468,0,0,0,0,0
4,100,0.82,0.8,0.8,0.82,0.86,4.029544832594616,4.228885795575341,4.637507129585285,4.651719180980865,4.900126340156468,0,0,0,0,0
4,200,0.84,0.88,0.82,0.86,0.92,4.077437004451594,4.056267279882559,4.157870121878836,4.249810235456941,4.900126340156468,0,0,0,0,0
4,300,0.74,0.74,0.74,0.68,0.82,4.0661290488947746,4.038811970033615,4.108926334555791,4.106926704665264,4.900126340156468,0,0,0,0,0
4,500,0.74,0.74,0.72,0.76,0.86,4.074809118676391,4.053382006855134,3.98421664323297,4.023673169101168,4.900126340156468,0,0,0,0,0
5,0,0.88,0.88,0.88,,0.88,5.477278845356672,5.477278845356672,5.477278845356672,,5.477278845356672,0,0,0,0,0
5,20,0.9,0.92,0.88,0.82,0.9,4.807582248888814,5.156438108227542,5.816577606973688,7.562450909452375,5.477278845356672,0,0,0,0,0
5,50,0.82,0.8,0.78,0.8,0.84,4.0492623333947915,4.436211573583196,4.665991041204746,4.653057243858191,5.477278845356672,0,0,0,0,0
5,100,0.78,0.78,0.74,0.74,0.86,4.276144534830707,4.3173373337665435,4.3960411171059395,4.351831709719441,5.477278845356672,0,0,0,0,0
5,200,0.78,0.8,0.78,0.8,0.88,4.041124740898532,4.108399894347677,4.207504686764986,4.111745495152691,5.477278845356672,0,0,0,0,0
5,300,0.82,0.78,0.78,0.8,0.88,3.9787837252787996,4.0367713001707255,4.092877120633156,4.115447899051862,5.477278845356672,0,0,0,0,0
5,500,0.82,0.82,0.84,0.84,0.9,4.145720051521576,4.121988837428706,4.218812132710085,4.123314460159284,5.477278845356672,0,0,0,0,0
6,0,0.9,0.9,0.9,,0.9,5.583947290215389,5.583947290215389,5.583947290215389,,5.583947290215389,0,0,0,0,0
6,20,0.76,0.82,0.82,0.74,0.8,5.166108884361071,5.410118813255444,5.8552378993772844,6.772781282445963,5.583947290215389,0,0,0,0,0
6,50,0.9,0.88,0.9,0.8,0.86,4.270867139778587,4.419896212577216,4.952549956355066,4.402899816280297,5.583947290215389,0,0,0,0,0
6,100,0.86,0.86,0.72,0.8,0.88,4.192958323692275,4.306702280668075,4.298724681331574,4.326162102412074,5.583947290215389,0,0,0,0,0
6,200,0.8,0.78,0.82,0.76,0.86,4.180634447323427,4.2372179400642,4.272153003950569,4.1872510205260784,5.583947290215389,0,0,0,0,0
6,300,0.72,0.74,0.7,0.72,0.76,4.339262662335186,4.267427045078526,4.393753343898408,4.578131332342995,5.583947290215389,0,0,0,0,0
6,500,0.84,0.84,0.78,0.82,0.94,4.195711267542178,4.193841927546992,4.193153461677023,4.243612119484512,5.583947290215389,0,0,0,0,0
7,0,0.88,0.88,0.88,,0.88,5.145276377758886,5.145276377758886,5.145276377758886,,5.145276377758886,0,0,0,0,0
7,20,0.82,0.76,0.84,0.7,0.84,4.703691192858428,4.912677766924867,6.169049810250316,8.017124929177019,5.145276377758886,0,0,0,0,0
7,50,0.8,0.74,0.7,0.76,0.86,4.182501704990829,4.104275704324774,4.554936147117303,4.7631867272259605,5.145276377758886,0,0,0,0,0
7,100,0.78,0.76,0.82,0.76,0.86,4.088350973979035,4.033709026086969,4.2611054194495654,4.42302948989937,5.145276377758886,0,0,0,0,0
7,200,0.74,0.74,0.72,0.72,0.74,4.024922801268997,4.10613171523252,4.184346279490673,4.23156303089776,5.145276377758886,0,0,0,0,0
7,300,0.82,0.8,0.8,0.84,0.82,4.1290077603653055,4.150844866615024,4.171922090851727,4.172223791008021,5.145276377758886,0,0,0,0,0
7,500,0.82,0.78,0.82,0.78,0.84,3.955151022462942,3.980721696428459,4.0060050382546795,4.031269025873221,5.145276377758886,0,0,0,0,0
8,0,0.92,0.92,0.92,,0.92,5.640893324355657,5.640893324355657,5.640893324355657,,5.640893324355657,0,0,0,0,0
8,20,0.86,0.82,0.88,0.8,0.9,4.759823844274319,5.138957490835775,6.29889440476224,7.871467427812364,5.640893324355657,0,0,0,0,0
8,50,0.84,0.84,0.84,0.8,0.88,4.54034506036988,4.821338729100966,4.811386724238851,4.959871683401417,5.640893324355657,0,0,0,0,0
8,100,0.7,0.76,0.76,0.74,0.88,4.023160299394306,4.00738235471145,4.258592698842951,4.419543504291051,5.640893324355657,0,0,0,0,0
8,200,0.86,0.8,0.82,0.82,0.88,4.1101385673834905,4.1543403283451035,4.276130662912831,4.287463845182955,5.640893324355657,0,0,0,0,0
8,300,0.7,0.68,0.76,0.72,0.8,4.026913751021755,4.014848303629368,4.065005652352074,4.080726513279222,5.640893324355657,0,0,0,0,0
8,500,0.86,0.84,0.86,0.86,0.9,4.188899564817218,4.192821960179087,4.264718878082825,4.17010179055375,5.640893324355657,0,0,0,0,0
9,0,0.88,0.88,0.88,,0.88,5.035171615585818,5.035171615585818,5.035171615585818,,5.035171615585818,0,0,0,0,0
9,20,0.92,0.86,0.88,0.78,0.92,4.540455565792884,4.984481307133736,5.625442579273503,6.834380775328095,5.035171615585818,0,0,0,0,0
9,50,0.78,0.82,0.82,0.84,0.88,4.235312879926963,4.327387660914913,4.428370646678342,4.831005420759052,5.035171615585818,0,0,0,0,0
9,100,0.78,0.8,0.82,0.8,0.8,4.3164968326257025,4.196634109959611,4.369098608456852,4.549905785402377,5.035171615585818,0,0,0,0,0
9,200,0.82,0.8,0.78,0.86,0.9,4.240370592812614,4.146738477955017,4.184610358854389,4.439479351681089,5.035171615585818,0,0,0,0,0
9,300,0.82,0.84,0.82,0.8,0.84,4.331875302497621,4.221803148638173,4.334673614387261,4.286384994090895,5.035171615585818,0,0,0,0,0
9,500,0.8,0.82,0.82,0.86,0.84,4.156796597648983,4.216783831900523,4.108698362855233,4.048053646169706,5.035171615585818,0,0,0,0,0
10,0,0.84,0.84,0.84,,0.84,5.391848421895203,5.391848421895203,5.391848421895203,,5.391848421895203,0,0,0,0,0
10,20,0.88,0.9,0.9,0.82,0.9,4.790328603330301,5.292213595347774,5.8447920458276705,7.7205781686310555,5.391848421895203,0,0,0,0,0
10,50,0.88,0.84,0.9,0.82,0.92,4.203718336280245,4.394824423711714,5.01033151891461,5.0921372404367755,5.391848421895203,0,0,0,0,0
10,100,0.84,0.92,0.86,0.9,0.94,3.856185928716215,4.011927722659356,4.348947758503598,4.33290432610524,5.391848421895203,0,0,0,0,0
10,200,0.7,0.68,0.64,0.74,0.78,4.193711552855667,4.097660434748898,4.303575083835431,4.303695000850736,5.391848421895203,0,0,0,0,0
10,300,0.82,0.84,0.82,0.78,0.84,4.170033060349608,4.088251161003285,4.235195765844096,4.276823178679336,5.391848421895203,0,0,0,0,0
10,500,0.84,0.82,0.8,0.84,0.86,4.149383125674824,4.2085875000786315,4.209194473307878,4.2130961584315365,5.391848421895203,0,0,0,0,0
11,0,0.8,0.8,0.8,,0.8,5.239417235300839,5.239417235300839,5.239417235300839,,5.239417235300839,0,0,0,0,0
11,20,0.82,0.84,0.82,0.8,0.86,4.51560593743779,5.165027044367427,5.815837395806879,7.244214097850177,5.239417235300839,0,0,0,0,0
11,50,0.76,0.82,0.86,0.76,0.9,4.0127679874723565,4.155603147572599,4.418247512591221,4.686792139009642,5.239417235300839,0,0,0,0,0
11,100,0.78,0.8,0.8,0.8,0.92,4.066995469351405,4.415841014270292,4.523026613862845,4.389752524801923,5.239417235300839,0,0,0,0,0
11,200,0.74,0.72,0.76,0.76,0.88,3.991672313381277,4.059579878615985,4.148713308369834,4.2458053680192585,5.239417235300839,0,0,0,0,0
11,300,0.82,0.86,0.88,0.9,0.96,4.089637783954088,4.075948551675705,4.070069397879942,4.113371819449819,5.239417235300839,0,0,0,0,0
11,500,0.78,0.82,0.84,0.8,0.88,4.187579298634878,4.2019197025756725,4.272437086019255,4.260170435326678,5.239417235300839,0,0,0,0,0
12,0,0.94,0.94,0.94,,0.94,5.4766603724052425,5.4766603724052425,5.4766603724052425,,5.4766603724052425,0,0,0,0,0
12,20,0.78,0.82,0.84,0.74,0.78,5.015259851624356,5.714322805843137,6.197828382609069,7.817806507741253,5.4766603724052425,0,0,0,0,0
12,50,0.62,0.66,0.6,0.68,0.68,4.325754457137938,4.199848706248369,4.713702423100378,4.732820247344125,5.4766603724052425,0,0,0,0,0
12,100,0.82,0.8,0.82,0.78,0.84,4.2699671476484085,4.277856993254945,4.357247292496965,4.487704572441407,5.4766603724052425,0,0,0,0,0
12,200,0.86,0.86,0.84,0.8,0.9,4.126130588224562,4.26225715069166,4.411100399092655,4.120936928961661,5.4766603724052425,0,0,0,0,0
12,300,0.86,0.88,0.8,0.86,0.92,4.2537953640097275,4.254265013267675,4.35745576582424,4.2038860301680305,5.4766603724052425,0,0,0,0,0
12,500,0.82,0.86,0.82,0.82,0.92,4.107328029830185,4.133674276898528,4.0921335774032634,4.089314939942875,5.4766603724052425,0,0,0,0,0
13,0,0.92,0.92,0.92,,0.92,5.123645765339425,5.123645765339425,5.123645765339425,,5.123645765339425,0,0,0,0,0
13,20,0.82,0.82,0.78,0.76,0.86,4.663008922325552,4.795428687608716,5.141061771239899,7.010801640140908,5.123645765339425,0,0,0,0,0
13,50,0.74,0.78,0.8,0.74,0.78,4.075190947967586,4.546479630304055,4.618004628795865,4.813980665945692,5.123645765339425,0,0,0,0,0
13,100,0.88,0.88,0.88,0.86,0.9,4.1266841041449,4.2011748316264,4.3583725672322675,4.310744603144481,5.123645765339425,0,0,0,0,0
13,200,0.78,0.76,0.74,0.72,0.82,4.180078332715027,4.264326844378893,4.307533205037459,4.321187347464749,5.123645765339425,0,0,0,0,0
13,300,0.76,0.76,0.76,0.74,0.82,4.174613211527185,4.232652471049692,4.242530118379098,4.24376678895694,5.123645765339425,0,0,0,0,0
