puma,n_obs,eligible_min_size,target_eligible,baplus_share,baplus_stratum,income_min,income_median,income_mean,income_max,income_range,income_iqr,dhcp_width_o20_ols_trim2_corr,width_over_puma_range_ols_trim2_corr,width_over_puma_iqr_ols_trim2_corr,width_over_puma_median_ols_trim2_corr,dhcp_width_o20_rf_trim2_corr,width_over_puma_range_rf_trim2_corr,width_over_puma_iqr_rf_trim2_corr,width_over_puma_median_rf_trim2_corr
101,27,True,True,0.8888888888888888,"(0.8, 1.0]",15000.0,52000.0,78185.18518518518,301000.0,286000.0,30000.0,120067.0,0.4198146853146853,4.002233333333334,2.3089807692307693,111566.0,0.3900909090909091,3.7188666666666665,2.1455
102,25,True,True,0.8,"(0.612, 0.8]",10000.0,56000.0,78637.6,210000.0,200000.0,80000.0,120067.0,0.600335,1.5008375,2.1440535714285716,111566.0,0.55783,1.394575,1.99225
103,7,False,False,0.5714285714285714,"(0.429, 0.612]",14000.0,96000.0,110000.0,270000.0,256000.0,25000.0,120067.0,0.46901171875,4.80268,1.2506979166666667,111566.0,0.4358046875,4.46264,1.1621458333333334
104,14,False,False,0.2857142857142857,"(0.2, 0.429]",10000.0,34000.0,38280.0,80000.0,70000.0,16310.0,120067.0,1.715242857142857,7.3615573267933785,3.5313823529411765,111566.0,1.5938,6.840343347639485,3.2813529411764706
105,25,True,True,0.56,"(0.429, 0.612]",10400.0,42000.0,56023.2,130000.0,119600.0,65000.0,120067.0,1.0039046822742475,1.8471846153846154,2.8587380952380954,111566.0,0.9328260869565217,1.7164,2.6563333333333334
106,15,False,False,0.8,"(0.612, 0.8]",20000.0,80000.0,84360.0,176000.0,156000.0,66500.0,120067.0,0.7696602564102564,1.8055187969924813,1.5008375,111566.0,0.7151666666666666,1.6776842105263159,1.394575
107,23,True,True,0.4782608695652174,"(0.429, 0.612]",10400.0,42010.0,56537.82608695652,230000.0,219600.0,39015.0,120067.0,0.5467531876138434,3.077457388184032,2.8580576053320637,111566.0,0.5080418943533698,2.8595668332692554,2.655701023565818
108,46,True,True,0.8478260869565217,"(0.8, 1.0]",12000.0,79500.0,83743.69565217392,235300.0,223300.0,70000.0,120067.0,0.5376936856247201,1.715242857142857,1.5102767295597483,111566.0,0.4996238244514107,1.5938,1.4033459119496856
109,85,True,True,0.9294117647058824,"(0.8, 1.0]",10000.0,100500.0,99834.4705882353,250000.0,240000.0,59000.0,120067.0,0.5002791666666667,2.035033898305085,1.1946965174129354,111566.0,0.4648583333333333,1.890949152542373,1.1101094527363184
110,34,True,True,0.8529411764705882,"(0.8, 1.0]",14400.0,91500.0,102123.82352941176,224000.0,209600.0,48750.0,120067.0,0.5728387404580153,2.4629128205128206,1.312207650273224,111566.0,0.5322805343511451,2.2885333333333335,1.2193005464480875
300,3,False,False,0.0,"(-0.001, 0.2]",16000.0,18200.0,19666.666666666668,24800.0,8800.0,4400.0,120067.0,13.643977272727273,27.287954545454546,6.597087912087912,111566.0,12.677954545454545,25.35590909090909,6.13
701,2,False,False,1.0,"(0.8, 1.0]",72000.0,89500.0,89500.0,107000.0,35000.0,17500.0,120067.0,3.430485714285714,6.860971428571428,1.3415307262569833,111566.0,3.1876,6.3752,1.2465474860335195
702,4,False,False,0.5,"(0.429, 0.612]",19000.0,89600.0,92050.0,170000.0,151000.0,128350.0,120067.0,0.7951456953642384,0.9354655239579276,1.3400334821428572,111566.0,0.7388476821192053,0.869232567199065,1.24515625
1100,3,False,False,0.0,"(-0.001, 0.2]",20000.0,20000.0,29333.333333333332,48000.0,28000.0,14000.0,120067.0,4.288107142857143,8.576214285714286,6.00335,111566.0,3.9845,7.969,5.5783
1301,10,False,False,0.5,"(0.429, 0.612]",10000.0,29550.0,33310.0,74000.0,64000.0,33250.0,120067.0,1.876046875,3.6110375939849626,4.063181049069374,111566.0,1.74321875,3.3553684210526318,3.775499153976311
1302,8,False,False,0.75,"(0.612, 0.8]",11700.0,42500.0,76962.5,190000.0,178300.0,95250.0,120067.0,0.6733987661245092,1.2605459317585301,2.825105882352941,111566.0,0.6257206954570947,1.1712965879265091,2.6250823529411766
1303,8,False,False,0.75,"(0.612, 0.8]",15000.0,48000.0,56875.0,110000.0,95000.0,47500.0,120067.0,1.2638631578947368,2.5277263157894736,2.5013958333333335,111566.0,1.174378947368421,2.348757894736842,2.324291666666667
1304,8,False,False,0.875,"(0.8, 1.0]",15000.0,58500.0,76425.0,210000.0,195000.0,65950.0,120067.0,0.6157282051282051,1.8205761940864291,2.0524273504273505,111566.0,0.5721333333333334,1.6916755117513267,1.9071111111111112
1305,23,True,True,1.0,"(0.8, 1.0]",50000.0,100000.0,122826.08695652174,250000.0,200000.0,64900.0,120067.0,0.600335,1.8500308166409862,1.20067,111566.0,0.55783,1.7190446841294298,1.11566
1306,11,False,False,0.9090909090909091,"(0.8, 1.0]",11700.0,90000.0,91781.81818181818,180000.0,168300.0,106750.0,120067.0,0.7134105763517529,1.1247494145199064,1.3340777777777777,111566.0,0.6628995840760546,1.0451147540983607,1.2396222222222222
1307,12,False,False,0.5,"(0.429, 0.612]",12000.0,44000.0,54343.333333333336,119110.0,107110.0,41002.5,120067.0,1.120969097189805,2.9282848606792267,2.7287954545454545,111566.0,1.041602091308001,2.7209560392658982,2.5355909090909092
1308,8,False,False,0.375,"(0.2, 0.429]",16000.0,33100.0,38025.0,69000.0,53000.0,19250.0,120067.0,2.2654150943396227,6.237246753246753,3.627401812688822,111566.0,2.105018867924528,5.795636363636364,3.3705740181268884
1500,2,False,False,0.5,"(0.429, 0.612]",18000.0,24000.0,24000.0,30000.0,12000.0,6000.0,120067.0,10.005583333333334,20.011166666666668,5.002791666666667,111566.0,9.297166666666667,18.594333333333335,4.648583333333334
1901,9,False,False,0.1111111111111111,"(-0.001, 0.2]",14000.0,28000.0,31866.666666666668,66000.0,52000.0,14000.0,120067.0,2.3089807692307693,8.576214285714286,4.288107142857143,111566.0,2.1455,7.969,3.9845
1902,6,False,False,0.5,"(0.429, 0.612]",15000.0,31150.0,48551.666666666664,130010.0,115010.0,28575.0,120067.0,1.0439700895574298,4.201819772528434,3.854478330658106,111566.0,0.9700547778454047,3.9043219597550305,3.581573033707865
1903,3,False,False,0.3333333333333333,"(0.2, 0.429]",26400.0,40000.0,54800.0,98000.0,71600.0,35800.0,120067.0,1.676913407821229,3.353826815642458,3.001675,111566.0,1.5581843575418994,3.116368715083799,2.78915
1904,10,False,False,0.1,"(-0.001, 0.2]",12000.0,25500.0,33140.0,120000.0,108000.0,4850.0,120067.0,1.1117314814814814,24.756082474226805,4.708509803921569,111566.0,1.0330185185185186,23.003298969072166,4.3751372549019605
1905,3,False,False,0.0,"(-0.001, 0.2]",14000.0,20000.0,21333.333333333332,30000.0,16000.0,8000.0,120067.0,7.5041875,15.008375,6.00335,111566.0,6.972875,13.94575,5.5783
1906,4,False,False,0.75,"(0.612, 0.8]",50000.0,98000.0,91575.0,120300.0,70300.0,35575.0,120067.0,1.707923186344239,3.375038650737878,1.2251734693877552,111566.0,1.5869985775248934,3.1360787069571328,1.1384285714285713
1907,6,False,False,0.0,"(-0.001, 0.2]",16800.0,21500.0,35466.666666666664,100000.0,83200.0,13500.0,120067.0,1.4431129807692307,8.893851851851851,5.584511627906977,111566.0,1.3409375,8.264148148148148,5.189116279069768
2500,7,False,False,0.42857142857142855,"(0.2, 0.429]",16000.0,27000.0,41000.0,90000.0,74000.0,36000.0,120067.0,1.6225270270270271,3.3351944444444444,4.4469259259259255,111566.0,1.5076486486486487,3.0990555555555557,4.132074074074074
2901,8,False,False,0.0,"(-0.001, 0.2]",10000.0,16250.0,17162.5,26000.0,16000.0,3100.0,120067.0,7.5041875,38.73129032258065,7.388738461538462,111566.0,6.972875,35.98903225806452,6.8656
2902,11,False,False,0.45454545454545453,"(0.429, 0.612]",15000.0,42000.0,59772.72727272727,178000.0,163000.0,62600.0,120067.0,0.7366073619631902,1.9180031948881788,2.8587380952380954,111566.0,0.6844539877300614,1.7822044728434505,2.6563333333333334
2903,9,False,False,0.2222222222222222,"(0.2, 0.429]",15000.0,20500.0,32277.777777777777,98000.0,83000.0,9000.0,120067.0,1.4465903614457831,13.340777777777777,5.856926829268293,111566.0,1.344168674698795,12.396222222222223,5.442243902439024
2904,5,False,False,0.0,"(-0.001, 0.2]",15000.0,20000.0,23400.0,36000.0,21000.0,10000.0,120067.0,5.717476190476191,12.0067,6.00335,111566.0,5.312666666666667,11.1566,5.5783
2905,2,False,False,0.0,"(-0.001, 0.2]",18000.0,22300.0,22300.0,26600.0,8600.0,4300.0,120067.0,13.961279069767443,27.922558139534885,5.384170403587444,111566.0,12.97279069767442,25.94558139534884,5.002959641255606
3100,2,False,False,0.5,"(0.429, 0.612]",12000.0,76000.0,76000.0,140000.0,128000.0,64000.0,120067.0,0.9380234375,1.876046875,1.579828947368421,111566.0,0.871609375,1.74321875,1.4679736842105262
3701,2,False,False,1.0,"(0.8, 1.0]",20000.0,92000.0,92000.0,164000.0,144000.0,72000.0,120067.0,0.8337986111111111,1.6675972222222222,1.3050760869565217,111566.0,0.7747638888888889,1.5495277777777778,1.2126739130434783
3702,11,False,False,0.7272727272727273,"(0.612, 0.8]",14400.0,65000.0,81581.81818181818,186000.0,171600.0,61000.0,120067.0,0.6996911421911421,1.968311475409836,1.8471846153846154,111566.0,0.6501515151515151,1.8289508196721311,1.7164
3703,5,False,False,0.4,"(0.2, 0.429]",47700.0,55000.0,80540.0,150000.0,102300.0,50000.0,120067.0,1.1736754643206255,2.40134,2.1830363636363637,111566.0,1.0905767350928641,2.23132,2.028472727272727
3704,4,False,False,0.0,"(-0.001, 0.2]",12000.0,35000.0,38000.0,70000.0,58000.0,22000.0,120067.0,2.0701206896551723,5.457590909090909,3.430485714285714,111566.0,1.923551724137931,5.0711818181818185,3.1876
3705,16,False,False,0.8125,"(0.8, 1.0]",13200.0,40000.0,54250.0,160000.0,146800.0,46675.0,120067.0,0.8178950953678474,2.5724049276914838,3.001675,111566.0,0.7599863760217984,2.3902731655061595,2.78915
3706,11,False,False,0.5454545454545454,"(0.429, 0.612]",31200.0,60000.0,63563.63636363636,97000.0,65800.0,21000.0,120067.0,1.824726443768997,5.717476190476191,2.001116666666667,111566.0,1.695531914893617,5.312666666666667,1.8594333333333333
3707,9,False,False,0.1111111111111111,"(-0.001, 0.2]",20000.0,37000.0,44722.22222222222,90000.0,70000.0,21500.0,120067.0,1.715242857142857,5.584511627906977,3.2450540540540542,111566.0,1.5938,5.189116279069768,3.0152972972972973
3708,5,False,False,0.4,"(0.2, 0.429]",10000.0,20000.0,28800.0,50000.0,40000.0,34000.0,120067.0,3.001675,3.5313823529411765,6.00335,111566.0,2.78915,3.2813529411764706,5.5783
3709,2,False,False,1.0,"(0.8, 1.0]",85000.0,111000.0,111000.0,137000.0,52000.0,26000.0,120067.0,2.3089807692307693,4.617961538461539,1.0816846846846846,111566.0,2.1455,4.291,1.0050990990990991
3710,18,False,False,0.5,"(0.429, 0.612]",20000.0,27500.0,44977.77777777778,140000.0,120000.0,34225.0,120067.0,1.0005583333333334,3.5081665449233017,4.366072727272727,111566.0,0.9297166666666666,3.259780861943024,4.056945454545454
3711,5,False,False,0.4,"(0.2, 0.429]",16000.0,44100.0,76020.0,212000.0,196000.0,70000.0,120067.0,0.6125867346938776,1.715242857142857,2.7226077097505668,111566.0,0.5692142857142857,1.5938,2.52984126984127
3712,7,False,False,0.2857142857142857,"(0.2, 0.429]",15000.0,25000.0,24114.285714285714,30000.0,15000.0,5400.0,120067.0,8.004466666666668,22.23462962962963,4.80268,111566.0,7.437733333333333,20.66037037037037,4.46264
3713,10,False,False,0.6,"(0.429, 0.612]",12000.0,32000.0,57091.0,192000.0,180000.0,48067.5,120067.0,0.6670388888888888,2.4978831851042806,3.75209375,111566.0,0.6198111111111111,2.321027721433401,3.4864375
3714,22,True,True,0.5,"(0.429, 0.612]",14000.0,38000.0,51672.72727272727,181600.0,167600.0,29500.0,120067.0,0.716390214797136,4.07006779661017,3.159657894736842,111566.0,0.6656682577565632,3.781898305084746,2.9359473684210524
3715,14,False,False,0.6428571428571429,"(0.612, 0.8]",15000.0,38500.0,44272.857142857145,106020.0,91020.0,24800.0,120067.0,1.3191276642496155,4.841411290322581,3.1186233766233764,111566.0,1.225730608657438,4.498629032258065,2.897818181818182
3716,10,False,False,0.4,"(0.2, 0.429]",10000.0,29000.0,37360.0,130000.0,120000.0,11675.0,120067.0,1.0005583333333334,10.284111349036403,4.1402413793103445,111566.0,0.9297166666666666,9.555974304068522,3.847103448275862
3717,29,True,True,0.5517241379310345,"(0.429, 0.612]",12000.0,40000.0,62410.34482758621,300000.0,288000.0,42000.0,120067.0,0.41689930555555554,2.8587380952380954,3.001675,111566.0,0.38738194444444446,2.6563333333333334,2.78915
