state_fips,age,cow,english,marital,educ,sex,hours,yoep,nativity,income,state_abb,entry_recency,age_sq,educ_level,married,female,y
36,35,5.0,2.0,5,22.0,1,60.0,2018.0,2,73000.0,NY,0.0,1225,BAplus,0,0,11.19822841866684
36,37,1.0,1.0,1,21.0,1,40.0,2017.0,2,75000.0,NY,1.0,1369,BAplus,1,0,11.225256725762893
36,42,7.0,1.0,1,21.0,2,30.0,2018.0,2,200000.0,NY,0.0,1764,BAplus,1,1,12.206077645517674
36,47,1.0,1.0,1,22.0,1,80.0,2018.0,2,320000.0,NY,0.0,2209,BAplus,1,0,12.676079399771027
36,39,1.0,1.0,1,21.0,1,40.0,2017.0,2,70000.0,NY,1.0,1521,BAplus,1,0,11.156264806643742
36,38,1.0,2.0,1,21.0,1,40.0,2018.0,2,64000.0,NY,0.0,1444,BAplus,1,0,11.06665398721974
36,25,3.0,3.0,5,21.0,1,40.0,2018.0,2,70000.0,NY,0.0,625,BAplus,0,0,11.156264806643742
36,25,1.0,1.0,1,22.0,1,40.0,2018.0,2,75000.0,NY,0.0,625,BAplus,1,0,11.225256725762893
36,26,4.0,1.0,1,22.0,2,38.0,2018.0,2,75000.0,NY,0.0,676,BAplus,1,1,11.225256725762893
36,54,1.0,1.0,1,22.0,1,50.0,2018.0,2,300000.0,NY,0.0,2916,BAplus,1,0,12.611541086966115
36,32,1.0,2.0,5,21.0,2,40.0,2018.0,2,90000.0,NY,0.0,1024,BAplus,0,1,11.407576060361786
36,40,7.0,3.0,1,22.0,1,60.0,2017.0,2,760000.0,NY,1.0,1600,BAplus,1,0,13.541075028051122
36,38,1.0,1.0,3,20.0,1,60.0,2017.0,2,60000.0,NY,1.0,1444,SomeCollege,0,0,11.002116507732017
36,44,1.0,2.0,1,21.0,1,48.0,2017.0,2,100000.0,NY,1.0,1936,BAplus,1,0,11.51293546492023
36,46,1.0,3.0,1,21.0,1,50.0,2017.0,2,240000.0,NY,1.0,2116,BAplus,1,0,12.388398368982115
36,51,1.0,1.0,4,16.0,2,40.0,2017.0,2,300000.0,NY,1.0,2601,HS,0,1,12.611541086966115
36,42,1.0,1.0,5,24.0,1,42.0,2017.0,2,320000.0,NY,1.0,1764,BAplus,0,0,12.676079399771027
36,35,1.0,1.0,5,24.0,1,40.0,2017.0,2,95000.0,NY,1.0,1225,BAplus,0,0,11.461642696843066
36,35,1.0,1.0,1,24.0,2,40.0,2017.0,2,81000.0,NY,1.0,1225,BAplus,1,1,11.302216779257382
36,40,5.0,1.0,1,21.0,1,40.0,2018.0,2,300000.0,NY,0.0,1600,BAplus,1,0,12.611541086966115
36,37,1.0,1.0,1,21.0,1,40.0,2017.0,2,105000.0,NY,1.0,1369,BAplus,1,0,11.561725152903833
36,25,1.0,2.0,5,21.0,1,60.0,2017.0,2,170000.0,NY,1.0,625,BAplus,0,0,12.04355959836804
36,38,1.0,1.0,3,21.0,2,50.0,2017.0,2,118000.0,NY,1.0,1444,BAplus,0,1,11.678448377988165
36,26,1.0,1.0,5,21.0,2,60.0,2018.0,2,80000.0,NY,0.0,676,BAplus,0,1,11.289794413577894
36,39,2.0,1.0,1,21.0,2,40.0,2017.0,2,60000.0,NY,1.0,1521,BAplus,1,1,11.002116507732017
36,51,1.0,1.0,1,22.0,1,40.0,2018.0,2,97000.0,NY,0.0,2601,BAplus,1,0,11.48247656671073
36,31,1.0,3.0,1,21.0,1,50.0,2017.0,2,80000.0,NY,1.0,961,BAplus,1,0,11.289794413577894
36,41,1.0,3.0,1,22.0,1,50.0,2018.0,2,258000.0,NY,0.0,1681,BAplus,1,0,12.460718739865236
36,40,1.0,3.0,1,21.0,1,40.0,2018.0,2,90000.0,NY,0.0,1600,BAplus,1,0,11.407576060361786
36,39,1.0,1.0,1,22.0,1,40.0,2017.0,2,140000.0,NY,1.0,1521,BAplus,1,0,11.849404844423074
36,27,1.0,1.0,1,21.0,1,60.0,2017.0,2,285000.0,NY,1.0,729,BAplus,1,0,12.560247968016562
