o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.99,0.979,0.88,0.88,0.92,0.902,1.0,0.902
5,0.967,,0.88,,,1.0,0.775,
10,0.946,,0.88,,,1.0,0.907,
15,0.92,,0.88,,,1.0,0.861,
20,0.889,,0.88,,,1.0,0.907,
