o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.959,0.946,0.85,0.855,0.917,0.9,1.0,0.904
5,0.93,,0.85,,,1.0,0.775,
10,0.912,,0.85,,,1.0,0.791,
15,0.892,,0.85,,,1.0,0.861,
20,0.866,,0.85,,,1.0,0.853,
