tau_B,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite
5.0,0,Donor-HCP-no-within,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,0,Donor-HCP-within,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,0,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,0,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,0,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,0,S-HCP-within,0.8056,0.395777674956027,22.513441466230457,21.26254975753055,8.057799675670847,0.0,0
5.0,0,Std-CP,1.0,0.0,,,,1.0,5000
5.0,0,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,5,Donor-HCP-no-within,0.8004,0.3997396632305479,23.40656998277201,21.3951949640428,9.397322340766857,0.0,0
5.0,5,Donor-HCP-within,0.8098,0.3924981158606885,20.624473841909246,18.676795132073607,8.275690375712657,0.0,0
5.0,5,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,5,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,5,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,5,S-HCP-within,0.8042,0.3968549593639398,21.768622153712347,20.23691953212178,7.627697179939024,0.0,0
5.0,5,Std-CP,0.7492,0.4335169516748776,5.974179434665302,4.653287751576464,4.775111200865349,0.0,0
5.0,5,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,10,Donor-HCP-no-within,0.7978,0.40168075568278977,22.870166470464117,20.822029106867795,9.412785291803365,0.0,0
5.0,10,Donor-HCP-within,0.824,0.38085825526318823,18.538856413750818,17.151439695908486,6.810827029865275,0.0,0
5.0,10,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,10,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,10,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,10,S-HCP-within,0.7864,0.40988857233197645,20.394748348784084,18.723147634920604,7.09508063909578,0.0,0
5.0,10,Std-CP,0.8366,0.3697672045451189,40.55748758357295,6.797230811989429,599.5913549726159,0.0,0
5.0,10,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,15,Donor-HCP-no-within,0.7848,0.4110021223167949,22.14847872180715,19.980182321979846,9.268427806446214,0.0,0
5.0,15,Donor-HCP-within,0.8056,0.39577767495602734,14.276893155583599,12.927819019083719,5.5935405332971335,0.0,0
5.0,15,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,15,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
