alpha,experiment,o,method,coverage,width,n_infinite,n_total,proportion_infinite
0.05,0,0,dhcp_with,1.0,inf,1,1,1.0
0.05,0,0,dhcp_without,1.0,inf,1,1,1.0
0.05,0,0,hcp,1.0,inf,1,1,1.0
0.05,0,0,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,0,rep,1.0,inf,1,1,1.0
0.05,0,0,stdcp,1.0,inf,1,1,1.0
0.05,0,0,sub,1.0,inf,1,1,1.0
0.05,0,5,dhcp_with,1.0,inf,1,1,1.0
0.05,0,5,dhcp_without,1.0,inf,1,1,1.0
0.05,0,5,hcp,1.0,inf,1,1,1.0
0.05,0,5,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,5,rep,1.0,inf,1,1,1.0
0.05,0,5,stdcp,0.81,4.411781868861431,0,1,0.0
0.05,0,5,sub,1.0,inf,1,1,1.0
0.05,0,10,dhcp_with,1.0,inf,1,1,1.0
0.05,0,10,dhcp_without,1.0,inf,1,1,1.0
0.05,0,10,hcp,1.0,inf,1,1,1.0
0.05,0,10,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,10,rep,1.0,inf,1,1,1.0
0.05,0,10,stdcp,0.85,10.549118870432142,0,1,0.0
0.05,0,10,sub,1.0,inf,1,1,1.0
0.05,0,15,dhcp_with,0.97,31.513189140578262,0,1,0.0
0.05,0,15,dhcp_without,0.97,31.513189140578262,0,1,0.0
0.05,0,15,hcp,1.0,inf,1,1,1.0
0.05,0,15,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,15,rep,1.0,inf,1,1,1.0
0.05,0,15,stdcp,0.89,6.648493397728932,0,1,0.0
0.05,0,15,sub,1.0,inf,1,1,1.0
0.05,0,20,dhcp_with,0.92,27.9324451738278,0,1,0.0
0.05,0,20,dhcp_without,0.92,27.9324451738278,0,1,0.0
0.05,0,20,hcp,1.0,inf,1,1,1.0
0.05,0,20,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,20,rep,1.0,inf,1,1,1.0
0.05,0,20,stdcp,0.94,5.975485038022046,0,1,0.0
0.05,0,20,sub,1.0,inf,1,1,1.0
0.05,0,25,dhcp_with,1.0,inf,1,1,1.0
0.05,0,25,dhcp_without,1.0,inf,1,1,1.0
0.05,0,25,hcp,1.0,inf,1,1,1.0
0.05,0,25,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,25,rep,1.0,inf,1,1,1.0
0.05,0,25,stdcp,0.95,5.915309449303979,0,1,0.0
0.05,0,25,sub,1.0,inf,1,1,1.0
0.05,0,30,dhcp_with,1.0,inf,1,1,1.0
0.05,0,30,dhcp_without,1.0,inf,1,1,1.0
0.05,0,30,hcp,1.0,inf,1,1,1.0
0.05,0,30,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,30,rep,1.0,inf,1,1,1.0
0.05,0,30,stdcp,0.96,5.394396087076014,0,1,0.0
0.05,0,30,sub,1.0,inf,1,1,1.0
0.05,0,35,dhcp_with,1.0,inf,1,1,1.0
0.05,0,35,dhcp_without,1.0,inf,1,1,1.0
0.05,0,35,hcp,1.0,inf,1,1,1.0
0.05,0,35,pool,0.85,28.026675810448026,0,1,0.0
0.05,0,35,rep,1.0,inf,1,1,1.0
0.05,0,35,stdcp,0.95,5.850880181646794,0,1,0.0
0.05,0,35,sub,1.0,inf,1,1,1.0
0.05,1,0,dhcp_with,1.0,inf,1,1,1.0
0.05,1,0,dhcp_without,1.0,inf,1,1,1.0
0.05,1,0,hcp,1.0,inf,1,1,1.0
0.05,1,0,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,0,rep,1.0,inf,1,1,1.0
0.05,1,0,stdcp,1.0,inf,1,1,1.0
0.05,1,0,sub,1.0,inf,1,1,1.0
0.05,1,5,dhcp_with,1.0,inf,1,1,1.0
0.05,1,5,dhcp_without,1.0,inf,1,1,1.0
0.05,1,5,hcp,1.0,inf,1,1,1.0
0.05,1,5,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,5,rep,1.0,inf,1,1,1.0
0.05,1,5,stdcp,0.68,4.766164093455174,0,1,0.0
0.05,1,5,sub,1.0,inf,1,1,1.0
0.05,1,10,dhcp_with,1.0,inf,1,1,1.0
0.05,1,10,dhcp_without,1.0,inf,1,1,1.0
0.05,1,10,hcp,1.0,inf,1,1,1.0
0.05,1,10,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,10,rep,1.0,inf,1,1,1.0
0.05,1,10,stdcp,0.88,12.548468485137727,0,1,0.0
0.05,1,10,sub,1.0,inf,1,1,1.0
0.05,1,15,dhcp_with,0.98,30.270103289969434,0,1,0.0
0.05,1,15,dhcp_without,0.98,30.270103289969434,0,1,0.0
0.05,1,15,hcp,1.0,inf,1,1,1.0
0.05,1,15,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,15,rep,1.0,inf,1,1,1.0
0.05,1,15,stdcp,0.83,6.408201533326815,0,1,0.0
0.05,1,15,sub,1.0,inf,1,1,1.0
0.05,1,20,dhcp_with,0.96,27.0656164904815,0,1,0.0
0.05,1,20,dhcp_without,0.96,27.0656164904815,0,1,0.0
0.05,1,20,hcp,1.0,inf,1,1,1.0
0.05,1,20,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,20,rep,1.0,inf,1,1,1.0
0.05,1,20,stdcp,0.91,5.526198513880614,0,1,0.0
0.05,1,20,sub,1.0,inf,1,1,1.0
0.05,1,25,dhcp_with,1.0,inf,1,1,1.0
0.05,1,25,dhcp_without,1.0,inf,1,1,1.0
0.05,1,25,hcp,1.0,inf,1,1,1.0
0.05,1,25,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,25,rep,1.0,inf,1,1,1.0
0.05,1,25,stdcp,0.87,5.466465925888034,0,1,0.0
0.05,1,25,sub,1.0,inf,1,1,1.0
0.05,1,30,dhcp_with,1.0,inf,1,1,1.0
0.05,1,30,dhcp_without,1.0,inf,1,1,1.0
0.05,1,30,hcp,1.0,inf,1,1,1.0
0.05,1,30,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,30,rep,1.0,inf,1,1,1.0
0.05,1,30,stdcp,0.92,5.677372728152806,0,1,0.0
0.05,1,30,sub,1.0,inf,1,1,1.0
0.05,1,35,dhcp_with,1.0,inf,1,1,1.0
0.05,1,35,dhcp_without,1.0,inf,1,1,1.0
0.05,1,35,hcp,1.0,inf,1,1,1.0
0.05,1,35,pool,0.94,27.0656164904815,0,1,0.0
0.05,1,35,rep,1.0,inf,1,1,1.0
0.05,1,35,stdcp,0.94,5.562623360462366,0,1,0.0
0.05,1,35,sub,1.0,inf,1,1,1.0
0.05,2,0,dhcp_with,1.0,inf,1,1,1.0
0.05,2,0,dhcp_without,1.0,inf,1,1,1.0
0.05,2,0,hcp,1.0,inf,1,1,1.0
0.05,2,0,pool,0.97,46.82424559932931,0,1,0.0
0.05,2,0,rep,1.0,inf,1,1,1.0
0.05,2,0,stdcp,1.0,inf,1,1,1.0
0.05,2,0,sub,1.0,inf,1,1,1.0
0.05,2,5,dhcp_with,1.0,inf,1,1,1.0
0.05,2,5,dhcp_without,1.0,inf,1,1,1.0
0.05,2,5,hcp,1.0,inf,1,1,1.0
0.05,2,5,pool,0.97,46.82424559932931,0,1,0.0
0.05,2,5,rep,1.0,inf,1,1,1.0
0.05,2,5,stdcp,0.82,4.535528476975974,0,1,0.0
0.05,2,5,sub,1.0,inf,1,1,1.0
0.05,2,10,dhcp_with,1.0,inf,1,1,1.0
0.05,2,10,dhcp_without,1.0,inf,1,1,1.0
0.05,2,10,hcp,1.0,inf,1,1,1.0
0.05,2,10,pool,0.97,46.82424559932931,0,1,0.0
0.05,2,10,rep,1.0,inf,1,1,1.0
0.05,2,10,stdcp,0.85,11.987005405408745,0,1,0.0
0.05,2,10,sub,1.0,inf,1,1,1.0
0.05,2,15,dhcp_with,0.99,50.3678191784871,0,1,0.0
0.05,2,15,dhcp_without,0.99,50.3678191784871,0,1,0.0
0.05,2,15,hcp,1.0,inf,1,1,1.0
0.05,2,15,pool,0.97,46.82424559932931,0,1,0.0
0.05,2,15,rep,1.0,inf,1,1,1.0
0.05,2,15,stdcp,0.81,7.28177460523775,0,1,0.0
0.05,2,15,sub,1.0,inf,1,1,1.0
0.05,2,20,dhcp_with,0.97,45.182227553347815,0,1,0.0
