gamma,alpha,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,n_finite_total,base_seed
5.0,0.05,0,,,,,0,12345
5.0,0.05,5,,,,,0,12345
5.0,0.05,10,23.52285952722656,1.1154211695230285,1.6024977390515744,0.0438661486468923,1087,12345
5.0,0.05,15,20.78239945937081,2.096789285152067,3.5095683698311486,0.0965722712647029,4936,12345
5.0,0.05,20,15.638948157703531,1.4010982890272103,2.2378839866723443,0.0850047003412136,4428,12345
5.0,0.1,0,38.67729388193392,6.5699253329290404e-15,7.212635419846012e-15,1.765092895533805e-16,5000,12345
5.0,0.1,5,29.977294416559847,2.87838333927701,3.9280703049930183,0.0962782666370091,5000,12345
5.0,0.1,10,23.31183168451939,2.205951760526803,3.0363900714265686,0.0949014687667732,5000,12345
5.0,0.1,15,19.578753074355603,2.005826505714704,2.8563400657573776,0.1020709399228018,5000,12345
5.0,0.1,20,16.10238961979628,1.664805524373701,2.6067038691263185,0.0990007152850389,5000,12345
