experiment,o,alpha,coverage,width,method,dataset,nominal_coverage
10016,0,0.05,1,,D-HCP,fixedN21,0.95
10017,0,0.05,1,,D-HCP,fixedN21,0.95
10018,0,0.05,1,,D-HCP,fixedN21,0.95
10019,0,0.05,1,,D-HCP,fixedN21,0.95
10020,0,0.05,1,,D-HCP,fixedN21,0.95
10021,0,0.05,1,,D-HCP,fixedN21,0.95
10022,0,0.05,1,,D-HCP,fixedN21,0.95
10023,0,0.05,1,,D-HCP,fixedN21,0.95
10024,0,0.05,1,,D-HCP,fixedN21,0.95
10025,0,0.05,1,,D-HCP,fixedN21,0.95
10026,0,0.05,1,,D-HCP,fixedN21,0.95
10027,0,0.05,1,,D-HCP,fixedN21,0.95
10028,0,0.05,1,,D-HCP,fixedN21,0.95
10029,0,0.05,1,,D-HCP,fixedN21,0.95
10030,0,0.05,1,,D-HCP,fixedN21,0.95
10031,0,0.05,1,,D-HCP,fixedN21,0.95
10032,0,0.05,1,,D-HCP,fixedN21,0.95
10033,0,0.05,1,,D-HCP,fixedN21,0.95
10034,0,0.05,1,,D-HCP,fixedN21,0.95
10035,0,0.05,1,,D-HCP,fixedN21,0.95
10036,0,0.05,1,,D-HCP,fixedN21,0.95
10037,0,0.05,1,,D-HCP,fixedN21,0.95
10038,0,0.05,1,,D-HCP,fixedN21,0.95
10039,0,0.05,1,,D-HCP,fixedN21,0.95
10040,0,0.05,1,,D-HCP,fixedN21,0.95
10041,0,0.05,1,,D-HCP,fixedN21,0.95
10042,0,0.05,1,,D-HCP,fixedN21,0.95
10043,0,0.05,1,,D-HCP,fixedN21,0.95
10044,0,0.05,1,,D-HCP,fixedN21,0.95
10045,0,0.05,1,,D-HCP,fixedN21,0.95
10046,0,0.05,1,,D-HCP,fixedN21,0.95
10047,0,0.05,1,,D-HCP,fixedN21,0.95
10048,0,0.05,1,,D-HCP,fixedN21,0.95
10049,0,0.05,1,,D-HCP,fixedN21,0.95
10050,0,0.05,1,,D-HCP,fixedN21,0.95
10051,0,0.05,1,,D-HCP,fixedN21,0.95
10052,0,0.05,1,,D-HCP,fixedN21,0.95
10053,0,0.05,1,,D-HCP,fixedN21,0.95
10054,0,0.05,1,,D-HCP,fixedN21,0.95
10055,0,0.05,1,,D-HCP,fixedN21,0.95
10056,0,0.05,1,,D-HCP,fixedN21,0.95
10057,0,0.05,1,,D-HCP,fixedN21,0.95
10058,0,0.05,1,,D-HCP,fixedN21,0.95
10059,0,0.05,1,,D-HCP,fixedN21,0.95
10060,0,0.05,1,,D-HCP,fixedN21,0.95
10061,0,0.05,1,,D-HCP,fixedN21,0.95
10062,0,0.05,1,,D-HCP,fixedN21,0.95
10063,0,0.05,1,,D-HCP,fixedN21,0.95
10064,0,0.05,1,,D-HCP,fixedN21,0.95
10065,0,0.05,1,,D-HCP,fixedN21,0.95
10066,0,0.05,1,,D-HCP,fixedN21,0.95
10067,0,0.05,1,,D-HCP,fixedN21,0.95
10068,0,0.05,1,,D-HCP,fixedN21,0.95
10069,0,0.05,1,,D-HCP,fixedN21,0.95
10070,0,0.05,1,,D-HCP,fixedN21,0.95
10071,0,0.05,1,,D-HCP,fixedN21,0.95
10072,0,0.05,1,,D-HCP,fixedN21,0.95
10073,0,0.05,1,,D-HCP,fixedN21,0.95
