dataset,method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
poissonNmean21,D-HCP,0,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP,0,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,D-HCP,5,0.1,0.9,29.673841378395544,0.14044528163711842,9.930981103126094,27.378009835473495,22.06015348563661,35.246966771364754,11.697455612583822,74.35638999655097,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,D-HCP,10,0.1,0.9,22.77104778687943,0.10998635661802708,7.777209860260886,20.916532186884417,17.04946227761097,26.735443674496977,9.103039559540726,68.97355773745691,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP,10,0.05,0.95,23.112560468737733,0.17763216469596313,6.434110656972011,21.42760692702123,18.35446654650572,28.253941100188115,13.076086907030476,45.132739929335074,1312.0,1312.0,0.0,1.0,0.0
poissonNmean21,D-HCP,15,0.1,0.9,18.3946697740172,0.1053599648958493,7.450074564343164,16.876174598401825,13.608797527324256,21.589196674691724,6.918358436647104,76.0756549165003,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP,15,0.05,0.95,20.579705835368607,0.08508830168344984,5.87971862618525,19.28404426275663,16.513614053653033,24.29306676306136,7.394452545742215,48.57192107901965,4775.0,4775.0,0.0,1.0,0.0
poissonNmean21,D-HCP,20,0.1,0.9,14.090531032890658,0.0609388903413785,4.309030259837214,13.428970233841952,10.930153472807994,16.3092950937284,7.026374280188847,39.792806848402336,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP,20,0.05,0.95,16.722864789599683,0.07308980473662473,4.972793121249987,15.927306889219892,13.588120620059248,18.931737960545327,7.598932794108857,40.644160799572205,4629.0,4629.0,0.0,1.0,0.0
poissonNmean21,D-HCP,25,0.1,0.9,7.600662939197533,0.03713779985435076,2.42222740908132,7.100040541113308,5.882822854782716,8.937409239060894,2.427479920744041,17.180487630865006,4254.0,4254.0,0.0,1.0,0.0
poissonNmean21,D-HCP,25,0.05,0.95,9.161743680800294,0.04856889932595989,2.36246635209595,9.006058107308547,7.247015343634217,10.53584168618423,4.074696920784799,18.38518939420807,2366.0,2366.0,0.0,1.0,0.0
poissonNmean21,D-HCP,30,0.1,0.9,6.021891388466245,0.025540917146178573,1.6748299404035687,5.831942001072532,4.825155558833408,7.005577181299939,1.8701081244156268,12.949064459229271,4300.0,4300.0,0.0,1.0,0.0
poissonNmean21,D-HCP,30,0.05,0.95,6.842400664376409,0.1574512979389488,1.9219380250612357,6.9028567064254815,5.033513315709196,7.956432424318934,3.087622591165447,12.903224578388787,149.0,149.0,0.0,1.0,0.0
poissonNmean21,D-HCP,35,0.1,0.9,6.206847203669387,0.023637816322039932,1.6714460213756492,5.992053999434253,5.024591943783735,7.1905417155555735,2.1750646986151017,14.367579263219383,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP,35,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,D-HCP no within,0,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,0,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,D-HCP no within,5,0.1,0.9,34.05846797600401,0.16948081291294026,11.984103209174865,31.321873608967636,24.944805921971252,41.01113694398349,13.146523273916491,93.45531312878076,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,5,0.05,0.95,28.86002717085226,0.5820455578992554,3.3938796487189533,27.50942787500404,27.509427875004036,32.89565044280587,24.11005569996613,34.33090009900424,34.0,34.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,10,0.1,0.9,31.950870833400188,0.16400839800085842,11.59714503979492,29.21824789031404,23.27279135210774,37.75157642526455,11.736033529281684,97.96420191815491,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,10,0.05,0.95,33.263039249884095,0.15227462102686617,10.151133807030803,30.950894157428575,26.039370865700825,39.81312830757264,15.483358988678171,90.95388573844612,4444.0,4444.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,15,0.1,0.9,29.46245249218006,0.1741587232721485,12.31488142285276,26.78690618262396,21.679237563857676,34.816143762008224,10.615438861532052,124.58749579128934,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,15,0.05,0.95,31.096071949360457,0.13539095482067118,9.573586226501808,29.371439604411954,24.27617313313693,36.105509952523775,10.92116809975547,89.40028928149945,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,20,0.1,0.9,26.61655116792675,0.1250598398871345,8.843066083829669,24.98170978991418,20.386313959874023,31.00899235421246,10.0261475645717,78.82316725979409,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,20,0.05,0.95,30.17109669448404,0.1317582921196955,9.222139269698916,29.49378906601219,24.377147657252593,33.97337649649182,13.068101522282436,83.70555905082401,4899.0,4899.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,25,0.1,0.9,20.03215945474539,0.11462966707579343,7.941776297199183,19.492498957247307,13.81214885554978,25.194785395832383,3.2881929189028662,59.16144903987792,4800.0,4800.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,25,0.05,0.95,21.900352243532843,0.14166341589474898,8.532795726253509,20.69024905545116,15.045528874110376,28.217509451331125,4.766033121043824,56.49781498954087,3628.0,3628.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,30,0.1,0.9,14.757797978805376,0.10814364662144449,7.570055263501114,13.23182603266606,8.796840969927048,19.142696933234717,2.875751609414671,56.98284410045541,4900.0,4900.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,30,0.05,0.95,16.72178418864754,0.12874562324616226,7.668744693357036,15.281469540522664,10.772327128169996,21.483070301121884,3.4892948189632778,54.67206564722447,3548.0,3548.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,35,0.1,0.9,14.73952338424228,0.10638523185931505,7.522571886582481,13.26619683178882,8.816005234734998,18.994230405617657,2.875751609414671,57.28642080994999,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,D-HCP no within,35,0.05,0.95,16.800371935113734,0.10804573713432707,7.639987340598184,15.468407587770589,10.922127256120309,21.306185193656884,3.4892948189632778,54.67206564722447,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,0,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,0,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,HCP,5,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,HCP,10,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,HCP,15,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,HCP,20,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,HCP,25,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,25,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,HCP,30,0.1,0.9,33.93008247883251,0.1415593810158081,10.009759825684812,31.753194727818396,26.62807925761387,39.20040167859225,19.257787113983216,64.67403265279722,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,HCP,30,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
