dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.05,Std-CP,20,0.95,0.9086,0.28820592035991577,0.004075439608189527,5000.0,6.917814448393462,2.9207274780214534,0.04130532411413705,6.362333280740447,4.910541689724566,8.31409392436942,1.4615827069291676,33.7309680815337,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,25,0.95,0.9288,0.25718434780863225,0.003636772195230271,5000.0,6.753660793271227,2.490327893838236,0.03521855482222058,6.382939172592363,4.988611045905932,8.060515793990465,1.7182698402967649,28.374836272556617,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,30,0.95,0.9398,0.2378808051430193,0.0033638061775316374,5000.0,6.488750658945544,2.1199387936488674,0.029980461933790864,6.207313156338268,4.940303437260157,7.724635464680529,1.6210554262736565,18.531965054066923,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,35,0.95,0.9516,0.21463143602619383,0.0030350433275325743,5000.0,6.497310711341715,2.0173517537956616,0.028529662102949733,6.220601358725457,5.034258385624478,7.638605099827112,2.02102274849447,16.32699642253295,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,0,0.9,0.9428,0.2322476001804064,0.0032841485959073176,5000.0,33.915909916646115,10.081519647319805,0.1425742181457049,32.80845342980442,26.28595701746731,40.30128074415427,17.151095130494255,65.50671759538383,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,5,0.9,0.9494,0.21920139107672196,0.0030996657884359074,5000.0,29.39127554583327,9.142162453700687,0.12928970131441603,28.105480547047435,23.342627821451877,33.70078578609436,11.24944965419016,76.62453521724679,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,10,0.9,0.9422,0.23338820452371228,0.0033002775640845715,5000.0,23.119530174888183,7.274504716055196,0.10287703228992298,22.073944933661288,18.2050780949498,26.63341273124111,9.289764798304637,60.51478847381718,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,15,0.9,0.9224,0.2675678577701409,0.003783602516121375,5000.0,19.356592941050355,6.266006026591311,0.08861470704716981,18.466755500284,15.177305257118597,22.054690610364204,7.586894290209251,51.88642550648554,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,20,0.9,0.9058,0.2921359763632976,0.0041310134349817835,5000.0,15.086360708616098,4.208475910543458,0.05951683709611019,14.6460617216539,12.284976214724416,17.214042902655194,6.206957061738617,37.17113892714587,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,25,0.9,0.9356,0.24548868189508805,0.0034713870426675273,5000.0,6.022473797704822,1.7986762210889862,0.02543712306182032,5.801159507811839,4.719376895788969,7.099401757200841,1.1352935153117467,15.096217030392763,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,30,0.9,0.9418,0.23414466627482464,0.0033109744789110054,5000.0,6.0551935663777146,1.7387349249127835,0.024589425121834235,5.845338252131706,4.82924370594746,7.034207358240827,1.9805485495752249,15.127111119495233,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP,35,0.9,0.9508,0.21630699883163446,0.0030587369942510594,5000.0,6.23900284547017,1.695683184524013,0.023980581570418585,6.057584303728833,5.017321858768234,7.239651744366355,2.0287806772123966,14.523905107188313,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,0,0.9,0.9428,0.2322476001804064,0.0032841485959073176,5000.0,33.915909916646115,10.081519647319805,0.1425742181457049,32.80845342980442,26.28595701746731,40.30128074415427,17.151095130494255,65.50671759538383,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,5,0.9,0.9378,0.24154260196849983,0.003415586626042444,5000.0,33.4263466051119,10.850848303207595,0.15345416833649267,31.935624455042653,26.230517283397248,38.41259351226451,12.263459069738191,89.09162699947743,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,10,0.9,0.932,0.25177108200813514,0.0035602247120090596,5000.0,31.811832636509923,10.650536266072905,0.15062132834026803,29.953253300313428,24.75281824104332,36.576446303914075,11.675694233852926,86.74791232072357,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,15,0.9,0.9186,0.27347577186939237,0.003867144683096303,5000.0,30.32854858084906,10.435012128897533,0.14757335676214633,28.654805971638584,23.229445305946733,34.68802475444232,11.313126878731564,84.99998811332549,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,20,0.9,0.9068,0.29074157964286196,0.004111295659521459,5000.0,27.240945352420205,8.144998788803502,0.11518767752638344,26.246313541937454,21.72449596434347,31.237522617612974,10.429874039065057,72.0927337701367,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,25,0.9,0.9234,0.26598231015964874,0.0037611817291909734,5000.0,15.157596997814474,7.563491397936435,0.10696392113853946,13.747817276915042,9.147520299815925,19.71971344162749,2.718453293762753,49.89718371636802,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,30,0.9,0.9046,0.2937960231532145,0.00415448769404845,5000.0,14.619424811886967,7.496477509895002,0.106016201645184,13.25009298508215,8.643853240864887,19.01924987490753,2.5688325683154725,49.04382745522487,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.1,D-HCP no within,35,0.9,0.9184,0.27378172197255474,0.003871471038248898,5000.0,14.912922389987855,7.510518010702701,0.10621476431183158,13.489676377002827,8.971221689896993,19.44347161353929,2.774411774087499,49.89718371636802,5000.0,5000.0,0.0,1.0,0.0
