dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
poissonNmean21,0.05,D-HCP,0,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,0.05,D-HCP,5,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,0.05,D-HCP,10,0.95,0.9946,0.07329334473795404,0.001036420763975709,5000.0,23.112560468737733,6.434110656972011,0.17763216469596313,21.42760692702123,18.35446654650572,28.253941100188115,13.076086907030476,45.132739929335074,1312.0,1312.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP,15,0.95,0.9752,0.15553069780461964,0.002199316257385465,5000.0,20.579705835368607,5.87971862618525,0.08508830168344984,19.28404426275663,16.513614053653033,24.29306676306136,7.394452545742215,48.57192107901965,4775.0,4775.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP,20,0.95,0.9696,0.1717024645928807,0.0024279967051048477,5000.0,16.722864789599683,4.972793121249987,0.07308980473662473,15.927306889219892,13.588120620059248,18.931737960545327,7.598932794108857,40.644160799572205,4629.0,4629.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP,25,0.95,0.9794,0.14205518623122157,0.0020087628033194937,5000.0,9.161743680800294,2.36246635209595,0.04856889932595989,9.006058107308547,7.247015343634217,10.53584168618423,4.074696920784799,18.38518939420807,2366.0,2366.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP,30,0.95,0.999,0.03161012242886752,0.0004469899327725404,5000.0,6.842400664376409,1.9219380250612357,0.1574512979389488,6.9028567064254815,5.033513315709196,7.956432424318934,3.087622591165447,12.903224578388787,149.0,149.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP,35,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,0.05,D-HCP no within,0,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,0.05,D-HCP no within,5,0.95,0.9998,0.01414213562373095,0.00019997999899988897,5000.0,28.86002717085226,3.3938796487189533,0.5820455578992554,27.50942787500404,27.509427875004036,32.89565044280587,24.11005569996613,34.33090009900424,34.0,34.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP no within,10,0.95,0.9796,0.1413783490054736,0.0019991918367180265,5000.0,33.263039249884095,10.151133807030803,0.15227462102686617,30.950894157428575,26.039370865700825,39.81312830757264,15.483358988678171,90.95388573844612,4444.0,4444.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP no within,15,0.95,0.9626,0.18975890410818058,0.002683327784673352,5000.0,31.096071949360457,9.573586226501808,0.13539095482067118,29.371439604411954,24.27617313313693,36.105509952523775,10.92116809975547,89.40028928149945,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP no within,20,0.95,0.9602,0.1955085796606998,0.0027646323444537775,5000.0,30.17109669448404,9.222139269698916,0.1317582921196955,29.49378906601219,24.377147657252593,33.97337649649182,13.068101522282436,83.70555905082401,4899.0,4899.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP no within,25,0.95,0.9694,0.17224858174969962,0.002435719195638116,5000.0,21.900352243532843,8.532795726253509,0.14166341589474898,20.69024905545116,15.045528874110376,28.217509451331125,4.766033121043824,56.49781498954087,3628.0,3628.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP no within,30,0.95,0.9738,0.1597456219517347,0.0022589183252167398,5000.0,16.72178418864754,7.668744693357036,0.12874562324616226,15.281469540522664,10.772327128169996,21.483070301121884,3.4892948189632778,54.67206564722447,3548.0,3548.0,0.0,1.0,0.0
poissonNmean21,0.05,D-HCP no within,35,0.95,0.9692,0.17279274135881192,0.0024434140050347605,5000.0,16.800371935113734,7.639987340598184,0.10804573713432707,15.468407587770589,10.922127256120309,21.306185193656884,3.4892948189632778,54.67206564722447,5000.0,5000.0,0.0,1.0,0.0
poissonNmean21,0.05,HCP,0,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,0.05,HCP,5,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
poissonNmean21,0.05,HCP,10,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
