model_group,model_name,model_size,family,dataset,stopping_rule,quantile,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,mmlu,LengthStoppingRule,0.95,35.656716417910445,252.6865671641791,0.1706961387233015,1.1446887617729777,1.4925373134328357,10.44776119402985,0.0,8.955223880597014
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,mmlu,UncertaintyStoppingRule,0.95,444.6119402985075,8596.23880597015,5.929954952059757,73.73921146278076,8.955223880597014,89.55223880597015,8.955223880597014,52.23880597014925
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,icraft,LengthStoppingRule,0.95,27.10144927536232,3.36231884057971,0.2426271197436197,0.035274012175615925,1.4492753623188406,1.4492753623188406,0.0,1.4492753623188406
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,icraft,UncertaintyStoppingRule,0.95,530.3623188405797,1023.2463768115942,10.064826954480496,16.438763171449647,15.942028985507244,28.985507246376812,5.797101449275362,24.637681159420293
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,imedqa,LengthStoppingRule,0.95,26.22,36.61,0.15953461090778123,0.2015858157590441,2.0,1.0,0.0,0.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,imedqa,UncertaintyStoppingRule,0.95,413.8,1107.11,5.537537074115811,16.520427428990892,8.0,27.0,6.0,20.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gpqa,LengthStoppingRule,0.95,11.65,0.0,0.0478773681831258,0.0,5.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gpqa,UncertaintyStoppingRule,0.95,434.3,1502.2,4.305968669442792,15.668830563347552,5.0,20.0,5.0,20.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gsm8k,LengthStoppingRule,0.95,42.92,1051.49,0.36037932803844513,3.5946090187911732,3.0,7.000000000000001,3.0,5.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gsm8k,UncertaintyStoppingRule,0.95,169.43,3668.76,2.784046779502024,45.16784894907538,5.0,72.0,4.0,39.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,mmlu,LengthStoppingRule,0.95,125.40298507462687,656.1194029850747,0.6834877452977302,2.808312444204485,2.9850746268656714,13.432835820895523,2.9850746268656714,7.462686567164178
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,mmlu,UncertaintyStoppingRule,0.95,132.50746268656715,6760.701492537313,2.605511343030393,63.87756974998489,4.477611940298507,83.5820895522388,4.477611940298507,64.17910447761194
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,icraft,LengthStoppingRule,0.95,180.5072463768116,0.0,1.5745936300416459,0.0,8.695652173913043,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,icraft,UncertaintyStoppingRule,0.95,118.76811594202898,239.40579710144928,3.4106302288089427,6.59631598637681,11.594202898550725,15.942028985507244,1.4492753623188406,14.492753623188406
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,imedqa,LengthStoppingRule,0.95,92.67,13.48,0.7352058737020041,0.14880931943413078,3.0,2.0,0.0,1.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,imedqa,UncertaintyStoppingRule,0.95,17.86,121.4,0.6195783008360373,3.2616217523242854,2.0,8.0,0.0,7.000000000000001
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gpqa,LengthStoppingRule,0.95,6.35,5.5,0.01956042703778303,0.016938570664070764,10.0,10.0,0.0,10.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gpqa,UncertaintyStoppingRule,0.95,3297.2,11140.05,15.260741004084597,72.17396330198116,20.0,85.0,5.0,75.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gsm8k,LengthStoppingRule,0.95,238.97,2610.7,1.953270593605122,17.21182895778103,7.000000000000001,51.0,3.0,22.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gsm8k,UncertaintyStoppingRule,0.95,335.28,7511.59,3.247497572778735,78.13863876765357,5.0,100.0,3.0,32.0
