summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
resid_q75,0.27447593130904024,0.08244356944546351,0.21,0.2719499763321488
resid_sd,0.25909863896131113,0.10188159984547693,0.18,0.2598469713985742
resid_mean,0.2511915653393254,0.11315079665014145,0.225,0.2554950229222084
resid_median,0.20610814004711953,0.19606770602055443,0.06,0.20168203250990835
resid_q25,0.19811369544588533,0.21435937054889456,0.075,0.19457463268508257
