puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_educ_HS
101,27,32.96296296296296,8.604477731799708,47.111111111111114,12.463279397226612,2.0,2.1303665267886505,1157.851851851852,679.7306425627335,0.37037037037037035,0.6666666666666666,0.8888888888888888,0.1111111111111111,1.4074074074074074,-10924.198945765513,77574.18521102222,-53752.47839340712,-30193.443547504256,-9115.44321526098,,
102,25,30.36,3.289883483245772,43.8,6.658328118479393,3.88,1.96468827043885,932.12,203.982294983331,0.32,0.4,0.8,0.08,1.28,-3924.4404764926094,54364.1265362434,-37555.970093634154,-17958.35881363848,30943.690243949008,0.12,
105,25,39.12,7.518421820213779,41.0,2.5,3.08,1.5253414918196733,1584.64,609.6562474050438,0.44,0.56,0.56,0.04,1.96,-12984.631889775095,34388.74221009694,-44117.6538758431,-4401.167914555001,9526.414416902291,0.16,0.24
107,23,32.43478260869565,6.781164333897252,40.65217391304348,2.2884829364008,3.782608695652174,1.8329440238224415,1096.0,514.0263523488761,0.391304347826087,0.6521739130434783,0.4782608695652174,0.21739130434782608,1.565217391304348,-9306.08621084738,41585.48024117227,-31258.974617146217,-14838.053248115233,4230.988221114429,0.08695652173913043,0.21739130434782608
108,46,33.52173913043478,5.439522570695102,41.52173913043478,5.04089555727191,3.630434782608696,1.7173454405910422,1152.6521739130435,398.58244469292833,0.5,0.8478260869565217,0.8478260869565217,0.06521739130434782,1.3043478260869565,-6576.380995985813,38332.56017661726,-30460.251414501618,-6997.531450444178,14328.731524563664,0.021739130434782608,0.06521739130434782
109,85,34.694117647058825,7.096316162716575,41.78823529411765,4.758686587622228,3.4705882352941178,1.749749882085992,1253.4470588235295,537.9761568862986,0.3176470588235294,0.7764705882352941,0.9294117647058824,0.011764705882352941,1.3294117647058823,2999.8749168309478,42902.005066637605,-19298.187189007178,5458.26455326064,33912.546506506944,0.03529411764705882,0.023529411764705882
110,34,34.73529411764706,5.4289282581450236,40.88235294117647,2.6026176319860013,3.235294117647059,2.132843080923474,1235.1470588235295,396.71126301531774,0.3235294117647059,0.7941176470588235,0.8529411764705882,0.08823529411764706,1.2647058823529411,5653.424482515398,44050.151845403,-22583.213733960445,-7458.513934305243,27207.37910984249,0.029411764705882353,0.029411764705882353
1305,23,36.56521739130435,7.310180242501931,40.0,0.0,3.608695652173913,2.0391426548425735,1388.1304347826087,563.232497153531,0.34782608695652173,0.9130434782608695,1.0,,1.0869565217391304,17355.5634441918,52998.51432964674,-15694.503797717989,-6998.9374861002725,35929.2668291944,,
3714,22,36.59090909090909,7.142489168010793,40.22727272727273,1.066003581778052,3.227272727272727,2.0454785953372094,1387.590909090909,545.1507139001112,0.5454545454545454,0.7727272727272727,0.5,0.13636363636363635,2.0454545454545454,-12804.206347659723,44980.05739205227,-45559.31660056918,-10492.62545394637,14525.634310586407,0.13636363636363635,0.22727272727272727
3717,29,38.96551724137931,10.015997056925237,43.206896551724135,5.101675567503201,3.5172413793103448,1.8635735574269363,1615.1724137931035,775.3515363537423,0.3448275862068966,0.6551724137931034,0.5517241379310345,0.06896551724137931,2.3793103448275863,-1043.4219329988439,61377.692429135124,-42127.03422144096,-6489.4304815457435,15461.044346523588,0.10344827586206896,0.27586206896551724
3719,34,39.64705882352941,8.35530081405838,42.35294117647059,5.39855397553252,3.264705882352941,1.958800243955959,1639.6470588235295,654.1414860555521,0.3235294117647059,0.7058823529411765,0.4117647058823529,0.29411764705882354,1.7941176470588236,-11701.291479304036,49845.40562358684,-43018.687173554266,-20300.859969466823,12134.162869504675,0.058823529411764705,0.23529411764705882
3725,21,35.095238095238095,9.544133076947125,41.142857142857146,4.4077853201547175,3.380952380952381,1.5644868320376006,1318.4285714285713,731.374293465977,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.14285714285714285,2.0,-6793.360932451768,29002.863346382677,-28070.67801196003,-9473.585583097709,5103.447343588661,0.14285714285714285,0.19047619047619047
3729,33,34.78787878787879,6.863661448880508,46.121212121212125,12.67812480159619,2.6666666666666665,2.01038968030247,1255.878787878788,539.8999767072461,0.3939393939393939,0.6060606060606061,0.9696969696969697,0.030303030303030304,1.2727272727272727,-25373.140237987805,44132.04762709419,-48775.30628917087,-33676.7155399413,-13583.975024996791,,
3730,24,36.291666666666664,7.8711314399473435,41.875,4.121127958723669,2.625,1.8132963018384143,1376.4583333333333,609.3813669306921,0.4583333333333333,0.6666666666666666,0.7083333333333334,0.20833333333333334,1.5,-22649.31829195742,26892.257191269382,-47254.019975683594,-24764.95957702608,-5701.111225602268,0.041666666666666664,0.041666666666666664
3733,25,34.6,8.972179222463181,40.24,0.8793937305515279,3.12,1.8101565309847287,1274.44,673.6099316369971,0.28,0.32,0.52,0.04,1.96,-28586.95153796165,34504.38069935031,-51248.65055413236,-17481.538267050346,-4660.1741682603315,0.24,0.2
3734,27,33.77777777777778,8.186918896974674,44.074074074074076,11.578912948598632,2.8518518518518516,1.6101529717988265,1205.4814814814815,639.9798296322958,0.2222222222222222,0.4444444444444444,0.2962962962962963,0.18518518518518517,2.888888888888889,-11637.306132667336,32262.894482492706,-28723.16230097681,-11187.682399385492,1964.068644054918,0.25925925925925924,0.25925925925925924
3736,32,36.1875,7.760268951109129,40.96875,2.6818911839559494,3.5625,1.605183136974036,1367.875,598.2845234232137,0.46875,0.625,0.53125,0.09375,2.34375,-16214.898021831956,29814.021895725786,-34295.87436446874,-18942.74307875942,3541.8065649214695,0.21875,0.15625
3737,21,38.23809523809524,6.587144767687756,42.285714285714285,6.141195788629907,2.8095238095238093,1.3645163106041502,1503.4761904761904,510.9702162599714,0.6190476190476191,0.6666666666666666,0.23809523809523808,0.23809523809523808,2.7142857142857144,-5947.518897181147,24045.261281098672,-25775.30628917087,793.1984208828362,12260.258505273261,0.14285714285714285,0.38095238095238093
3742,22,42.63636363636363,8.709849129661881,41.13636363636363,4.3457198926393525,2.272727272727273,1.804275825757042,1890.2727272727273,726.708180235216,0.22727272727272727,0.6818181818181818,0.22727272727272727,,2.5,-14340.406835057687,30090.44325889925,-22033.58929529154,-9764.363222216765,-1094.015339278878,0.5909090909090909,0.18181818181818182
3744,21,32.57142857142857,4.738896797477537,43.42857142857143,8.298020417975776,3.8095238095238093,1.9395630337539334,1082.2857142857142,330.3460523234904,0.23809523809523808,0.5238095238095238,0.3333333333333333,0.23809523809523808,1.7142857142857142,-14846.81873083481,29020.94728696577,-37552.13410766263,-10368.306119754328,5589.839631574607,0.2857142857142857,0.14285714285714285
3745,22,36.36363636363637,8.375391701119783,44.27272727272727,8.664002254439634,3.727272727272727,1.5486343655842065,1389.2727272727273,651.4618127768454,0.2727272727272727,0.5909090909090909,0.045454545454545456,0.09090909090909091,2.772727272727273,-5746.843968634184,31582.58679157597,-20129.715807259825,-3581.4294901310204,9572.576493221335,0.5,0.36363636363636365
3758,31,37.193548387096776,8.627163901842096,42.58064516129032,6.152366447410769,3.4193548387096775,1.857851690320249,1455.3870967741937,664.8344494393249,0.1935483870967742,0.7419354838709677,0.0967741935483871,0.3548387096774194,2.129032258064516,-13135.612818080022,32563.291698989007,-25190.210874703247,-13467.832426592184,-3845.7173004840733,0.12903225806451613,0.41935483870967744
3761,26,38.61538461538461,6.400480751174387,41.46153846153846,4.536348921595597,3.076923076923077,1.3834182859302364,1530.5384615384614,506.00389174544745,0.3076923076923077,0.8076923076923077,0.7307692307692307,0.11538461538461539,1.8076923076923077,-16460.6204362416,41096.57025061271,-37091.400615716746,-13023.910239171033,4097.384728026074,0.038461538461538464,0.11538461538461539
5903,22,38.40909090909091,8.48336799081193,42.04545454545455,3.9937722081030667,2.8181818181818183,1.6223546566748692,1543.9545454545455,661.7140424881236,0.18181818181818182,0.9090909090909091,0.9090909090909091,0.045454545454545456,1.5454545454545454,-20497.484583491812,43442.40449436966,-55276.94324458653,-25994.202413915584,4280.9701179960175,,0.045454545454545456
5904,54,36.96296296296296,7.155847227671382,43.611111111111114,7.54962617259371,3.111111111111111,1.7119630866531244,1416.5185185185185,544.5286256744414,0.3333333333333333,0.7777777777777778,0.9259259259259259,0.05555555555555555,1.4814814814814814,-8124.904566843137,47931.57472926037,-36800.53383505064,-11852.991053308928,25700.87481237563,0.018518518518518517,
5905,25,39.28,8.218475122146039,43.36,8.16945530620004,3.48,2.219609575278199,1607.76,661.7304511657296,0.48,0.8,0.52,0.2,1.8,-15980.242198003594,40465.49542567619,-45907.28851685356,-21071.22999078108,8006.387910220888,0.12,0.16
7311,22,36.36363636363637,7.0814677960989245,42.59090909090909,6.83589330149595,2.6363636363636362,1.5597757636597747,1370.1818181818182,527.7923145260144,0.3181818181818182,0.5909090909090909,0.6818181818181818,0.13636363636363635,1.8181818181818181,-15691.02303692556,37501.20927930223,-43098.46330660034,-10501.525548083402,1304.3584166593791,0.09090909090909091,0.09090909090909091
7312,34,34.3235294117647,7.518545105212094,44.73529411764706,11.037975285156328,3.176470588235294,2.0071174602171977,1232.9705882352941,563.1309920970871,0.35294117647058826,0.5882352941176471,0.8823529411764706,0.08823529411764706,1.3235294117647058,-22542.23694218615,38756.3475927222,-44844.84890011965,-19991.93945300943,-2378.914946905599,,0.029411764705882353
7503,22,33.54545454545455,6.871107713616576,43.40909090909091,7.774556125189589,2.5454545454545454,1.792239161529848,1170.3636363636363,503.6974285889293,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.18181818181818182,1.5909090909090908,12246.313462577049,52792.64232527936,-17232.66156560072,1751.1596722803515,43110.345002144,0.09090909090909091,0.09090909090909091
8103,27,33.74074074074074,7.101422352613554,42.592592592592595,4.749568881320131,2.962962962962963,1.8704479406215768,1187.0,540.7838328261615,0.5925925925925926,0.4444444444444444,0.7407407407407407,0.2222222222222222,1.5555555555555556,666.3066086867852,39405.28365642559,-18718.128413514452,451.27825114384177,22457.50704796682,,0.037037037037037035
8104,36,33.69444444444444,6.27384340823957,43.52777777777778,7.74775953277964,2.6944444444444446,1.5272654263551186,1173.5833333333333,451.1578358591845,0.4166666666666667,0.6944444444444444,0.8333333333333334,0.08333333333333333,1.3611111111111112,17578.60246782014,49675.05547509218,-16255.80573165902,13887.28135560127,53542.280597508565,,0.08333333333333333
8105,24,32.75,5.817888456042838,43.833333333333336,6.565169401878547,2.875,1.918162617216527,1105.0,397.8632056810263,0.375,0.625,0.8333333333333334,0.125,1.3333333333333333,16573.013939113003,65528.474761119316,-28190.043062733457,10234.190352398538,61071.049286632086,0.041666666666666664,
