replicate,method,o,coverage,width,width_income
3,Repeated,0,1.0,2.3844,167706.759
3,Repeated,5,0.9333,2.3844,181678.3852
3,Repeated,10,0.9333,2.3844,181963.7537
3,Repeated,20,0.9,2.3844,180548.838
3,Std-CP,0,1.0,,
3,Std-CP,5,0.8333,14.5299,5.187755030927259e+56
3,Std-CP,10,0.9,5.2424,11938854524.4281
3,Std-CP,20,0.8667,6.6684,173902667012.6167
4,donor-HCP-randomized,0,0.8333,1.9545,144838.585
4,donor-HCP-randomized,5,0.9667,1.9545,152736.6369
4,donor-HCP-randomized,10,0.8333,1.8653,144864.9115
4,donor-HCP-randomized,20,0.8621,1.823,112124.8268
4,donor-HCP-derandomized,0,0.9667,3.2656,318992.091
4,donor-HCP-derandomized,5,1.0,3.0855,301552.048
4,donor-HCP-derandomized,10,1.0,2.8232,262719.1959
4,donor-HCP-derandomized,20,0.9655,2.4875,172635.9089
4,sample-HCP-randomized,0,0.8,1.9623,147318.3932
4,sample-HCP-randomized,5,0.9,1.8719,143462.897
4,sample-HCP-randomized,10,0.8,1.8089,139564.0542
4,sample-HCP-randomized,20,0.8621,1.8276,114372.1272
4,sample-HCP-derandomized,0,0.9667,3.2456,315766.1626
4,sample-HCP-derandomized,5,0.9667,2.5057,215918.4556
4,sample-HCP-derandomized,10,0.9667,2.4121,205366.0404
4,sample-HCP-derandomized,20,0.9655,2.4291,167697.6332
4,HCP,0,0.8333,1.9545,144838.585
4,HCP,5,0.9667,1.9545,152735.0327
4,HCP,10,0.8667,1.9545,153811.7635
4,HCP,20,0.8966,1.9545,122649.4107
4,Pooling,0,0.7333,1.7267,123791.2997
4,Pooling,5,0.9,1.7267,130540.2715
4,Pooling,10,0.8,1.7267,131460.5366
4,Pooling,20,0.8621,1.7267,104826.5555
4,Subsampling,0,0.8333,1.9447,143893.3599
4,Subsampling,5,0.9667,1.9447,151738.275
4,Subsampling,10,0.8667,1.9447,152807.9789
4,Subsampling,20,0.8966,1.9447,121848.9935
4,Repeated,0,0.8333,1.9361,143074.0368
4,Repeated,5,0.9667,1.9361,150874.2833
4,Repeated,10,0.8667,1.9361,151937.8963
4,Repeated,20,0.8966,1.9361,121155.1902
4,Std-CP,0,1.0,,
4,Std-CP,5,0.9333,11.5702,6.316367394890485e+30
4,Std-CP,10,0.9,8.91,398364623560.6261
4,Std-CP,20,0.7241,5.9979,7669019395.922
5,donor-HCP-randomized,0,0.8667,1.7498,117640.5026
5,donor-HCP-randomized,5,0.8667,1.7718,108982.3978
5,donor-HCP-randomized,10,0.8667,1.763,115811.8701
5,donor-HCP-randomized,20,0.7586,1.7059,114425.6296
5,donor-HCP-derandomized,0,1.0,3.122,271000.536
5,donor-HCP-derandomized,5,0.9333,2.5834,180074.7824
5,donor-HCP-derandomized,10,1.0,2.5046,185492.289
5,donor-HCP-derandomized,20,0.8621,2.0614,145819.351
5,sample-HCP-randomized,0,0.8333,1.7023,115425.4129
5,sample-HCP-randomized,5,0.8333,1.6156,96748.1705
5,sample-HCP-randomized,10,0.8333,1.5349,98375.4609
5,sample-HCP-randomized,20,0.7241,1.5259,99751.2273
5,sample-HCP-derandomized,0,1.0,2.8014,226835.4086
5,sample-HCP-derandomized,5,0.8667,2.0151,126696.3217
5,sample-HCP-derandomized,10,0.9,2.0051,136315.9077
5,sample-HCP-derandomized,20,0.8621,1.9909,139058.3488
5,HCP,0,0.8667,1.7498,117640.5026
5,HCP,5,0.8667,1.7498,107398.8356
5,HCP,10,0.8667,1.7498,114635.5241
5,HCP,20,0.7931,1.7498,118005.5668
5,Pooling,0,0.8333,1.551,101583.3296
5,Pooling,5,0.8,1.551,92739.5844
5,Pooling,10,0.8333,1.551,98988.5114
5,Pooling,20,0.7586,1.551,101898.5648
5,Subsampling,0,0.9667,2.4691,186745.2054
5,Subsampling,5,0.9,2.4691,170487.3506
5,Subsampling,10,1.0,2.4691,181975.0343
5,Subsampling,20,0.8966,2.4691,187324.7165
5,Repeated,0,0.9333,1.8842,129145.7242
5,Repeated,5,0.8667,1.8842,117902.4239
5,Repeated,10,0.8667,1.8842,125846.8593
5,Repeated,20,0.8276,1.8842,129546.4916
5,Std-CP,0,1.0,,
5,Std-CP,5,0.7,8.7015,8.595951589795584e+16
5,Std-CP,10,0.8333,7.8293,36463033863.7856
5,Std-CP,20,0.8276,6.3426,290815803.247
6,donor-HCP-randomized,0,0.9333,2.0604,125879.1352
6,donor-HCP-randomized,5,0.8333,2.0082,140538.095
6,donor-HCP-randomized,10,0.8667,1.9194,131257.0589
6,donor-HCP-randomized,20,0.931,1.7916,128316.1479
6,donor-HCP-derandomized,0,1.0,3.0955,233444.4355
6,donor-HCP-derandomized,5,0.9,2.8581,235259.5017
6,donor-HCP-derandomized,10,0.9667,2.66,207820.1477
6,donor-HCP-derandomized,20,1.0,2.4761,202586.0951
6,sample-HCP-randomized,0,0.9,2.0563,141641.2684
6,sample-HCP-randomized,5,0.7667,1.7577,120053.5121
6,sample-HCP-randomized,10,0.7667,1.6683,110651.5113
6,sample-HCP-randomized,20,0.931,1.7491,126307.6872
6,sample-HCP-derandomized,0,1.0,2.9927,220607.4425
6,sample-HCP-derandomized,5,0.8667,2.4408,184427.5643
6,sample-HCP-derandomized,10,0.9667,2.3645,174665.3233
6,sample-HCP-derandomized,20,1.0,2.3518,188358.9401
6,HCP,0,0.9333,2.0604,125879.1352
6,HCP,5,0.8333,2.0604,145395.5977
6,HCP,10,0.9,2.0604,144055.5611
6,HCP,20,0.931,2.0604,153664.7719
6,Pooling,0,0.8333,1.784,104532.906
6,Pooling,5,0.7333,1.784,120739.8217
6,Pooling,10,0.8333,1.784,119627.0248
6,Pooling,20,0.931,1.784,127606.7327
6,Subsampling,0,0.9667,2.1855,136307.8999
6,Subsampling,5,0.8667,2.1855,157441.2514
6,Subsampling,10,0.9,2.1855,155990.1963
6,Subsampling,20,0.9655,2.1855,166395.5056
6,Repeated,0,1.0,2.2963,145984.6689
6,Repeated,5,0.8667,2.2963,168618.3191
6,Repeated,10,0.9333,2.2963,167064.2507
6,Repeated,20,1.0,2.2963,178208.2536
6,Std-CP,0,1.0,,
6,Std-CP,5,0.7,8.7904,4.811253874927743e+19
6,Std-CP,10,0.8,8.1882,4.960910316821109e+24
6,Std-CP,20,0.8621,6.4704,3320312972.6605
7,donor-HCP-randomized,0,0.8333,2.1153,156426.6193
7,donor-HCP-randomized,5,0.9,2.0419,147025.4928
7,donor-HCP-randomized,10,0.9,1.8909,137951.2601
7,donor-HCP-randomized,20,0.8966,1.8633,129356.416
7,donor-HCP-derandomized,0,0.9,3.3838,328708.6278
7,donor-HCP-derandomized,5,0.9667,3.0258,272486.3521
7,donor-HCP-derandomized,10,1.0,2.7391,235164.747
7,donor-HCP-derandomized,20,0.9655,2.4108,187784.479
7,sample-HCP-randomized,0,0.7333,1.9562,148378.2512
7,sample-HCP-randomized,5,0.8667,1.8376,135054.7326
7,sample-HCP-randomized,10,0.9,1.8231,135457.7722
7,sample-HCP-randomized,20,0.8621,1.7839,124628.3977
7,sample-HCP-derandomized,0,0.9,3.2155,300233.7277
7,sample-HCP-derandomized,5,0.9333,2.4353,196471.9345
7,sample-HCP-derandomized,10,0.9667,2.4015,193314.2598
7,sample-HCP-derandomized,20,0.9655,2.3649,182380.5377
7,HCP,0,0.8333,2.1153,156426.6193
7,HCP,5,0.9,2.1153,153946.0352
7,HCP,10,0.9333,2.1153,159939.2386
7,HCP,20,0.9655,2.1153,152726.5214
7,Pooling,0,0.8333,1.8247,129012.083
7,Pooling,5,0.8667,1.8247,126966.2335
7,Pooling,10,0.9,1.8247,131909.0985
7,Pooling,20,0.8966,1.8247,125960.4456
7,Subsampling,0,0.8333,1.7642,123670.972
7,Subsampling,5,0.8667,1.7642,121709.8209
7,Subsampling,10,0.8667,1.7642,126448.0508
7,Subsampling,20,0.8621,1.7642,120745.6726
7,Repeated,0,0.8333,2.1932,164307.3084
7,Repeated,5,0.9,2.1932,161701.7539
7,Repeated,10,0.9333,2.1932,167996.8916
7,Repeated,20,0.9655,2.1932,160420.8016
7,Std-CP,0,1.0,,
