summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
entry_recency_mean,-0.21750958741844206,0.0050109873735957235,0.99,-0.21904912953286843
english_mean,-0.13439673675085131,0.08524193624670112,0.095,-0.13395446125268945
age_sq_mean,-0.1232591416596113,0.11473628402838335,0.15,-0.11946884428713211
age_mean,-0.11843367447225628,0.12975217106912806,0.115,-0.11490716037699202
entry_recency_sd,0.11205367651676777,0.15187817276622761,0.2,0.11195777147584347
hours_mean,-0.11055945352377293,0.1574491130275396,0.1,-0.10648650516217034
hours_sd,-0.10266917620924122,0.1894345078043584,0.12,-0.10188736704516742
age_sq_sd,-0.10230098568965287,0.19103661450615034,0.105,-0.10216938265328113
age_sd,-0.09176873456560665,0.24107475263485262,0.06,-0.0911631971453334
prop_female,0.05645550927724134,0.4669142653317383,0.02,0.05726229663707216
prop_married,-0.013937391818533429,0.7403828502674215,0.0,-0.011052963037334516
prop_educ_<HS,,,0.0,
prop_educ_BAplus,,,0.0,
prop_educ_HS,,,0.0,
prop_educ_SomeCollege,,,0.0,
