experiment,o_observed,coverage_none,coverage_constant,coverage_linear,coverage_spline,coverage_stdcp,coverage_hcp,width_none,width_constant,width_linear,width_spline,width_stdcp,width_hcp,infinite_none,infinite_constant,infinite_linear,infinite_spline,infinite_stdcp,infinite_hcp
1,0,0.8,0.8,0.8,0.8,,0.8,5.365804600968889,5.365804600968889,5.365804600968889,5.365804600968889,,5.365804600968889,0,0,0,0,0,0
1,20,0.8,0.8,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.7666666666666667,4.970698184716049,4.900799522357273,5.848225500071944,14.430954814941426,6.648350085609236,5.365804600968889,0,0,0,0,0,0
1,50,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8,0.8,4.275157843017254,4.31715553789529,5.217230804733054,5.562190948471026,5.181465065344136,5.365804600968889,0,0,0,0,0,0
1,100,0.7,0.7333333333333333,0.8,0.9,0.7,0.8,4.324897560518563,4.306626692545773,4.419696690952556,4.594224220309576,4.228648596729064,5.365804600968889,0,0,0,0,0,0
1,250,0.6333333333333333,0.6333333333333333,0.7,0.7,0.7333333333333333,0.8,4.2044574234897105,4.049141160362824,4.154661704406495,4.2758098550753285,4.106798957682294,5.365804600968889,0,0,0,0,0,0
1,500,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9,0.8333333333333334,0.9,4.282461248957816,4.289507189665149,4.304920721306608,4.2433339701454305,4.264301560443629,5.365804600968889,0,0,0,0,0,0
1,750,0.8333333333333334,0.8,0.8,0.8666666666666667,0.8333333333333334,0.8666666666666667,4.285841938481358,4.152175774478967,4.131216221978349,4.433279294197299,4.184632634613008,5.365804600968889,0,0,0,0,0,0
1,1000,0.8,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.9,4.233734794282732,4.373759487849356,4.207124108270598,4.450984694772702,4.057926198881345,5.365804600968889,0,0,0,0,0,0
2,0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,,0.8666666666666667,8.506676898873675,8.506676898873675,8.506676898873675,8.506676898873675,,8.506676898873675,0,0,0,0,0,0
2,20,0.9333333333333333,0.9,0.9,0.9,0.9333333333333333,0.8,5.148031122357552,5.354548975563153,5.834084742366226,12.322987664599587,7.927498933155477,8.506676898873675,0,0,0,0,0,0
2,50,0.7666666666666667,0.8333333333333334,0.7666666666666667,0.7666666666666667,0.8333333333333334,0.9,4.428143769071157,4.512306557565115,4.800216427764983,5.517788298949892,4.981291261297979,8.506676898873675,0,0,0,0,0,0
2,100,0.7,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.7,0.7,4.369531099296838,4.2138106480046496,4.379021076931137,4.757719581133861,4.508949989783832,8.506676898873675,0,0,0,0,0,0
2,250,0.7,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.8,0.9333333333333333,4.209097401619321,4.191974539911646,4.2387080817529466,4.234419875927823,4.166716074866266,8.506676898873675,0,0,0,0,0,0
