source_file,config,format,method,o_observed,coverage_mean,coverage_std,coverage_n,width_mean,width_std,width_n,infinite_rate_mean,infinite_rate_std,infinite_n
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,donor_hcp_randomized,40,0.8301999999999998,0.05251628318912145,50,1.5489744129773977,0.14230673535346822,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,0,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,5,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,10,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,15,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,20,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,25,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,30,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,35,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,hcp,40,0.8845999999999999,0.03774705286509134,50,1.7916363185546222,0.1396046132317014,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,0,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,5,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,10,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,15,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,20,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,25,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,30,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,35,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,pool,40,0.8026000000000001,0.056491061239810327,50,1.4569794737859447,0.1284220080578112,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,0,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
