puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_<HS,prop_educ_SomeCollege,prop_educ_HS,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75
101,67,37.43283582089552,9.392491973519956,46.82089552238806,9.570987367345582,8.298507462686567,6.329380565635189,1488.1194029850747,739.3934353195041,0.44776119402985076,0.6865671641791045,0.8805970149253731,0.04477611940298507,0.05970149253731343,0.014925373134328358,1.3432835820895523,2535.9122351304836,100148.13995095405,-49918.29383752891,-26600.783202362974,8584.566066541913
102,74,35.16216216216216,8.570460621286024,43.62162162162162,8.52506811558808,9.054054054054054,5.071791156118784,1308.837837837838,659.6038459690626,0.47297297297297297,0.5675675675675675,0.6081081081081081,0.13513513513513514,0.12162162162162163,0.13513513513513514,1.445945945945946,-2380.3374254166024,73590.93946488132,-40749.8127715705,-17171.33297847437,17772.434293701663
103,25,37.8,7.297259759663213,43.24,6.186544539024458,10.8,5.024937810560445,1479.96,582.2059687086693,0.4,0.72,0.64,0.12,0.12,0.12,1.28,3155.6808812421978,56411.32934383921,-27360.060378587805,-3337.942068603501,32215.010112478863
104,52,34.92307692307692,7.09002655999382,42.34615384615385,5.397474410785378,10.76923076923077,5.956098817361238,1268.923076923077,532.0324273676737,0.3076923076923077,0.5576923076923077,0.19230769230769232,0.3076923076923077,0.1346153846153846,0.36538461538461536,2.1346153846153846,-10820.43532514956,36451.86944214461,-24380.490457263222,-4383.753235057666,17151.720095819364
105,70,39.34285714285714,7.560165848740058,42.857142857142854,6.609798861825435,9.428571428571429,5.520899497630795,1604.2,606.7515213789349,0.4142857142857143,0.6714285714285714,0.4714285714285714,0.17142857142857143,0.15714285714285714,0.2,1.8857142857142857,-9089.955665124524,41722.079270594986,-32467.19990238482,-3783.7586684281414,16287.591293931386
106,50,39.56,6.667496546986855,43.48,8.862302644531235,11.2,5.558593273812491,1608.56,530.0258045316169,0.44,0.72,0.5,0.24,0.14,0.12,1.82,481.46398268890744,42540.61393460639,-20373.697889609954,592.1124543061014,17197.562541830688
107,98,37.683673469387756,7.993034259640309,41.285714285714285,4.43044760485681,11.642857142857142,5.386600404478299,1483.295918367347,631.8120105570956,0.4489795918367347,0.7448979591836735,0.3979591836734694,0.1326530612244898,0.19387755102040816,0.2755102040816326,1.6224489795918366,-1830.461151792813,35508.11607248529,-20413.161670917805,101.47236843642895,14904.931972893864
108,148,36.229729729729726,6.424966814382223,41.21621621621622,4.108296799452092,10.054054054054054,5.47944058888554,1353.5945945945946,491.23351386143315,0.43243243243243246,0.7837837837837838,0.7905405405405406,0.033783783783783786,0.10135135135135136,0.07432432432432433,1.3513513513513513,5477.207996175881,54622.236428863325,-17536.16986098657,327.4139527370571,25527.549518171443
109,252,37.3968253968254,6.998667334815691,41.63095238095238,4.170030893781712,9.531746031746032,5.513744518250188,1447.3095238095239,552.1052856501198,0.38095238095238093,0.8571428571428571,0.8690476190476191,0.03571428571428571,0.051587301587301584,0.04365079365079365,1.3492063492063493,22798.60572652686,71626.63669066464,-11321.924570678733,15488.669930394579,43909.71446926843
110,167,39.209580838323355,6.5975829229843495,41.50898203592814,4.179508623151848,10.952095808383234,5.471512624531174,1580.6586826347304,522.5342183117655,0.32335329341317365,0.8922155688622755,0.9041916167664671,0.023952095808383235,0.059880239520958084,0.011976047904191617,1.251497005988024,27476.448466034086,90147.92684224168,-14793.161474643333,11535.095858918678,47349.402245837
1301,50,38.52,8.152225187653006,41.18,3.414793745825743,11.48,4.937321425342172,1548.92,641.8835115883408,0.44,0.74,0.18,0.34,0.18,0.3,2.1,-1314.6366245696177,43496.181163562935,-21023.648627993483,444.78840928965656,23744.48141987515
1302,44,38.63636363636363,7.548574204169702,44.38636363636363,9.048232280372623,11.704545454545455,5.097101526812079,1548.4545454545455,614.4172302023732,0.38636363636363635,0.7727272727272727,0.5681818181818182,0.09090909090909091,0.1590909090909091,0.18181818181818182,1.6363636363636365,-18969.714727335286,45033.58198935744,-46536.29774197555,-18474.85809421548,4023.408324897071
