summary,spearman_rho,p_value,subsample
resid_mean,0.2210662090517413,0.0011956255247128579,0
resid_median,0.2707294510912847,6.513067527712282e-05,0
resid_q25,0.2314502941059992,0.000683091838329206,0
resid_q75,0.23113717658341984,0.0006949752625826841,0
resid_sd,0.0323657931462445,0.6393629574284878,0
resid_mean,0.18102924737911533,0.008239186121927184,1
resid_median,0.20227282245828992,0.003092751917022046,1
resid_q25,0.2084417678197621,0.0022838979184778003,1
resid_q75,0.19966453697772946,0.003506773370283384,1
resid_sd,0.039261593542568037,0.5696976176870973,1
resid_mean,0.12431903650196975,0.07085201706706226,2
resid_median,0.18985496487576173,0.005549863710739147,2
resid_q25,0.20754772160551885,0.0023877468581180758,2
resid_q75,0.15814108563253101,0.021252448438665163,2
resid_sd,-0.022223650473463943,0.7476740147814908,2
resid_mean,0.17111826644778985,0.01258788079305506,3
resid_median,0.19754609866050338,0.003879195896413982,3
resid_q25,0.17243847083495592,0.011911202577729376,3
resid_q75,0.2346071960486954,0.0005733275190310811,3
resid_sd,-0.03262655870745001,0.6366648359222721,3
resid_mean,0.22510996485594267,0.0009643012960366195,4
resid_median,0.25154806549855174,0.00021507027796379238,4
resid_q25,0.2488427802681709,0.0002526906989580032,4
resid_q75,0.2450484523920791,0.0003158536318608096,4
resid_sd,0.0935474405427087,0.17478250346327545,4
resid_mean,0.2253801784447281,0.0009504170209527549,5
resid_median,0.25594785818596794,0.00016484175179578214,5
resid_q25,0.2602847385560629,0.00012623732163212742,5
resid_q75,0.1955729111671232,0.0042577830644082385,5
resid_sd,0.025165136393342544,0.7156330272693734,5
resid_mean,0.21030490563822396,0.0020805662483533104,6
resid_median,0.2927299053498028,1.4756512380789582e-05,6
resid_q25,0.29643299679478685,1.1351828391278839e-05,6
resid_q75,0.21862207315310164,0.0013590798173360758,6
resid_sd,0.025296778910955955,0.7142101529838487,6
resid_mean,0.19029083388144824,0.0054402357607138685,7
resid_median,0.19171540223493166,0.005095343462045414,7
resid_q25,0.19471326327387609,0.004432883226494595,7
resid_q75,0.23419872619437807,0.0005865480466255408,7
resid_sd,0.050106039598788565,0.4680241700312165,7
resid_mean,0.2376903285128453,0.00048208054821086144,8
resid_median,0.2813616314612099,3.228056312198078e-05,8
resid_q25,0.20191165644525436,0.0031473093248249135,8
resid_q75,0.2458235829889514,0.0003018656148994645,8
resid_sd,0.0271467027111023,0.6943213276191015,8
resid_mean,0.14705665967578077,0.03234126430347332,9
resid_median,0.24525079462374635,0.0003121451799240758,9
resid_q25,0.21822550209271505,0.0013874530315622832,9
resid_q75,0.18382088247335698,0.0072844122938667535,9
resid_sd,-0.0591944122621565,0.3911464028718174,9
resid_mean,0.15919485564194366,0.020394136400129263,10
resid_median,0.23125164334292697,0.0006906090784224891,10
resid_q25,0.16505767168953034,0.016146361809246855,10
resid_q75,0.17485386678439954,0.010755677597190831,10
resid_sd,0.03953243699985878,0.5670363279953907,10
resid_mean,0.13690695858093632,0.04648147311784072,11
resid_median,0.1782892851315082,0.00928279590225611,11
resid_q25,0.262335276120797,0.00011109537326101703,11
resid_q75,0.22745220250957776,0.0008499078463976933,11
resid_sd,0.015103616889243882,0.8269427451269357,11
resid_mean,0.15241180170807372,0.02648610082976692,12
resid_median,0.18311920873749035,0.0075146288125070276,12
resid_q25,0.14057099219800956,0.04087379903694924,12
resid_q75,0.18733655362840956,0.0062229230850546595,12
resid_sd,0.008529049430637283,0.9017484988079592,12
resid_mean,0.17611690290606752,0.010191774617264185,13
resid_median,0.2590636565041174,0.00013615015029152787,13
resid_q25,0.28002639840022814,3.531132920591031e-05,13
resid_q75,0.1980023139921707,0.003796105140983263,13
resid_sd,-0.0193848331199537,0.7790133236636034,13
resid_mean,0.234299116480163,0.0005832729533241256,14
resid_median,0.2535303415124669,0.0001908936137908314,14
resid_q25,0.2851988801946059,2.4878609831253e-05,14
resid_q75,0.189028951849491,0.005763062224848189,14
resid_sd,-0.0006909657503440735,0.9920203833751859,14
resid_mean,0.20759647106531645,0.002381975516317651,15
resid_median,0.23768252999426892,0.00048229333759396413,15
resid_q25,0.22522467183911785,0.0009583847288682419,15
resid_q75,0.21656618170438646,0.0015121499096810232,15
resid_sd,0.05963595008439095,0.3876164190024222,15
resid_mean,0.13608812952401078,0.047818898640401106,16
resid_median,0.21512479491124,0.0016286995757702183,16
resid_q25,0.22850243662563563,0.0008027899398414355,16
resid_q75,0.12836216243766585,0.062089412817941274,16
resid_sd,-0.057524000986028445,0.40467529011463504,16
resid_mean,0.1877197106427021,0.006116030874436718,17
resid_median,0.20752214658168783,0.0023907797092935197,17
resid_q25,0.2565474126029527,0.00015891581572168037,17
resid_q75,0.18986717150704177,0.0055467668096410945,17
resid_sd,0.06720570978141473,0.33013298160124627,17
resid_mean,0.19030972993660805,0.00543552730595708,18
resid_median,0.2686250604149861,7.458391596733199e-05,18
resid_q25,0.25978485594271716,0.0001302108264120359,18
resid_q75,0.28154366345924947,3.188691322297783e-05,18
resid_sd,0.022533545778084984,0.7442768064663063,18
resid_mean,0.17368183126447206,0.01130340503552003,19
resid_median,0.20001764125337734,0.00344793821137803,19
resid_q25,0.20596209199422671,0.0025825375215071103,19
resid_q75,0.209915398062541,0.002121658798072887,19
resid_sd,0.04247392291973738,0.5385210650577278,19
resid_mean,0.1739715707769226,0.011165761235853902,20
resid_median,0.18878645239858555,0.005827029880960757,20
resid_q25,0.1841455797900888,0.007180022995356723,20
resid_q75,0.23285230852342614,0.0006321473569631199,20
resid_sd,0.05975373549488716,0.3866780219902119,20
resid_mean,0.1696758675705903,0.013365602204914175,21
resid_median,0.25861833947085094,0.00013994302717398467,21
resid_q25,0.21106137771312208,0.0020028235215316073,21
resid_q75,0.1703951774036741,0.01297264214554544,21
resid_sd,-0.01328077743482661,0.8475571506596901,21
resid_mean,0.21468690082978614,0.0016656996434789486,22
resid_median,0.2660382742295582,8.797012692296034e-05,22
resid_q25,0.28008434632096396,3.517440905166016e-05,22
resid_q75,0.2684094149644504,7.562222024646941e-05,22
resid_sd,-0.0005416869145814979,0.9937442898153485,22
resid_mean,0.22665629203652124,0.000887297502813966,23
resid_median,0.2464713253456135,0.00029062052205309374,23
resid_q25,0.25095228890842547,0.00022287660055760159,23
resid_q75,0.24152685757879405,0.0003873228504560913,23
resid_sd,0.05577296654121848,0.4191512852236333,23
resid_mean,0.21256676344085437,0.0018559364781810994,24
resid_median,0.27412358384396757,5.2218975093800944e-05,24
resid_q25,0.27827608089203826,3.969183356384602e-05,24
resid_q75,0.2188868640233087,0.0013404319103149111,24
resid_sd,0.04541288936559468,0.5107619497570811,24
resid_mean,0.1773615230725943,0.009661818775333553,25
resid_median,0.239495292123375,0.0004351036074876473,25
resid_q25,0.15279270154648436,0.026106707508854403,25
resid_q75,0.2695075061909497,7.047291371225242e-05,25
