summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
hours_mean,-0.14199811209122057,0.03885153537307048,0.55,-0.14355047138995153
prop_married,-0.11786159225758483,0.08691525430507721,0.3,-0.11966304101093589
hours_sd,-0.1102676771188475,0.10940084281148461,0.31,-0.11295545839656088
age_mean,-0.09781015237630851,0.1558640614202761,0.18,-0.10062017671812981
age_sq_mean,-0.09406127057891886,0.17241575532267323,0.155,-0.09577767929502778
entry_recency_mean,-0.09383063491892231,0.1734752839957572,0.125,-0.09553070317577599
english_mean,0.04711405773869923,0.4950402486331581,0.0,0.04629650676852354
entry_recency_sd,-0.042650309942901705,0.5313516502345077,0.01,-0.04211873851689124
age_sd,0.03352997932695668,0.5779733039990864,0.03,0.036286311205094714
age_sq_sd,0.03242657545700858,0.6034620351808255,0.02,0.03190923925884304
prop_female,0.025180987507900647,0.5932353199272888,0.01,0.022702640023389273
prop_educ_<HS,,,0.0,
prop_educ_BAplus,,,0.0,
prop_educ_HS,,,0.0,
prop_educ_SomeCollege,,,0.0,
