tau_B,experiment,o,method,coverage,width,n_infinite
5.0,7,15,Std-CP,0.92,5.733941243370684,0
5.0,7,15,Subsampling,0.38,6.86532016833533,0
5.0,7,20,Donor-HCP-no-within,0.53,9.958749870751708,0
5.0,7,20,Donor-HCP-within,0.63,5.85228864094079,0
5.0,7,20,HCP,0.47,7.819950135015184,0
5.0,7,20,Pooling,0.37,6.711601231073594,0
5.0,7,20,Repeated,0.45,7.533911791813019,0
5.0,7,20,S-HCP-within,0.53,9.342744842892273,0
5.0,7,20,Std-CP,0.85,3.0436839293549274,0
5.0,7,20,Subsampling,0.38,6.86532016833533,0
5.0,7,25,Donor-HCP-no-within,0.83,11.054491794792241,0
5.0,7,25,Donor-HCP-within,0.86,3.18461726624746,0
5.0,7,25,HCP,0.47,7.819950135015184,0
5.0,7,25,Pooling,0.37,6.711601231073594,0
5.0,7,25,Repeated,0.45,7.533911791813019,0
5.0,7,25,S-HCP-within,0.91,11.599346504314553,0
5.0,7,25,Std-CP,0.88,2.9375278478508426,0
5.0,7,25,Subsampling,0.38,6.86532016833533,0
5.0,7,30,Donor-HCP-no-within,0.83,11.073259294118708,0
5.0,7,30,Donor-HCP-within,0.81,2.5081748335244956,0
5.0,7,30,HCP,0.47,7.819950135015184,0
5.0,7,30,Pooling,0.37,6.711601231073594,0
5.0,7,30,Repeated,0.45,7.533911791813019,0
5.0,7,30,S-HCP-within,0.85,11.248658993733482,0
5.0,7,30,Std-CP,0.83,2.4238421711620823,0
5.0,7,30,Subsampling,0.38,6.86532016833533,0
5.0,7,35,Donor-HCP-no-within,0.85,11.022105990593438,0
5.0,7,35,Donor-HCP-within,0.88,2.540441746746482,0
5.0,7,35,HCP,0.47,7.819950135015184,0
5.0,7,35,Pooling,0.37,6.711601231073594,0
5.0,7,35,Repeated,0.45,7.533911791813019,0
5.0,7,35,S-HCP-within,0.9,11.412603427566541,0
5.0,7,35,Std-CP,0.81,2.4064969162211645,0
5.0,7,35,Subsampling,0.38,6.86532016833533,0
5.0,8,0,Donor-HCP-no-within,0.71,25.282910984428646,0
5.0,8,0,Donor-HCP-within,0.71,25.282910984428646,0
5.0,8,0,HCP,0.71,25.282910984428646,0
5.0,8,0,Pooling,0.6,20.53109886266731,0
5.0,8,0,Repeated,0.68,23.189214121478663,0
5.0,8,0,S-HCP-within,0.95,23.45802108355295,0
5.0,8,0,Std-CP,1.0,,100
5.0,8,0,Subsampling,0.62,21.60318012993296,0
5.0,8,5,Donor-HCP-no-within,0.72,23.651603068167095,0
5.0,8,5,Donor-HCP-within,0.71,20.7823211982953,0
5.0,8,5,HCP,0.71,25.282910984428646,0
5.0,8,5,Pooling,0.6,20.53109886266731,0
5.0,8,5,Repeated,0.68,23.189214121478663,0
5.0,8,5,S-HCP-within,0.93,21.891162732230413,0
5.0,8,5,Std-CP,0.81,6.568163271371385,0
5.0,8,5,Subsampling,0.62,21.60318012993296,0
5.0,8,10,Donor-HCP-no-within,0.72,22.64622303830324,0
5.0,8,10,Donor-HCP-within,0.65,15.257194561655483,0
5.0,8,10,HCP,0.71,25.282910984428646,0
5.0,8,10,Pooling,0.6,20.53109886266731,0
5.0,8,10,Repeated,0.68,23.189214121478663,0
5.0,8,10,S-HCP-within,0.92,20.49665637680659,0
5.0,8,10,Std-CP,0.88,17.45075798042659,0
5.0,8,10,Subsampling,0.62,21.60318012993296,0
5.0,8,15,Donor-HCP-no-within,0.69,22.26316646594025,0
5.0,8,15,Donor-HCP-within,0.76,14.503423421058255,0
5.0,8,15,HCP,0.71,25.282910984428646,0
5.0,8,15,Pooling,0.6,20.53109886266731,0
5.0,8,15,Repeated,0.68,23.189214121478663,0
5.0,8,15,S-HCP-within,0.93,20.908015226190958,0
5.0,8,15,Std-CP,0.94,5.797914787929304,0
5.0,8,15,Subsampling,0.62,21.60318012993296,0
5.0,8,20,Donor-HCP-no-within,0.64,21.627927433869466,0
5.0,8,20,Donor-HCP-within,0.71,11.402472804798027,0
5.0,8,20,HCP,0.71,25.282910984428646,0
5.0,8,20,Pooling,0.6,20.53109886266731,0
5.0,8,20,Repeated,0.68,23.189214121478663,0
5.0,8,20,S-HCP-within,0.93,20.313650614613206,0
5.0,8,20,Std-CP,0.82,2.8625372782738636,0
5.0,8,20,Subsampling,0.62,21.60318012993296,0
5.0,8,25,Donor-HCP-no-within,0.81,16.064683645554535,0
5.0,8,25,Donor-HCP-within,0.87,3.3127643716556014,0
5.0,8,25,HCP,0.71,25.282910984428646,0
5.0,8,25,Pooling,0.6,20.53109886266731,0
5.0,8,25,Repeated,0.68,23.189214121478663,0
5.0,8,25,S-HCP-within,0.85,16.7885382071965,0
5.0,8,25,Std-CP,0.84,2.902218644696573,0
5.0,8,25,Subsampling,0.62,21.60318012993296,0
5.0,8,30,Donor-HCP-no-within,0.83,16.041443959134348,0
5.0,8,30,Donor-HCP-within,0.86,2.8284553117138107,0
5.0,8,30,HCP,0.71,25.282910984428646,0
5.0,8,30,Pooling,0.6,20.53109886266731,0
5.0,8,30,Repeated,0.68,23.189214121478663,0
5.0,8,30,S-HCP-within,0.82,16.221393199734074,0
5.0,8,30,Std-CP,0.83,2.418822580849693,0
5.0,8,30,Subsampling,0.62,21.60318012993296,0
5.0,8,35,Donor-HCP-no-within,0.83,16.039353764326577,0
5.0,8,35,Donor-HCP-within,0.9,2.8864312667845335,0
5.0,8,35,HCP,0.71,25.282910984428646,0
5.0,8,35,Pooling,0.6,20.53109886266731,0
5.0,8,35,Repeated,0.68,23.189214121478663,0
5.0,8,35,S-HCP-within,0.85,16.513492368526965,0
5.0,8,35,Std-CP,0.88,2.596934911856973,0
5.0,8,35,Subsampling,0.62,21.60318012993296,0
5.0,9,0,Donor-HCP-no-within,0.92,20.191674390790496,0
5.0,9,0,Donor-HCP-within,0.92,20.191674390790496,0
5.0,9,0,HCP,0.92,20.191674390790496,0
5.0,9,0,Pooling,0.79,16.69457359665034,0
5.0,9,0,Repeated,0.92,18.726147473207774,0
5.0,9,0,S-HCP-within,0.73,13.393738125996475,0
5.0,9,0,Std-CP,1.0,,100
5.0,9,0,Subsampling,0.79,16.62561114257391,0
5.0,9,5,Donor-HCP-no-within,0.8,17.856157099388216,0
5.0,9,5,Donor-HCP-within,0.87,16.237391990233277,0
5.0,9,5,HCP,0.92,20.191674390790496,0
5.0,9,5,Pooling,0.79,16.69457359665034,0
5.0,9,5,Repeated,0.92,18.726147473207774,0
5.0,9,5,S-HCP-within,0.74,13.292711783736626,0
5.0,9,5,Std-CP,0.79,5.730315271952677,0
5.0,9,5,Subsampling,0.79,16.62561114257391,0
5.0,9,10,Donor-HCP-no-within,0.85,17.595497735864466,0
5.0,9,10,Donor-HCP-within,0.95,17.522520270651675,0
5.0,9,10,HCP,0.92,20.191674390790496,0
5.0,9,10,Pooling,0.79,16.69457359665034,0
5.0,9,10,Repeated,0.92,18.726147473207774,0
5.0,9,10,S-HCP-within,0.73,12.752261630410757,0
5.0,9,10,Std-CP,0.82,18.07946834769455,0
5.0,9,10,Subsampling,0.79,16.62561114257391,0
5.0,9,15,Donor-HCP-no-within,0.83,16.513690295787534,0
5.0,9,15,Donor-HCP-within,0.87,11.179075269797004,0
5.0,9,15,HCP,0.92,20.191674390790496,0
5.0,9,15,Pooling,0.79,16.69457359665034,0
5.0,9,15,Repeated,0.92,18.726147473207774,0
5.0,9,15,S-HCP-within,0.73,12.916055425645268,0
5.0,9,15,Std-CP,0.89,5.212671739266793,0
5.0,9,15,Subsampling,0.79,16.62561114257391,0
5.0,9,20,Donor-HCP-no-within,0.86,16.660449786447856,0
5.0,9,20,Donor-HCP-within,0.83,8.631204175734538,0
5.0,9,20,HCP,0.92,20.191674390790496,0
5.0,9,20,Pooling,0.79,16.69457359665034,0
5.0,9,20,Repeated,0.92,18.726147473207774,0
5.0,9,20,S-HCP-within,0.74,12.8459610465925,0
5.0,9,20,Std-CP,0.78,2.8194663563129603,0
5.0,9,20,Subsampling,0.79,16.62561114257391,0
5.0,9,25,Donor-HCP-no-within,0.81,10.635051589888615,0
5.0,9,25,Donor-HCP-within,0.91,3.0008770576246504,0
5.0,9,25,HCP,0.92,20.191674390790496,0
5.0,9,25,Pooling,0.79,16.69457359665034,0
5.0,9,25,Repeated,0.92,18.726147473207774,0
5.0,9,25,S-HCP-within,0.86,11.00556660933595,0
5.0,9,25,Std-CP,0.84,2.813098195155855,0
5.0,9,25,Subsampling,0.79,16.62561114257391,0
5.0,9,30,Donor-HCP-no-within,0.83,10.632680869371562,0
5.0,9,30,Donor-HCP-within,0.82,2.5129358896640657,0
5.0,9,30,HCP,0.92,20.191674390790496,0
5.0,9,30,Pooling,0.79,16.69457359665034,0
5.0,9,30,Repeated,0.92,18.726147473207774,0
5.0,9,30,S-HCP-within,0.82,10.721688597535776,0
5.0,9,30,Std-CP,0.78,2.3181868385248054,0
5.0,9,30,Subsampling,0.79,16.62561114257391,0
5.0,9,35,Donor-HCP-no-within,0.82,10.63392837274225,0
5.0,9,35,Donor-HCP-within,0.85,2.585380972071896,0
5.0,9,35,HCP,0.92,20.191674390790496,0
5.0,9,35,Pooling,0.79,16.69457359665034,0
5.0,9,35,Repeated,0.92,18.726147473207774,0
5.0,9,35,S-HCP-within,0.84,10.916994163395948,0
5.0,9,35,Std-CP,0.86,2.420351904419,0
5.0,9,35,Subsampling,0.79,16.62561114257391,0
5.0,10,0,Donor-HCP-no-within,0.94,41.23569254923174,0
5.0,10,0,Donor-HCP-within,0.94,41.23569254923174,0
5.0,10,0,HCP,0.94,41.23569254923174,0
5.0,10,0,Pooling,0.92,38.57163106155451,0
5.0,10,0,Repeated,0.92,39.62506898808727,0
5.0,10,0,S-HCP-within,0.92,28.633116305485864,0
5.0,10,0,Std-CP,1.0,,100
5.0,10,0,Subsampling,0.94,40.75235567357694,0
5.0,10,5,Donor-HCP-no-within,0.91,35.50284216501365,0
5.0,10,5,Donor-HCP-within,0.88,31.825152455718356,0
5.0,10,5,HCP,0.94,41.23569254923174,0
5.0,10,5,Pooling,0.92,38.57163106155451,0
5.0,10,5,Repeated,0.92,39.62506898808727,0
5.0,10,5,S-HCP-within,0.92,27.27936966486493,0
5.0,10,5,Std-CP,0.7,5.5477147938084235,0
5.0,10,5,Subsampling,0.94,40.75235567357694,0
5.0,10,10,Donor-HCP-no-within,0.9,35.28577220043206,0
5.0,10,10,Donor-HCP-within,0.91,27.47770968381164,0
5.0,10,10,HCP,0.94,41.23569254923174,0
5.0,10,10,Pooling,0.92,38.57163106155451,0
5.0,10,10,Repeated,0.92,39.62506898808727,0
5.0,10,10,S-HCP-within,0.92,26.76438536969561,0
5.0,10,10,Std-CP,0.87,36.0336119274978,0
5.0,10,10,Subsampling,0.94,40.75235567357694,0
5.0,10,15,Donor-HCP-no-within,0.92,33.57262360473574,0
5.0,10,15,Donor-HCP-within,0.92,22.215965234892998,0
5.0,10,15,HCP,0.94,41.23569254923174,0
5.0,10,15,Pooling,0.92,38.57163106155451,0
5.0,10,15,Repeated,0.92,39.62506898808727,0
5.0,10,15,S-HCP-within,0.91,26.89215569549158,0
5.0,10,15,Std-CP,0.91,4.958556966625007,0
5.0,10,15,Subsampling,0.94,40.75235567357694,0
5.0,10,20,Donor-HCP-no-within,0.91,34.38092030099931,0
5.0,10,20,Donor-HCP-within,0.94,19.36029226366554,0
5.0,10,20,HCP,0.94,41.23569254923174,0
5.0,10,20,Pooling,0.92,38.57163106155451,0
5.0,10,20,Repeated,0.92,39.62506898808727,0
5.0,10,20,S-HCP-within,0.91,26.592191807109874,0
5.0,10,20,Std-CP,0.74,3.017316590387612,0
5.0,10,20,Subsampling,0.94,40.75235567357694,0
5.0,10,25,Donor-HCP-no-within,0.8,9.951244280259411,0
5.0,10,25,Donor-HCP-within,0.88,2.9653083062387258,0
5.0,10,25,HCP,0.94,41.23569254923174,0
5.0,10,25,Pooling,0.92,38.57163106155451,0
5.0,10,25,Repeated,0.92,39.62506898808727,0
5.0,10,25,S-HCP-within,0.86,10.41603511769963,0
5.0,10,25,Std-CP,0.81,2.9699636104192035,0
5.0,10,25,Subsampling,0.94,40.75235567357694,0
5.0,10,30,Donor-HCP-no-within,0.79,9.873574953407505,0
5.0,10,30,Donor-HCP-within,0.81,2.4832586237116585,0
5.0,10,30,HCP,0.94,41.23569254923174,0
5.0,10,30,Pooling,0.92,38.57163106155451,0
5.0,10,30,Repeated,0.92,39.62506898808727,0
5.0,10,30,S-HCP-within,0.82,9.987824471454825,0
5.0,10,30,Std-CP,0.78,2.4619179325953477,0
5.0,10,30,Subsampling,0.94,40.75235567357694,0
5.0,10,35,Donor-HCP-no-within,0.77,9.872215929480053,0
5.0,10,35,Donor-HCP-within,0.84,2.6195466789379993,0
5.0,10,35,HCP,0.94,41.23569254923174,0
5.0,10,35,Pooling,0.92,38.57163106155451,0
5.0,10,35,Repeated,0.92,39.62506898808727,0
5.0,10,35,S-HCP-within,0.85,10.207503950780062,0
5.0,10,35,Std-CP,0.83,2.5471756134045394,0
5.0,10,35,Subsampling,0.94,40.75235567357694,0
5.0,11,0,Donor-HCP-no-within,0.87,49.1735728547479,0
5.0,11,0,Donor-HCP-within,0.87,49.1735728547479,0
5.0,11,0,HCP,0.87,49.1735728547479,0
5.0,11,0,Pooling,0.82,45.736894029543336,0
5.0,11,0,Repeated,0.85,48.23095401179185,0
5.0,11,0,S-HCP-within,0.94,36.011232926772365,0
5.0,11,0,Std-CP,1.0,,100
5.0,11,0,Subsampling,0.85,47.99609805749188,0
5.0,11,5,Donor-HCP-no-within,0.83,37.505749047524546,0
5.0,11,5,Donor-HCP-within,0.86,31.907587572154647,0
5.0,11,5,HCP,0.87,49.1735728547479,0
5.0,11,5,Pooling,0.82,45.736894029543336,0
5.0,11,5,Repeated,0.85,48.23095401179185,0
5.0,11,5,S-HCP-within,0.93,33.53614059554748,0
5.0,11,5,Std-CP,0.72,6.186571270081791,0
5.0,11,5,Subsampling,0.85,47.99609805749188,0
5.0,11,10,Donor-HCP-no-within,0.84,36.648003294337485,0
5.0,11,10,Donor-HCP-within,0.79,25.18394377320341,0
5.0,11,10,HCP,0.87,49.1735728547479,0
5.0,11,10,Pooling,0.82,45.736894029543336,0
5.0,11,10,Repeated,0.85,48.23095401179185,0
5.0,11,10,S-HCP-within,0.92,32.030891925435384,0
5.0,11,10,Std-CP,0.87,31.391492555382815,0
5.0,11,10,Subsampling,0.85,47.99609805749188,0
5.0,11,15,Donor-HCP-no-within,0.84,36.48322735835684,0
5.0,11,15,Donor-HCP-within,0.81,22.135662879673376,0
5.0,11,15,HCP,0.87,49.1735728547479,0
5.0,11,15,Pooling,0.82,45.736894029543336,0
5.0,11,15,Repeated,0.85,48.23095401179185,0
5.0,11,15,S-HCP-within,0.91,32.3342515766716,0
5.0,11,15,Std-CP,0.9,4.89079089191564,0
5.0,11,15,Subsampling,0.85,47.99609805749188,0
5.0,11,20,Donor-HCP-no-within,0.81,35.85519674526799,0
5.0,11,20,Donor-HCP-within,0.86,18.55955197055559,0
5.0,11,20,HCP,0.87,49.1735728547479,0
5.0,11,20,Pooling,0.82,45.736894029543336,0
5.0,11,20,Repeated,0.85,48.23095401179185,0
5.0,11,20,S-HCP-within,0.91,31.77851712296261,0
5.0,11,20,Std-CP,0.84,2.8584729045909376,0
5.0,11,20,Subsampling,0.85,47.99609805749188,0
5.0,11,25,Donor-HCP-no-within,0.83,11.82828136511693,0
5.0,11,25,Donor-HCP-within,0.85,3.1227560341774474,0
5.0,11,25,HCP,0.87,49.1735728547479,0
5.0,11,25,Pooling,0.82,45.736894029543336,0
5.0,11,25,Repeated,0.85,48.23095401179185,0
5.0,11,25,S-HCP-within,0.87,12.509313162239442,0
5.0,11,25,Std-CP,0.8,2.8227293164407765,0
5.0,11,25,Subsampling,0.85,47.99609805749188,0
5.0,11,30,Donor-HCP-no-within,0.83,11.86319708604241,0
5.0,11,30,Donor-HCP-within,0.78,2.6343926059407163,0
5.0,11,30,HCP,0.87,49.1735728547479,0
5.0,11,30,Pooling,0.82,45.736894029543336,0
5.0,11,30,Repeated,0.85,48.23095401179185,0
5.0,11,30,S-HCP-within,0.85,12.010724652471723,0
5.0,11,30,Std-CP,0.83,2.4290696888153436,0
5.0,11,30,Subsampling,0.85,47.99609805749188,0
5.0,11,35,Donor-HCP-no-within,0.82,11.801310308686084,0
5.0,11,35,Donor-HCP-within,0.82,2.6038301931596255,0
5.0,11,35,HCP,0.87,49.1735728547479,0
5.0,11,35,Pooling,0.82,45.736894029543336,0
5.0,11,35,Repeated,0.85,48.23095401179185,0
5.0,11,35,S-HCP-within,0.87,12.252626607220535,0
5.0,11,35,Std-CP,0.84,2.5445081440448694,0
5.0,11,35,Subsampling,0.85,47.99609805749188,0
5.0,12,0,Donor-HCP-no-within,0.93,23.937418219823,0
5.0,12,0,Donor-HCP-within,0.93,23.937418219823,0
5.0,12,0,HCP,0.93,23.937418219823,0
5.0,12,0,Pooling,0.84,18.817671814158636,0
5.0,12,0,Repeated,0.87,21.22266933182452,0
5.0,12,0,S-HCP-within,0.73,21.724151070516886,0
5.0,12,0,Std-CP,1.0,,100
5.0,12,0,Subsampling,0.92,23.034315451464785,0
5.0,12,5,Donor-HCP-no-within,0.88,21.540281332749633,0
5.0,12,5,Donor-HCP-within,0.87,19.103534802180263,0
5.0,12,5,HCP,0.93,23.937418219823,0
5.0,12,5,Pooling,0.84,18.817671814158636,0
5.0,12,5,Repeated,0.87,21.22266933182452,0
5.0,12,5,S-HCP-within,0.76,21.303773408949787,0
5.0,12,5,Std-CP,0.69,5.988007434343778,0
5.0,12,5,Subsampling,0.92,23.034315451464785,0
5.0,12,10,Donor-HCP-no-within,0.86,21.0704623464827,0
5.0,12,10,Donor-HCP-within,0.93,17.217195244731514,0
5.0,12,10,HCP,0.93,23.937418219823,0
5.0,12,10,Pooling,0.84,18.817671814158636,0
5.0,12,10,Repeated,0.87,21.22266933182452,0
5.0,12,10,S-HCP-within,0.67,17.22155058344971,0
5.0,12,10,Std-CP,0.89,22.76802971881189,0
5.0,12,10,Subsampling,0.92,23.034315451464785,0
5.0,12,15,Donor-HCP-no-within,0.86,19.66360194668518,0
5.0,12,15,Donor-HCP-within,0.86,12.990762610391128,0
5.0,12,15,HCP,0.93,23.937418219823,0
5.0,12,15,Pooling,0.84,18.817671814158636,0
5.0,12,15,Repeated,0.87,21.22266933182452,0
5.0,12,15,S-HCP-within,0.69,17.45722424605821,0
5.0,12,15,Std-CP,0.88,5.344725997361667,0
5.0,12,15,Subsampling,0.92,23.034315451464785,0
5.0,12,20,Donor-HCP-no-within,0.9,18.604041585020994,0
5.0,12,20,Donor-HCP-within,0.85,10.176580285905342,0
5.0,12,20,HCP,0.93,23.937418219823,0
5.0,12,20,Pooling,0.84,18.817671814158636,0
5.0,12,20,Repeated,0.87,21.22266933182452,0
5.0,12,20,S-HCP-within,0.68,17.178372959191186,0
5.0,12,20,Std-CP,0.8,3.0137056683512005,0
5.0,12,20,Subsampling,0.92,23.034315451464785,0
5.0,12,25,Donor-HCP-no-within,0.78,11.560755722918179,0
5.0,12,25,Donor-HCP-within,0.81,3.1944706704403334,0
5.0,12,25,HCP,0.93,23.937418219823,0
5.0,12,25,Pooling,0.84,18.817671814158636,0
5.0,12,25,Repeated,0.87,21.22266933182452,0
5.0,12,25,S-HCP-within,0.84,11.98248259225127,0
5.0,12,25,Std-CP,0.9,3.1122340553350245,0
5.0,12,25,Subsampling,0.92,23.034315451464785,0
5.0,12,30,Donor-HCP-no-within,0.79,11.56006599985063,0
5.0,12,30,Donor-HCP-within,0.8,2.7124966003881594,0
5.0,12,30,HCP,0.93,23.937418219823,0
5.0,12,30,Pooling,0.84,18.817671814158636,0
5.0,12,30,Repeated,0.87,21.22266933182452,0
5.0,12,30,S-HCP-within,0.77,11.672559773048926,0
5.0,12,30,Std-CP,0.84,2.552248219303949,0
5.0,12,30,Subsampling,0.92,23.034315451464785,0
5.0,12,35,Donor-HCP-no-within,0.8,11.583822738258652,0
5.0,12,35,Donor-HCP-within,0.87,2.8101669453492235,0
5.0,12,35,HCP,0.93,23.937418219823,0
5.0,12,35,Pooling,0.84,18.817671814158636,0
5.0,12,35,Repeated,0.87,21.22266933182452,0
5.0,12,35,S-HCP-within,0.82,11.943162957144313,0
5.0,12,35,Std-CP,0.81,2.725311065705238,0
5.0,12,35,Subsampling,0.92,23.034315451464785,0
5.0,13,0,Donor-HCP-no-within,0.84,14.454006780771596,0
5.0,13,0,Donor-HCP-within,0.84,14.454006780771596,0
5.0,13,0,HCP,0.84,14.454006780771596,0
5.0,13,0,Pooling,0.77,12.52039871313833,0
5.0,13,0,Repeated,0.8,13.330518708572795,0
5.0,13,0,S-HCP-within,0.95,16.871715712799265,0
5.0,13,0,Std-CP,1.0,,100
5.0,13,0,Subsampling,0.86,14.591108472780059,0
5.0,13,5,Donor-HCP-no-within,0.8,13.594533553275596,0
5.0,13,5,Donor-HCP-within,0.88,12.420354837155497,0
5.0,13,5,HCP,0.84,14.454006780771596,0
5.0,13,5,Pooling,0.77,12.52039871313833,0
5.0,13,5,Repeated,0.8,13.330518708572795,0
5.0,13,5,S-HCP-within,0.91,15.236219971455775,0
5.0,13,5,Std-CP,0.72,5.511493551598459,0
5.0,13,5,Subsampling,0.86,14.591108472780059,0
5.0,13,10,Donor-HCP-no-within,0.79,12.849456575716706,0
5.0,13,10,Donor-HCP-within,0.73,9.982294293896388,0
5.0,13,10,HCP,0.84,14.454006780771596,0
5.0,13,10,Pooling,0.77,12.52039871313833,0
5.0,13,10,Repeated,0.8,13.330518708572795,0
5.0,13,10,S-HCP-within,0.89,14.552736087981021,0
5.0,13,10,Std-CP,0.83,23.38254767338005,0
5.0,13,10,Subsampling,0.86,14.591108472780059,0
5.0,13,15,Donor-HCP-no-within,0.81,12.494360242162983,0
5.0,13,15,Donor-HCP-within,0.81,7.989118572388743,0
5.0,13,15,HCP,0.84,14.454006780771596,0
5.0,13,15,Pooling,0.77,12.52039871313833,0
5.0,13,15,Repeated,0.8,13.330518708572795,0
5.0,13,15,S-HCP-within,0.89,14.664958124277211,0
5.0,13,15,Std-CP,0.82,4.9188321683639415,0
5.0,13,15,Subsampling,0.86,14.591108472780059,0
5.0,13,20,Donor-HCP-no-within,0.77,12.613538059668098,0
5.0,13,20,Donor-HCP-within,0.72,6.569820626727486,0
5.0,13,20,HCP,0.84,14.454006780771596,0
5.0,13,20,Pooling,0.77,12.52039871313833,0
5.0,13,20,Repeated,0.8,13.330518708572795,0
5.0,13,20,S-HCP-within,0.9,14.362884151178418,0
5.0,13,20,Std-CP,0.77,2.7798531774641697,0
5.0,13,20,Subsampling,0.86,14.591108472780059,0
5.0,13,25,Donor-HCP-no-within,0.82,9.349335497377204,0
5.0,13,25,Donor-HCP-within,0.82,2.9990081725293836,0
5.0,13,25,HCP,0.84,14.454006780771596,0
5.0,13,25,Pooling,0.77,12.52039871313833,0
5.0,13,25,Repeated,0.8,13.330518708572795,0
5.0,13,25,S-HCP-within,0.87,9.758829213131952,0
5.0,13,25,Std-CP,0.77,2.9216832852833976,0
5.0,13,25,Subsampling,0.86,14.591108472780059,0
5.0,13,30,Donor-HCP-no-within,0.84,9.354601708065184,0
5.0,13,30,Donor-HCP-within,0.8,2.413034228272871,0
5.0,13,30,HCP,0.84,14.454006780771596,0
5.0,13,30,Pooling,0.77,12.52039871313833,0
5.0,13,30,Repeated,0.8,13.330518708572795,0
5.0,13,30,S-HCP-within,0.87,9.467883861857576,0
5.0,13,30,Std-CP,0.8,2.338705401130694,0
5.0,13,30,Subsampling,0.86,14.591108472780059,0
5.0,13,35,Donor-HCP-no-within,0.85,9.367902303180779,0
5.0,13,35,Donor-HCP-within,0.84,2.50722606978368,0
5.0,13,35,HCP,0.84,14.454006780771596,0
5.0,13,35,Pooling,0.77,12.52039871313833,0
5.0,13,35,Repeated,0.8,13.330518708572795,0
5.0,13,35,S-HCP-within,0.88,9.706674396838048,0
5.0,13,35,Std-CP,0.81,2.466389828950435,0
5.0,13,35,Subsampling,0.86,14.591108472780059,0
5.0,14,0,Donor-HCP-no-within,0.96,31.420060694949555,0
5.0,14,0,Donor-HCP-within,0.96,31.420060694949555,0
5.0,14,0,HCP,0.96,31.420060694949555,0
5.0,14,0,Pooling,0.9,25.95134572072799,0
5.0,14,0,Repeated,0.95,30.08189696290637,0
5.0,14,0,S-HCP-within,0.99,41.28287387723447,0
5.0,14,0,Std-CP,1.0,,100
5.0,14,0,Subsampling,0.95,29.727335013682,0
5.0,14,5,Donor-HCP-no-within,0.95,38.24294531576869,0
5.0,14,5,Donor-HCP-within,0.94,32.50517539209405,0
5.0,14,5,HCP,0.96,31.420060694949555,0
5.0,14,5,Pooling,0.9,25.95134572072799,0
5.0,14,5,Repeated,0.95,30.08189696290637,0
5.0,14,5,S-HCP-within,0.99,40.305032773094624,0
5.0,14,5,Std-CP,0.72,5.798670354902156,0
5.0,14,5,Subsampling,0.95,29.727335013682,0
5.0,14,10,Donor-HCP-no-within,0.94,36.46354535619564,0
5.0,14,10,Donor-HCP-within,0.96,25.66546535302059,0
5.0,14,10,HCP,0.96,31.420060694949555,0
5.0,14,10,Pooling,0.9,25.95134572072799,0
5.0,14,10,Repeated,0.95,30.08189696290637,0
5.0,14,10,S-HCP-within,0.98,31.25565593047375,0
5.0,14,10,Std-CP,0.88,35.78892369745437,0
5.0,14,10,Subsampling,0.95,29.727335013682,0
5.0,14,15,Donor-HCP-no-within,0.96,34.845125206614846,0
5.0,14,15,Donor-HCP-within,0.96,22.53125513186258,0
5.0,14,15,HCP,0.96,31.420060694949555,0
5.0,14,15,Pooling,0.9,25.95134572072799,0
5.0,14,15,Repeated,0.95,30.08189696290637,0
5.0,14,15,S-HCP-within,0.98,31.634297985608217,0
5.0,14,15,Std-CP,0.91,5.22829979168622,0
5.0,14,15,Subsampling,0.95,29.727335013682,0
5.0,14,20,Donor-HCP-no-within,0.92,26.13624491648495,0
5.0,14,20,Donor-HCP-within,0.95,13.94498823678191,0
5.0,14,20,HCP,0.96,31.420060694949555,0
5.0,14,20,Pooling,0.9,25.95134572072799,0
5.0,14,20,Repeated,0.95,30.08189696290637,0
5.0,14,20,S-HCP-within,0.97,31.0637882198611,0
5.0,14,20,Std-CP,0.89,2.9485174745811635,0
5.0,14,20,Subsampling,0.95,29.727335013682,0
5.0,14,25,Donor-HCP-no-within,0.8,10.62276575945051,0
5.0,14,25,Donor-HCP-within,0.88,3.244103806452382,0
5.0,14,25,HCP,0.96,31.420060694949555,0
5.0,14,25,Pooling,0.9,25.95134572072799,0
5.0,14,25,Repeated,0.95,30.08189696290637,0
5.0,14,25,S-HCP-within,0.87,11.21263926469103,0
5.0,14,25,Std-CP,0.92,3.068057099852256,0
5.0,14,25,Subsampling,0.95,29.727335013682,0
5.0,14,30,Donor-HCP-no-within,0.8,10.661470818516786,0
5.0,14,30,Donor-HCP-within,0.83,2.687357203980526,0
5.0,14,30,HCP,0.96,31.420060694949555,0
5.0,14,30,Pooling,0.9,25.95134572072799,0
5.0,14,30,Repeated,0.95,30.08189696290637,0
5.0,14,30,S-HCP-within,0.84,10.819731368825563,0
5.0,14,30,Std-CP,0.86,2.653226616250239,0
5.0,14,30,Subsampling,0.95,29.727335013682,0
5.0,14,35,Donor-HCP-no-within,0.81,10.651382429113465,0
5.0,14,35,Donor-HCP-within,0.87,2.773010826189862,0
5.0,14,35,HCP,0.96,31.420060694949555,0
5.0,14,35,Pooling,0.9,25.95134572072799,0
5.0,14,35,Repeated,0.95,30.08189696290637,0
5.0,14,35,S-HCP-within,0.88,11.089318389170124,0
5.0,14,35,Std-CP,0.91,2.6784022708385438,0
5.0,14,35,Subsampling,0.95,29.727335013682,0
