tau_B,experiment,o,method,coverage,width,n_infinite
5.0,1,15,Subsampling,0.86,21.011389847920565,0
5.0,1,20,Donor-HCP-no-within,0.92,30.118611168913684,0
5.0,1,20,Donor-HCP-within,0.96,16.69142759980125,0
5.0,1,20,HCP,0.9,23.850672825467942,0
5.0,1,20,Pooling,0.86,21.066048139744936,0
5.0,1,20,Repeated,0.86,21.880079820871497,0
5.0,1,20,S-HCP-within,0.88,34.06397314709043,0
5.0,1,20,Std-CP,0.82,2.9488101909598816,0
5.0,1,20,Subsampling,0.86,21.011389847920565,0
5.0,1,25,Donor-HCP-no-within,0.81,9.907975294848972,0
5.0,1,25,Donor-HCP-within,0.87,3.1015726368050425,0
5.0,1,25,HCP,0.9,23.850672825467942,0
5.0,1,25,Pooling,0.86,21.066048139744936,0
5.0,1,25,Repeated,0.86,21.880079820871497,0
5.0,1,25,S-HCP-within,0.88,10.62621567706893,0
5.0,1,25,Std-CP,0.89,3.129646643844518,0
5.0,1,25,Subsampling,0.86,21.011389847920565,0
5.0,1,30,Donor-HCP-no-within,0.82,9.916942745609411,0
5.0,1,30,Donor-HCP-within,0.86,2.652110243009628,0
5.0,1,30,HCP,0.9,23.850672825467942,0
5.0,1,30,Pooling,0.86,21.066048139744936,0
5.0,1,30,Repeated,0.86,21.880079820871497,0
5.0,1,30,S-HCP-within,0.84,9.98694507345105,0
5.0,1,30,Std-CP,0.82,2.4640555541239726,0
5.0,1,30,Subsampling,0.86,21.011389847920565,0
5.0,1,35,Donor-HCP-no-within,0.84,9.870579873324134,0
5.0,1,35,Donor-HCP-within,0.88,2.724113533434629,0
5.0,1,35,HCP,0.9,23.850672825467942,0
5.0,1,35,Pooling,0.86,21.066048139744936,0
5.0,1,35,Repeated,0.86,21.880079820871497,0
5.0,1,35,S-HCP-within,0.87,10.345184955049245,0
5.0,1,35,Std-CP,0.87,2.8044483799026225,0
5.0,1,35,Subsampling,0.86,21.011389847920565,0
5.0,2,0,Donor-HCP-no-within,0.85,16.30160709785735,0
5.0,2,0,Donor-HCP-within,0.85,16.30160709785735,0
5.0,2,0,HCP,0.85,16.30160709785735,0
5.0,2,0,Pooling,0.77,13.477547439143848,0
5.0,2,0,Repeated,0.79,15.152600777130628,0
5.0,2,0,S-HCP-within,0.89,23.891877352433376,0
5.0,2,0,Std-CP,1.0,,100
5.0,2,0,Subsampling,0.85,16.30160709785735,0
5.0,2,5,Donor-HCP-no-within,0.8,23.90514297348797,0
5.0,2,5,Donor-HCP-within,0.79,20.445853137666308,0
5.0,2,5,HCP,0.85,16.30160709785735,0
5.0,2,5,Pooling,0.77,13.477547439143848,0
5.0,2,5,Repeated,0.79,15.152600777130628,0
5.0,2,5,S-HCP-within,0.9,22.779730803834422,0
5.0,2,5,Std-CP,0.73,4.973175589204215,0
5.0,2,5,Subsampling,0.85,16.30160709785735,0
5.0,2,10,Donor-HCP-no-within,0.8,22.812481428523746,0
5.0,2,10,Donor-HCP-within,0.71,16.604972908589566,0
5.0,2,10,HCP,0.85,16.30160709785735,0
5.0,2,10,Pooling,0.77,13.477547439143848,0
5.0,2,10,Repeated,0.79,15.152600777130628,0
5.0,2,10,S-HCP-within,0.89,21.821137446078893,0
5.0,2,10,Std-CP,0.81,28.469375296773382,0
5.0,2,10,Subsampling,0.85,16.30160709785735,0
5.0,2,15,Donor-HCP-no-within,0.8,22.623213028046806,0
5.0,2,15,Donor-HCP-within,0.83,14.556152364188767,0
5.0,2,15,HCP,0.85,16.30160709785735,0
5.0,2,15,Pooling,0.77,13.477547439143848,0
5.0,2,15,Repeated,0.79,15.152600777130628,0
5.0,2,15,S-HCP-within,0.89,22.023638328812336,0
5.0,2,15,Std-CP,0.93,5.311474521523893,0
5.0,2,15,Subsampling,0.85,16.30160709785735,0
5.0,2,20,Donor-HCP-no-within,0.77,21.95775784072191,0
5.0,2,20,Donor-HCP-within,0.82,11.739120812508151,0
5.0,2,20,HCP,0.85,16.30160709785735,0
5.0,2,20,Pooling,0.77,13.477547439143848,0
5.0,2,20,Repeated,0.79,15.152600777130628,0
5.0,2,20,S-HCP-within,0.88,21.719091627682182,0
5.0,2,20,Std-CP,0.82,3.1504421153374484,0
5.0,2,20,Subsampling,0.85,16.30160709785735,0
5.0,2,25,Donor-HCP-no-within,0.82,9.22126415137945,0
5.0,2,25,Donor-HCP-within,0.89,3.1213412434651002,0
5.0,2,25,HCP,0.85,16.30160709785735,0
5.0,2,25,Pooling,0.77,13.477547439143848,0
5.0,2,25,Repeated,0.79,15.152600777130628,0
5.0,2,25,S-HCP-within,0.87,9.678024993396413,0
5.0,2,25,Std-CP,0.82,2.9846674028447024,0
5.0,2,25,Subsampling,0.85,16.30160709785735,0
5.0,2,30,Donor-HCP-no-within,0.83,9.211110510392011,0
5.0,2,30,Donor-HCP-within,0.87,2.588271322267513,0
5.0,2,30,HCP,0.85,16.30160709785735,0
5.0,2,30,Pooling,0.77,13.477547439143848,0
5.0,2,30,Repeated,0.79,15.152600777130628,0
5.0,2,30,S-HCP-within,0.83,9.35015271509178,0
5.0,2,30,Std-CP,0.84,2.388677200610625,0
5.0,2,30,Subsampling,0.85,16.30160709785735,0
5.0,2,35,Donor-HCP-no-within,0.82,9.218267914784644,0
5.0,2,35,Donor-HCP-within,0.84,2.6701700382567113,0
5.0,2,35,HCP,0.85,16.30160709785735,0
5.0,2,35,Pooling,0.77,13.477547439143848,0
5.0,2,35,Repeated,0.79,15.152600777130628,0
5.0,2,35,S-HCP-within,0.85,9.508071728256986,0
5.0,2,35,Std-CP,0.85,2.5285220903452426,0
5.0,2,35,Subsampling,0.85,16.30160709785735,0
5.0,3,0,Donor-HCP-no-within,0.9,20.029663611646622,0
5.0,3,0,Donor-HCP-within,0.9,20.029663611646622,0
5.0,3,0,HCP,0.9,20.029663611646622,0
5.0,3,0,Pooling,0.87,18.31757785052009,0
5.0,3,0,Repeated,0.9,19.457614092185732,0
5.0,3,0,S-HCP-within,0.81,30.217062204888883,0
5.0,3,0,Std-CP,1.0,,100
5.0,3,0,Subsampling,0.9,19.29131649236627,0
5.0,3,5,Donor-HCP-no-within,0.87,18.30348285288805,0
5.0,3,5,Donor-HCP-within,0.85,15.794452095662587,0
5.0,3,5,HCP,0.9,20.029663611646622,0
5.0,3,5,Pooling,0.87,18.31757785052009,0
5.0,3,5,Repeated,0.9,19.457614092185732,0
5.0,3,5,S-HCP-within,0.82,29.475449266679426,0
5.0,3,5,Std-CP,0.75,6.178097491733671,0
5.0,3,5,Subsampling,0.9,19.29131649236627,0
5.0,3,10,Donor-HCP-no-within,0.89,18.10878378848479,0
5.0,3,10,Donor-HCP-within,0.94,27.00427606909291,0
5.0,3,10,HCP,0.9,20.029663611646622,0
5.0,3,10,Pooling,0.87,18.31757785052009,0
5.0,3,10,Repeated,0.9,19.457614092185732,0
5.0,3,10,S-HCP-within,0.79,28.587109886719656,0
5.0,3,10,Std-CP,0.83,366.10534890308327,0
5.0,3,10,Subsampling,0.9,19.29131649236627,0
5.0,3,15,Donor-HCP-no-within,0.84,17.321163954643083,0
5.0,3,15,Donor-HCP-within,0.86,11.292914407774695,0
5.0,3,15,HCP,0.9,20.029663611646622,0
