puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_educ_HS
101,28,32.714285714285715,8.545551768402964,46.857142857142854,12.303911710762694,1.9642857142857142,2.0990675682513547,1140.642857142857,673.211386882732,0.39285714285714285,0.6428571428571429,0.8928571428571429,0.10714285714285714,1.4285714285714286,-19322.89844199535,76688.65471259347,-60750.908387092306,-37557.24587956039,-13389.720158075193,,
102,27,30.925925925925927,4.367061377084718,43.51851851851852,6.477002929717335,3.6666666666666665,2.0380986614602725,974.7777777777778,300.77353265990337,0.3333333333333333,0.4074074074074074,0.7777777777777778,0.1111111111111111,1.3333333333333333,7106.243099034083,102134.00279828851,-41352.56496100953,-18374.870437475154,27339.371494048508,0.1111111111111111,
105,25,39.12,7.518421820213779,41.0,2.5,3.08,1.5253414918196733,1584.64,609.6562474050438,0.44,0.56,0.56,0.04,1.96,-17037.972360846485,37711.174197384695,-38083.009975539695,-12261.308116697008,8055.627013200254,0.16,0.24
107,23,32.43478260869565,6.781164333897252,40.65217391304348,2.2884829364008,3.782608695652174,1.8329440238224415,1096.0,514.0263523488761,0.391304347826087,0.6521739130434783,0.4782608695652174,0.21739130434782608,1.565217391304348,-10142.98808920272,45919.3480690824,-36649.285000034666,-11590.257635081944,13541.354253276993,0.08695652173913043,0.21739130434782608
108,49,33.83673469387755,5.432720845240709,41.63265306122449,5.040229316670607,3.5714285714285716,1.7559422921421233,1173.8367346938776,396.5438367391206,0.4897959183673469,0.8367346938775511,0.8367346938775511,0.061224489795918366,1.346938775510204,867.1224956167957,76874.84948742313,-29522.126747123955,-10002.653201282723,17267.32800087327,0.04081632653061224,0.061224489795918366
109,88,34.60227272727273,7.016466302423233,41.72727272727273,4.68729579840833,3.477272727272727,1.7285783988835246,1245.9886363636363,531.5460316637021,0.3181818181818182,0.7840909090909091,0.9318181818181818,0.011363636363636364,1.3295454545454546,-3341.131764065173,51343.83542078537,-28389.75147567416,-1215.349223646219,24155.327935474517,0.03409090909090909,0.022727272727272728
110,37,34.86486486486486,5.783896044488824,41.08108108108108,2.9190787966447598,3.135135135135135,2.1234427256248307,1248.1081081081081,420.94864979681995,0.32432432432432434,0.8108108108108109,0.8378378378378378,0.08108108108108109,1.2702702702702702,-1548.7651229261428,56421.15981191067,-34214.75147567416,-9292.857557268057,21953.617315004463,0.05405405405405406,0.02702702702702703
1305,23,36.56521739130435,7.310180242501931,40.0,0.0,3.608695652173913,2.0391426548425735,1388.1304347826087,563.232497153531,0.34782608695652173,0.9130434782608695,1.0,,1.0869565217391304,4871.419412135653,53412.29268095282,-26375.01683659674,-12837.994080226403,21320.562363900128,,
3714,24,36.375,6.870304720790901,40.625,2.242136015732203,3.2916666666666665,1.966660525659781,1368.375,525.344840164017,0.5416666666666666,0.7916666666666666,0.5416666666666666,0.125,2.0416666666666665,27105.87022204125,143379.02077704834,-42401.815321654576,3058.577287703738,44871.39559049999,0.125,0.20833333333333334
3717,32,39.375,9.707828566876888,42.90625,4.940676295616271,3.5,1.8491497610279373,1641.6875,750.7914721661531,0.40625,0.6875,0.5625,0.0625,2.375,-11604.504421476082,62782.20458910421,-56442.12444121447,-11600.781467414505,17063.029943351525,0.09375,0.28125
