summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
resid_sd,0.2217421043825958,0.1385941812071943,0.19,0.2267110449559782
resid_q75,0.19592160874286402,0.19192026159869552,0.055,0.1959977478343789
resid_mean,0.16227068642893727,0.2812812006589075,0.005,0.15717030876439367
resid_median,0.11826245567071778,0.43376307053473556,0.0,0.1179583781799358
resid_q25,0.08226415587973569,0.5769387503154302,0.005,0.08148362289995202
