method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
Pooled-Income-Quantile,5,0.15,0.85,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooled-Income-Quantile,10,0.15,0.85,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooled-Income-Quantile,15,0.15,0.85,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooled-Income-Quantile,20,0.15,0.85,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooling,0,0.15,0.85,0.825,0.012015614840697917,0.38015722999769397,1000.0
Pooling,5,0.15,0.85,,,,0.0
Pooling,10,0.15,0.85,,,,0.0
Pooling,15,0.15,0.85,,,,0.0
Pooling,20,0.15,0.85,,,,0.0
Repeated,0,0.15,0.85,0.958,0.006343185319695463,0.20068950215762726,1000.0
Repeated,5,0.15,0.85,,,,0.0
Repeated,10,0.15,0.85,,,,0.0
Repeated,15,0.15,0.85,,,,0.0
Repeated,20,0.15,0.85,,,,0.0
S-HCP,0,0.15,0.85,0.904,0.009315793041926167,0.2947386484173239,1000.0
S-HCP,5,0.15,0.85,0.844,0.011474493452871897,0.3630369069334353,1000.0
S-HCP,10,0.15,0.85,0.855,0.011134406135937382,0.3522770203960217,1000.0
S-HCP,15,0.15,0.85,0.862,0.01090669519148674,0.3450725649411658,1000.0
S-HCP,20,0.15,0.85,0.858,0.011037934589405756,0.34922479573758497,1000.0
Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
Std-CP,5,0.15,0.85,0.849,0.01132249972400088,0.35822803816469656,1000.0
Std-CP,10,0.15,0.85,0.852,0.011229247525992114,0.3552776691859794,1000.0
Std-CP,15,0.15,0.85,0.862,0.01090669519148674,0.3450725649411658,1000.0
Std-CP,20,0.15,0.85,0.848,0.011353237423748348,0.3592005359475749,1000.0
Subsampling,0,0.15,0.85,0.897,0.009612023720320294,0.304110972316823,1000.0
Subsampling,5,0.15,0.85,,,,0.0
Subsampling,10,0.15,0.85,,,,0.0
Subsampling,15,0.15,0.85,,,,0.0
Subsampling,20,0.15,0.85,,,,0.0
GHCP,0,0.2,0.8,0.855,0.011134406135937382,0.3522770203960217,1000.0
GHCP,5,0.2,0.8,0.851,0.011260506205317771,0.3562666500332664,1000.0
GHCP,10,0.2,0.8,0.854,0.011166198995181844,0.35328290194801226,1000.0
GHCP,15,0.2,0.8,0.84,0.011593101396951551,0.366789496216201,1000.0
GHCP,20,0.2,0.8,0.831,0.011850696182081458,0.3749394345485409,1000.0
HCP,0,0.2,0.8,0.858,0.011037934589405756,0.34922479573758497,1000.0
HCP,5,0.2,0.8,,,,0.0
HCP,10,0.2,0.8,,,,0.0
HCP,15,0.2,0.8,,,,0.0
HCP,20,0.2,0.8,,,,0.0
Pooled-Income-Quantile,0,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,5,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,10,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,15,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,20,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooling,0,0.2,0.8,0.78,0.01309961831505025,0.4144535821678609,1000.0
Pooling,5,0.2,0.8,,,,0.0
Pooling,10,0.2,0.8,,,,0.0
Pooling,15,0.2,0.8,,,,0.0
Pooling,20,0.2,0.8,,,,0.0
Repeated,0,0.2,0.8,0.838,0.011651437679531227,0.36863517451796685,1000.0
Repeated,5,0.2,0.8,,,,0.0
Repeated,10,0.2,0.8,,,,0.0
Repeated,15,0.2,0.8,,,,0.0
Repeated,20,0.2,0.8,,,,0.0
S-HCP,0,0.2,0.8,0.823,0.012069424178476786,0.38185968210432586,1000.0
S-HCP,5,0.2,0.8,0.813,0.012330085157856779,0.39010663052963246,1000.0
S-HCP,10,0.2,0.8,0.781,0.013078187947877183,0.41377555535605315,1000.0
S-HCP,15,0.2,0.8,0.793,0.012812142677944232,0.4053582555164201,1000.0
S-HCP,20,0.2,0.8,0.805,0.012528966437819202,0.3963989557656934,1000.0
Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
Std-CP,5,0.2,0.8,0.81,0.012405643876881197,0.39249720260666066,1000.0
Std-CP,10,0.2,0.8,0.795,0.012766166221697099,0.4039036248143091,1000.0
Std-CP,15,0.2,0.8,0.805,0.012528966437819202,0.3963989557656934,1000.0
Std-CP,20,0.2,0.8,0.807,0.012480024038438387,0.394850486775573,1000.0
Subsampling,0,0.2,0.8,0.808,0.01245536029185828,0.3940701603665156,1000.0
Subsampling,5,0.2,0.8,,,,0.0
Subsampling,10,0.2,0.8,,,,0.0
Subsampling,15,0.2,0.8,,,,0.0
Subsampling,20,0.2,0.8,,,,0.0
