method,25,50,75,overall_coverage,mean_width,median_width,prop_infinite,target_coverage,coverage_diff
HCP,1.0,1.0,1.0,1.0,56.8587,56.8587,0.0,0.8,0.19999999999999996
HCP++,1.0,0.6667,0.5333,0.7333,48.1303,46.5875,0.0,0.8,-0.06670000000000009
HCP.sample,0.8,0.8,0.7333,0.7778,47.1234,46.5486,0.0,0.8,-0.022199999999999998
Pooling,1.0,0.8,0.8667,0.8889,45.5129,45.5129,0.0,0.8,0.08889999999999998
Repeated,1.0,1.0,1.0,1.0,56.6155,56.8587,0.0,0.8,0.19999999999999996
Subsampling,1.0,1.0,1.0,1.0,64.3183,63.7659,0.0,0.8,0.19999999999999996
