dataset,method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,GHCP,0,0.2,0.8,24.97620363006063,0.20010855274368958,6.327988059499954,24.343178325169625,20.67304426179698,28.598479875279924,8.975978838820161,49.73427525397278,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,0,0.15,0.85,30.240645031935962,0.25527839290370613,8.07261159003076,29.246479148985507,24.557975432000397,34.93028160116576,11.647792861925502,57.90598539682449,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,0,0.1,0.9,34.14986345084803,0.2674878342851939,8.458708027268901,33.31706004200889,28.27214680419885,39.3747913185516,15.604522554575423,62.63024231511574,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,GHCP,5,0.2,0.8,20.21688420866325,0.1594746884218582,5.04303244558755,19.61929911738354,16.759147272335724,23.05247589125816,7.48040132585239,40.06467568969256,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,5,0.15,0.85,23.973807890260534,0.19724862199623966,6.237549108377059,23.1666398501102,19.63523079780476,27.668592450726948,9.149622838253984,46.694989445957184,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,5,0.1,0.9,27.520329816279183,0.21422179341460684,6.7742879163621685,26.679359673461093,22.552671423304105,31.52027815389272,12.114997207450344,50.110846024480665,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,GHCP,10,0.2,0.8,15.638474767857122,0.1196244044629175,3.782855818440306,15.303083239275942,12.993610146982043,17.755293898041487,6.442247832496584,29.876886829621125,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,10,0.15,0.85,18.218518408667784,0.14065999405107507,4.448059568671318,17.642854587198435,15.117625490288253,20.854229552493823,7.407695396743346,35.246806468225195,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,10,0.1,0.9,21.215876595712498,0.16123988998744163,5.098853020352938,20.491515122929588,17.670917751029254,24.31123094239323,10.077910866166196,39.159454275320286,1000.0,1000.0,0.0,1.0,0.0
fixedN21,GHCP,10,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
