method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
HCP,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.1,0.9,152895.04740666182,852.3590541683792,26953.95995438915,152014.49617458356,133415.59705837647,170804.04551574696,79359.78537506572,247414.8159746849,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.1,0.9,247916.7186049791,1819.517559473002,57538.19730605564,244345.04843008792,205890.6557309719,284203.8998045265,114612.19680863924,447003.0320946931,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.1,0.9,252126.50460186077,6751.791751206938,213510.4022095084,182941.21693790553,133444.693178826,263591.2774759579,38406.60904931791,1063851.615704276,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.1,0.9,159458.2688634614,1394.778484368077,44106.76842000681,153835.9001857203,128192.18352504654,183313.58203311008,60876.952042910925,410555.7031549552,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.1,0.9,147727.94466175674,1091.0445739120564,34501.85882330024,144356.1230613403,125351.05819684808,163279.27367286425,71705.49076152654,371193.4882181104,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.1,0.9,141581.5914649114,895.3311916516701,28312.8582581201,138901.56051990952,120645.69760321,159050.55235207215,66907.55916155505,294484.05615731573,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.1,0.9,133225.62746217585,779.1388347860883,24638.533314136686,130201.55967076674,115917.38954161249,149901.85895590298,74616.5074342059,218586.47100807837,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.1,0.9,140054.07024390245,7537.454347857361,152621.81822686386,94490.0,55813.5,172187.95,3180.0,1077420.0,1000.0,410.0,590.0,0.41,0.59
Std-CP,10,0.1,0.9,172087.43499176274,7457.93968156276,183744.0192941089,114857.6,72801.2,196763.2,17288.0,1095000.0,1000.0,607.0,393.0,0.607,0.393
Std-CP,15,0.1,0.9,207667.8345898722,7374.432164651008,219133.5814752448,135318.2857142857,85947.42857142857,227482.85714285716,23382.857142857152,1086657.1428571427,1000.0,883.0,117.0,0.883,0.117
Std-CP,20,0.1,0.9,211222.60648,6916.256704025383,218711.24067129256,144535.0,91539.3,229768.90000000002,16780.0,1259538.0,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.1,0.9,248822.74267893945,6495.283915073354,205398.91221087475,186317.32021127394,133604.92703195065,266639.9070434015,45348.79431678233,1069355.8217071283,1000.0,1000.0,0.0,1.0,0.0
Subsampling,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
GHCP,0,0.15,0.85,185018.61434569902,1027.287769504609,32485.691640686287,184545.9707897029,162625.95600443223,205705.94315206658,105841.87430994595,298679.93596598593,1000.0,1000.0,0.0,1.0,0.0
GHCP,5,0.15,0.85,162853.22484145814,859.9707915732135,27194.664225892906,160831.41230630377,143732.53413588885,180894.4869777953,86437.059066769,252116.3581796451,1000.0,1000.0,0.0,1.0,0.0
GHCP,10,0.15,0.85,146651.84110070262,774.5424758103661,24493.18368106628,145442.82164650335,129152.9280764201,163697.2778072548,85598.24574525084,235184.70788502123,1000.0,1000.0,0.0,1.0,0.0
GHCP,15,0.15,0.85,135617.24543719203,738.4047422111915,23350.40820456842,133607.06785962544,119221.41689531847,150911.6196372449,79094.69813438584,211455.22834277543,1000.0,1000.0,0.0,1.0,0.0
GHCP,20,0.15,0.85,126210.39985608573,700.2480362875525,22143.78721728904,123862.23717068485,110349.6444620619,140309.70039698706,78560.72192939522,202185.3163724235,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.15,0.85,184269.15775811792,993.9312087533718,31430.864571849415,182505.81179129542,162797.41783605755,205410.17510247199,93051.5569132678,285277.0089496086,1000.0,1000.0,0.0,1.0,0.0
HCP,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
