method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
D-HCP,0,0.15,0.85,284106.47171909176,4289.1263214115725,135634.08347839996,281735.3968195722,174452.2409457122,380999.3093376339,26330.15200978481,832005.3312892929,1000.0,1000.0,0.0,1.0,0.0
D-HCP,5,0.15,0.85,227670.74120384813,3399.8731037279126,107513.42763326109,215532.90964130932,144069.693716797,298987.3142968282,34394.702701447,741117.4784522199,1000.0,1000.0,0.0,1.0,0.0
D-HCP,10,0.15,0.85,202644.26708951584,3022.0976440175314,95567.1186652413,189575.5503479174,129713.17846848229,256683.6018629892,40141.7433349931,706548.97965818,1000.0,1000.0,0.0,1.0,0.0
D-HCP,15,0.15,0.85,187809.36898841226,2788.5506786761116,88181.7151542484,175545.29813512895,117982.79003230213,242637.89464088622,40824.88451206751,518768.10573518166,1000.0,1000.0,0.0,1.0,0.0
D-HCP,20,0.15,0.85,171720.84410584776,2518.099433329353,79629.29584100068,160823.10438151937,109302.98175796117,220436.69474200383,39478.16757661293,469736.458243356,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.15,0.85,267002.9398045729,3974.8765408435165,125696.63287036816,263034.835894824,161214.82515734553,357895.43386575393,25914.01322906626,662131.348840308,1000.0,1000.0,0.0,1.0,0.0
HCP,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
