tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.05,30,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,S-HCP-within,0.983,0.12928396214756765,8.583483131106815,8.294560870400755,2.477203091456494,0.44,2200,12345
5.0,0.05,30,Std-CP,0.9442,0.2295580523089442,6.4515673241497415,6.171012958306619,2.1534653941344097,0.0,0,12345
5.0,0.05,30,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Donor-HCP-no-within,0.9692,0.17279274135881206,16.800371935113734,15.468407587770589,7.639987340598178,0.0,0,12345
5.0,0.05,35,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,35,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,S-HCP-within,1.0,0.0,10.032656649136525,10.248759481078487,0.9037420444464156,0.98,4900,12345
5.0,0.05,35,Std-CP,0.9504,0.2171388262240793,6.450466276252453,6.167272630283155,2.0386275858417164,0.0,0,12345
5.0,0.05,35,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Donor-HCP-no-within,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,0,Donor-HCP-within,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,0,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,0,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,0,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,0,S-HCP-within,0.9212,0.2694533002510885,34.498683434198746,32.419582537610495,12.756279769650504,0.0,0,12345
5.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,5,Donor-HCP-no-within,0.937,0.24298726008108404,34.05846797600401,31.32187360896764,11.984103209174854,0.0,0,12345
5.0,0.1,5,Donor-HCP-within,0.9532,0.21123135121649753,29.673841378395544,27.378009835473495,9.930981103126086,0.0,0,12345
5.0,0.1,5,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,5,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,5,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,5,S-HCP-within,0.9198,0.27162974163980735,20.186370164777287,18.56691314908787,7.19843252072793,0.0,0,12345
5.0,0.1,5,Std-CP,0.7472,0.43466072515146564,6.228956669274129,5.169168222177124,4.7262926549807815,0.0,0,12345
5.0,0.1,5,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,10,Donor-HCP-no-within,0.93,0.2551725349729488,31.950870833400188,29.21824789031404,11.59714503979491,0.0,0,12345
5.0,0.1,10,Donor-HCP-within,0.9392,0.2389869932791139,22.77104778687943,20.916532186884417,7.777209860260888,0.0,0,12345
5.0,0.1,10,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,10,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,10,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,10,S-HCP-within,0.9078,0.28933700624122816,13.310641355250606,12.15590918647655,4.623903692176747,0.0,0,12345
5.0,0.1,10,Std-CP,0.831,0.3747893987543988,78.70561552331971,12.111706433805782,1347.5137773832419,0.0,0,12345
5.0,0.1,10,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,15,Donor-HCP-no-within,0.9074,0.28990006624642534,29.46245249218006,26.78690618262396,12.314881422852757,0.0,0,12345
5.0,0.1,15,Donor-HCP-within,0.9136,0.28098190362732156,18.3946697740172,16.876174598401825,7.450074564343152,0.0,0,12345
5.0,0.1,15,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,15,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,15,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,15,S-HCP-within,0.8972,0.30372785536072316,10.58132331029736,9.508403260628079,3.9561772319759854,0.0,0,12345
5.0,0.1,15,Std-CP,0.8886,0.31465829397680567,9.092894454739511,7.491096665298369,7.648694573026302,0.0,0,12345
5.0,0.1,15,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,20,Donor-HCP-no-within,0.909,0.2876378749563796,26.61655116792675,24.98170978991418,8.843066083829662,0.0,0,12345
5.0,0.1,20,Donor-HCP-within,0.918,0.2743921613524018,14.090531032890658,13.428970233841952,4.309030259837209,0.0,0,12345
5.0,0.1,20,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,20,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,20,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,20,S-HCP-within,0.902,0.29734438406761116,7.920521453976509,7.628340145978809,1.764834602853207,0.0,0,12345
5.0,0.1,20,Std-CP,0.9078,0.2893370062412278,7.011916419379947,6.493425584364321,2.9830739609873436,0.0,0,12345
5.0,0.1,20,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,25,Donor-HCP-no-within,0.921,0.26976574043221724,20.03215945474539,19.492498957247307,7.941776297199186,0.04,200,12345
5.0,0.1,25,Donor-HCP-within,0.941,0.23564826759644172,7.600662939197533,7.100040541113308,2.4222274090813136,0.1492,746,12345
5.0,0.1,25,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,25,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,25,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,25,S-HCP-within,0.916,0.27741555810440033,7.604976726567617,7.386101834477483,1.873339804858277,0.0,0,12345
5.0,0.1,25,Std-CP,0.9356,0.2454886818950878,6.775571079143686,6.3874297883558775,2.465793012730231,0.0,0,12345
5.0,0.1,25,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,30,Donor-HCP-no-within,0.9128,0.28215613127572337,14.757797978805376,13.23182603266606,7.57005526350111,0.02,100,12345
5.0,0.1,30,Donor-HCP-within,0.9462,0.2256451708958775,6.021891388466245,5.831942001072532,1.6748299404035702,0.14,700,12345
5.0,0.1,30,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,30,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,30,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,30,S-HCP-within,0.9272,0.259833913745967,7.046853890528802,6.713063857063458,2.138136126691577,0.0,0,12345
5.0,0.1,30,Std-CP,0.9366,0.24370539276694855,6.526374551982486,6.205293959043433,2.1453613024740967,0.0,0,12345
5.0,0.1,30,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
5.0,0.1,35,Donor-HCP-no-within,0.9206,0.27038909381188153,14.739523384242277,13.266196831788818,7.522571886582474,0.0,0,12345
5.0,0.1,35,Donor-HCP-within,0.948,0.22204923141554564,6.206847203669387,5.992053999434253,1.6714460213756481,0.0,0,12345
5.0,0.1,35,HCP,0.9392,0.2389869932791143,33.93008247883251,31.753194727818396,10.009759825684828,0.0,0,12345
5.0,0.1,35,Pooling,0.8696,0.33677666739954065,26.8467280195452,24.412834943187768,9.01496581983728,0.0,0,12345
5.0,0.1,35,Repeated,0.9062,0.29157942950891164,30.017266211154254,27.522024924488626,9.612754098253012,0.0,0,12345
5.0,0.1,35,S-HCP-within,0.9472,0.2236563534373359,7.253484267396657,6.9528333119554055,2.1968018419315976,0.0,0,12345
5.0,0.1,35,Std-CP,0.9466,0.22485228864821868,6.539249080586737,6.2982745508853375,2.038147789713465,0.0,0,12345
5.0,0.1,35,Subsampling,0.897,0.3039892792457976,29.639096969130264,29.068995351190004,10.629974414483094,0.0,0,12345
