tau_B,alpha,o,dataset_id,rerun_id,lower,upper,width,finite
5.0,0.1,0,4,0,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,1,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,2,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,3,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,4,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,5,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,6,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,7,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,8,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,9,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,10,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,11,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,12,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,13,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,14,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,15,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,16,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,17,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,18,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,19,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,20,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,21,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,22,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,23,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,24,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,25,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,26,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,27,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,28,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,29,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,30,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,31,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,32,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,33,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,34,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,35,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,36,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,37,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,38,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,39,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,40,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,41,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,42,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,43,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,44,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,45,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,46,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,47,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,48,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,49,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,50,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,51,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,52,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,53,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,54,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,55,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,56,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,57,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,58,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,59,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,60,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,61,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,62,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,63,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,64,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,65,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,66,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,67,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,68,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,69,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,70,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,71,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,72,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,73,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,74,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,75,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,76,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,77,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,78,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,79,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,80,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,81,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,82,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,83,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,84,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,85,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,86,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,87,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,88,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,89,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,90,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,91,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,92,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,93,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,94,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,95,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,96,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,97,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,98,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,4,99,-14.374007830664539,49.54979880638294,63.92380663704748,1
5.0,0.1,0,0,0,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,1,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,2,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,3,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,4,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,5,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,6,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,7,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,8,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,9,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,10,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,11,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,12,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,13,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,14,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,15,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,16,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,17,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,18,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,19,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,20,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,21,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,22,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,23,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,24,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,25,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,26,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,27,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,28,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,29,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,30,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,31,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,32,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,33,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,34,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,35,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,36,-5.5324436977685565,40.4587377539211,45.991181451689656,1
5.0,0.1,0,0,37,-5.5324436977685565,40.4587377539211,45.991181451689656,1
