tau_B,alpha,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,n_finite_total,base_seed
5.0,0.05,0,,,,,0,12345
5.0,0.05,5,,,,,0,12345
5.0,0.05,10,23.52285952722656,1.1154211695230283,1.6024977390515744,0.04386614864689231,1087,12345
5.0,0.05,15,20.78239945937081,2.096789285152067,3.5095683698311486,0.09657227126470297,4936,12345
5.0,0.05,20,15.638948157703531,1.4010982890272103,2.2378839866723443,0.0850047003412136,4428,12345
5.0,0.05,25,8.972048107654336,0.3666798388002591,0.6703620921923334,0.03467931349711094,1881,12345
5.0,0.05,30,8.767949737414147,0.08346360415052594,0.256280594083618,0.01138774284397842,341,12345
5.0,0.05,35,,,,,0,12345
5.0,0.1,0,38.67729388193392,6.56992533292904e-15,7.212635419846012e-15,1.765092895533805e-16,5000,12345
5.0,0.1,5,29.977294416559847,2.87838333927701,3.9280703049930183,0.09627826663700914,5000,12345
5.0,0.1,10,23.31183168451939,2.205951760526803,3.0363900714265686,0.0949014687667732,5000,12345
5.0,0.1,15,19.578753074355603,2.0058265057147042,2.8563400657573776,0.10207093992280182,5000,12345
5.0,0.1,20,16.10238961979628,1.664805524373701,2.6067038691263185,0.09900071528503895,5000,12345
5.0,0.1,25,8.070884910861215,0.5429091284129022,0.891693034302376,0.06346867820795926,4271,12345
5.0,0.1,30,5.948561265314575,0.02227755455239858,0.05867390511671147,0.0027930838736115048,4041,12345
5.0,0.1,35,6.354091935513946,3.7178993222349795e-15,1.3300528187587322e-15,5.752127120518159e-16,5000,12345
