o,Donor-HCP,HCP,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,inf,498089.7996032398,200304.7660317894,259222.44279037544,inf,inf,244476.35833142517
5,402425.86463370087,,,,inf,115033.6471008916,
10,328526.0875573582,,,,inf,170490.33041799217,
15,263500.49883244454,,,,inf,158885.20316723842,
20,231001.30312107346,,,,inf,202308.02629989467,
