o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,1.0,1.0,0.961,0.941,1.0,1.0,1.0,1.0
5,1.0,,0.961,,,0.953,0.952,
10,1.0,,0.961,,,0.948,0.946,
15,0.998,,0.961,,,0.951,0.956,
20,0.989,,0.961,,,0.947,0.959,
