o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,,,244000.0,201784.1437613188,,,,
5,,,244000.0,,,210614.54226122022,104040.0,
10,,,244000.0,,,196700.01763811894,116016.0,
15,882409.2939963422,,244000.0,,,199026.79324438947,134269.74285714282,
20,284714.9532946942,,244000.0,,,177514.23783725765,153578.0,
