method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
GHCP,20,0.2,0.8,108910.6029187134,622.8734889958075,19696.98919362577,106464.51449489439,94446.50087882913,121829.35386409938,62371.1012043848,194219.2348429532,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.2,0.8,139889.6966197726,802.4161247419239,25374.625854302696,137942.5242781789,121496.25332164974,156448.00656462152,70823.23447642001,223627.82837429928,1000.0,1000.0,0.0,1.0,0.0
HCP,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.2,0.8,135000.0,0.0,0.0,135000.0,135000.0,135000.0,135000.0,135000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.2,0.8,102889.47086214708,636.605425650627,20131.2311587696,100491.290008203,88248.46621400176,115055.19864492839,55713.51175064049,171052.4126708198,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.2,0.8,128718.54536852158,754.1058280606916,23846.92013479102,127022.24683875244,111298.75608438451,143972.39776375837,70880.7797694887,207231.304010488,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.2,0.8,129218.17743380163,2405.29874876423,76062.2249924808,117693.07236615944,83848.93186052491,157516.44523363508,30278.288251013782,859320.650221218,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.2,0.8,107448.55291590646,852.7990229266264,26967.87298814292,102840.74222606944,88676.67040169521,121867.86102845945,44381.2044880559,239278.03590369236,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.2,0.8,99393.16707821516,692.2421840635241,21890.619940902496,96494.40345133375,84108.37773432935,111156.9958627016,46881.56392008861,195619.69516430848,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.2,0.8,100562.73204112201,620.9534397734656,19636.271906003414,97212.17937229804,86426.90910550396,112100.50167259622,52587.43051499373,182952.293330663,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.2,0.8,98220.84949977565,567.2501056602881,17938.023368576818,96826.52162683534,85085.57901521484,109518.44224188173,50700.436090596544,162732.29277341394,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.2,0.8,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.2,0.8,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,10,0.2,0.8,168024.39343999999,5734.0304780571205,181325.96483484644,111980.4,71284.8,193886.2,12656.0,1095000.0,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.2,0.8,207021.6922857143,6877.224491310839,217476.9337283511,133345.14285714284,85838.28571428571,229616.42857142858,23382.857142857152,1086800.0,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.2,0.8,121416.09448,3008.0609793332515,95123.24035369758,98144.2,63068.2,149924.28999999998,16780.0,911588.8,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.2,0.8,129707.9946373555,2293.226639674077,72518.19372344336,117081.76253339896,85915.02086878114,157396.98101605455,30361.052421941888,965673.2282240036,1000.0,1000.0,0.0,1.0,0.0
Subsampling,5,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.2,0.8,,,,,,,,,0.0,0.0,0.0,,
