tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.1,0,Donor-HCP-no-within,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,0,Donor-HCP-within,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,0,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,0,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,0,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,0,S-HCP-within,0.9162,0.2771153524864994,31.93402322410878,30.160055452019378,11.989486655637482,0.0,0,12345
5.0,0.1,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,5,Donor-HCP-no-within,0.9378,0.24154260196850025,33.42634660511191,31.935624455042653,10.850848303207597,0.0,0,12345
5.0,0.1,5,Donor-HCP-within,0.9494,0.21920139107672187,29.39127554583327,28.105480547047435,9.142162453700667,0.0,0,12345
5.0,0.1,5,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,5,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,5,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,5,S-HCP-within,0.9138,0.2806872228360467,18.60381967590882,17.44742123698441,6.319496002716884,0.0,0,12345
5.0,0.1,5,Std-CP,0.75,0.43305600965868146,6.271231331233725,5.263510011893441,4.606074591390272,0.0,0,12345
5.0,0.1,5,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,10,Donor-HCP-no-within,0.932,0.2517710820081353,31.811832636509923,29.953253300313428,10.650536266072896,0.0,0,12345
5.0,0.1,10,Donor-HCP-within,0.9422,0.23338820452371303,23.119530174888183,22.073944933661288,7.27450471605521,0.0,0,12345
5.0,0.1,10,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,10,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,10,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,10,S-HCP-within,0.9168,0.2762119088738226,12.226674653681624,11.58741519101344,3.7184907329068597,0.0,0,12345
5.0,0.1,10,Std-CP,0.8332,0.3728344956039106,66.09119894156541,12.280746732226305,709.6389757113308,0.0,0,12345
5.0,0.1,10,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,15,Donor-HCP-no-within,0.9186,0.2734757718693926,30.32854858084906,28.654805971638584,10.435012128897512,0.0,0,12345
5.0,0.1,15,Donor-HCP-within,0.9224,0.26756785777014086,19.356592941050355,18.466755500284,6.266006026591311,0.0,0,12345
5.0,0.1,15,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
