exp_id,o,method,coverage,mean_width,n_infinite
13,0,no_training,0.9,30.363785454436314,0
13,0,with_training,0.87,32.190745449015964,0
13,10,no_training,0.9,29.38250049820585,0
13,10,with_training,0.89,24.18542052993147,0
13,20,no_training,0.91,30.407069118321292,0
13,20,with_training,0.83,19.267975571602353,0
13,30,no_training,0.89,13.497483335761626,0
13,30,with_training,0.89,5.24324705202706,0
13,40,no_training,0.87,13.382214754091924,0
13,40,with_training,0.86,4.975837730319216,0
13,HCP,HCP,1.0,44.74463457075231,0
14,0,no_training,0.83,25.47526365435527,0
14,0,with_training,0.87,29.483142626625344,0
14,10,no_training,0.87,28.770674632849435,0
14,10,with_training,0.86,23.03680170729297,0
14,20,no_training,0.86,27.451262937067032,0
14,20,with_training,0.87,20.009315411363975,0
14,30,no_training,0.91,14.335135088713749,0
14,30,with_training,0.87,5.005739352978065,0
14,40,no_training,0.91,14.193312630592498,0
14,40,with_training,0.87,4.554594891260955,0
14,HCP,HCP,0.84,27.81450583528649,0
15,0,no_training,0.84,27.556550105569602,0
15,0,with_training,0.91,27.54581187223265,0
15,10,no_training,0.9,24.315140616701157,0
15,10,with_training,0.92,20.52772642064839,0
15,20,no_training,0.92,24.36241993621012,0
15,20,with_training,0.93,16.75257262543611,0
15,30,no_training,0.89,14.356574765451342,0
15,30,with_training,0.91,5.260647252088445,0
15,40,no_training,0.88,14.213543104524224,0
15,40,with_training,0.91,4.831363447746446,0
15,HCP,HCP,0.97,29.584980042377023,0
16,0,no_training,0.87,29.27139579917305,0
16,0,with_training,0.94,30.486343520812806,0
16,10,no_training,0.94,32.09393158743576,0
16,10,with_training,0.9,25.879014234690338,0
16,20,no_training,0.93,30.470943820348197,0
16,20,with_training,0.86,20.578732793867147,0
16,30,no_training,0.87,14.724611565556938,0
16,30,with_training,0.93,4.846870192258733,0
16,40,no_training,0.88,14.628513618987405,0
16,40,with_training,0.92,4.577926126908942,0
16,HCP,HCP,0.96,44.64248792188261,0
17,0,no_training,0.91,34.6470110439592,0
17,0,with_training,0.95,37.20098362401611,0
17,10,no_training,0.9,31.661077905020328,0
17,10,with_training,0.92,27.26567982375803,0
17,20,no_training,0.93,31.927060308612223,0
17,20,with_training,0.92,20.63071638687853,0
17,30,no_training,0.89,14.732879982029395,0
17,30,with_training,0.92,4.97419377298357,0
17,40,no_training,0.89,14.78786798660444,0
17,40,with_training,0.87,4.89061139823559,0
17,HCP,HCP,0.87,38.77362568031642,0
18,0,no_training,0.91,29.903028165253545,0
18,0,with_training,0.95,32.456397162092806,0
18,10,no_training,0.93,28.50135390012333,0
18,10,with_training,0.9,21.81671280050112,0
18,20,no_training,0.94,27.52530276830321,0
18,20,with_training,0.93,19.310931906303644,0
18,30,no_training,0.9,13.210135209620463,0
18,30,with_training,0.92,4.751379142436363,0
18,40,no_training,0.88,13.196453377016002,0
18,40,with_training,0.91,4.633768708869925,0
18,HCP,HCP,0.97,37.63054421174117,0
19,0,no_training,0.89,40.72114183524069,0
19,0,with_training,0.91,38.00362910581336,0
19,10,no_training,0.93,37.25544075366334,0
19,10,with_training,0.94,29.82703699182608,0
19,20,no_training,0.95,36.504100308466505,0
19,20,with_training,0.94,23.831513307798684,0
19,30,no_training,0.92,15.293978387468565,0
19,30,with_training,0.88,4.965011834543875,0
19,40,no_training,0.93,15.281110196207221,0
19,40,with_training,0.9,4.742150625344514,0
19,HCP,HCP,0.96,31.356024420989446,0
20,0,no_training,0.87,27.28224983692735,0
20,0,with_training,0.88,29.086291526058286,0
20,10,no_training,0.85,27.703121635738317,0
20,10,with_training,0.89,22.09900343688603,0
20,20,no_training,0.92,27.13206654372733,0
20,20,with_training,0.89,18.504725641873346,0
20,30,no_training,0.94,14.371229177907788,0
20,30,with_training,0.88,4.895714846920862,0
20,40,no_training,0.93,14.224393374800004,0
20,40,with_training,0.88,4.56108975584088,0
20,HCP,HCP,1.0,59.61081486012863,0
21,0,no_training,0.89,31.893677549359314,0
21,0,with_training,0.83,33.35236469192203,0
21,10,no_training,0.89,30.751519876218982,0
21,10,with_training,0.89,25.90439599717995,0
21,20,no_training,0.86,31.1290367765478,0
21,20,with_training,0.88,20.6507754682146,0
21,30,no_training,0.88,15.41855424002709,0
21,30,with_training,0.88,4.845136760096816,0
21,40,no_training,0.87,15.397398943030957,0
21,40,with_training,0.88,4.722925460373841,0
21,HCP,HCP,0.93,29.496546593347617,0
22,0,no_training,0.88,32.35342069619994,0
22,0,with_training,0.9,33.293992734824386,0
22,10,no_training,0.93,31.773147744162085,0
22,10,with_training,0.89,25.63658441489317,0
22,20,no_training,0.91,31.669189059805714,0
22,20,with_training,0.9,21.88068701448897,0
22,30,no_training,0.91,15.848672018427113,0
22,30,with_training,0.92,5.0053174546444295,0
22,40,no_training,0.93,15.782215759908397,0
22,40,with_training,0.92,4.723282071659784,0
22,HCP,HCP,0.95,26.204286578471798,0
23,0,no_training,0.94,42.63541497484175,0
23,0,with_training,0.94,42.519037586155456,0
23,10,no_training,0.94,38.240119418756365,0
23,10,with_training,0.95,33.81659356997951,0
23,20,no_training,0.95,41.067073581299475,0
23,20,with_training,0.96,27.195696258455595,0
23,30,no_training,0.89,16.672363513480963,0
23,30,with_training,0.89,4.873465735599953,0
23,40,no_training,0.89,16.68299108466143,0
23,40,with_training,0.88,4.638300217671695,0
23,HCP,HCP,0.94,31.496709089622165,0
24,0,no_training,0.86,47.110734109355356,0
24,0,with_training,0.84,48.06608159000404,0
24,10,no_training,0.93,42.52997203191909,0
24,10,with_training,0.94,37.9664444867289,0
24,20,no_training,0.89,44.86021099110601,0
24,20,with_training,0.88,28.41739442649165,0
24,30,no_training,0.91,13.757188765565592,0
24,30,with_training,0.92,4.6538900647852355,0
24,40,no_training,0.9,13.670693407762975,0
24,40,with_training,0.92,4.581365581723916,0
24,HCP,HCP,0.98,40.57740151483505,0
25,0,no_training,0.95,26.873031359219272,0
25,0,with_training,0.93,25.967219042089692,0
25,10,no_training,0.96,25.64200056921935,0
25,10,with_training,0.9,21.437054345966562,0
25,20,no_training,0.95,24.62114363543983,0
25,20,with_training,0.95,17.36692327510917,0
25,30,no_training,0.91,13.569359625889337,0
25,30,with_training,0.88,4.990841018789243,0
25,40,no_training,0.91,13.453454237135507,0
25,40,with_training,0.89,4.670816143281646,0
25,HCP,HCP,0.96,25.195055496942,0
26,0,no_training,0.88,26.59627910992367,0
26,0,with_training,0.87,28.657898123194496,0
26,10,no_training,0.9,27.214548880509682,0
26,10,with_training,0.91,23.373994567800516,0
26,20,no_training,0.91,26.50594156430623,0
26,20,with_training,0.9,17.874579838573492,0
26,30,no_training,0.92,13.96229352838517,0
26,30,with_training,0.89,5.018307343129049,0
26,40,no_training,0.93,13.972699867561307,0
26,40,with_training,0.88,4.713476331088395,0
26,HCP,HCP,0.97,29.297057494857995,0
27,0,no_training,0.91,31.54314498182362,0
27,0,with_training,0.92,34.25677938853488,0
27,10,no_training,0.92,29.943463844809358,0
27,10,with_training,0.9,23.846106278974265,0
27,20,no_training,0.9,30.104761920425677,0
27,20,with_training,0.9,20.91683771013028,0
27,30,no_training,0.88,14.743120206542658,0
27,30,with_training,0.91,5.062320349192252,0
27,40,no_training,0.86,14.67150173503942,0
27,40,with_training,0.87,4.713303213405166,0
27,HCP,HCP,0.94,33.6554386265351,0
28,0,no_training,0.97,35.48706915660007,0
28,0,with_training,0.93,35.980933832269756,0
28,10,no_training,0.97,34.196016711772906,0
28,10,with_training,0.94,29.110061205353034,0
28,20,no_training,0.97,35.0816870712287,0
28,20,with_training,0.96,23.3081699698518,0
28,30,no_training,0.87,13.794998398793634,0
28,30,with_training,0.92,4.953563367021174,0
28,40,no_training,0.91,13.717820995087227,0
28,40,with_training,0.88,4.70873142273474,0
28,HCP,HCP,1.0,66.715912204841,0
29,0,no_training,0.89,29.019722572166593,0
29,0,with_training,0.84,29.44468324780287,0
29,10,no_training,0.87,25.96925156359307,0
29,10,with_training,0.82,23.99285884191225,0
29,20,no_training,0.89,27.583546824275242,0
29,20,with_training,0.89,18.776120264427924,0
29,30,no_training,0.89,15.930938785508204,0
29,30,with_training,0.91,4.743317461875359,0
29,40,no_training,0.9,15.889155375083027,0
29,40,with_training,0.9,4.561486047877858,0
29,HCP,HCP,0.88,30.9793030613502,0
30,0,no_training,0.84,24.370752906968328,0
30,0,with_training,0.88,25.16736744457733,0
30,10,no_training,0.86,25.19811509562118,0
30,10,with_training,0.86,19.744417806135424,0
30,20,no_training,0.9,24.612239511182953,0
30,20,with_training,0.87,17.072524234183586,0
30,30,no_training,0.84,13.76727209475473,0
30,30,with_training,0.96,5.162514109322393,0
30,40,no_training,0.87,13.670794150338248,0
30,40,with_training,0.95,4.933553867836022,0
30,HCP,HCP,0.97,29.557561917658003,0
31,0,no_training,0.81,26.41950441873727,0
31,0,with_training,0.79,27.976081824359316,0
31,10,no_training,0.9,28.43633328157128,0
31,10,with_training,0.85,21.744034355820695,0
31,20,no_training,0.84,25.92491243337582,0
31,20,with_training,0.84,19.626915345194817,0
31,30,no_training,0.88,16.876334411476233,0
31,30,with_training,0.91,5.06865255392977,0
31,40,no_training,0.9,16.824036129697493,0
31,40,with_training,0.9,4.851170862843967,0
31,HCP,HCP,0.95,28.07343416653674,0
32,0,no_training,0.94,34.08284572381811,0
32,0,with_training,0.95,33.76663556199383,0
32,10,no_training,0.96,33.12797653438683,0
32,10,with_training,0.97,26.61178369014234,0
32,20,no_training,0.93,31.9994988196541,0
32,20,with_training,0.91,22.25454337455853,0
32,30,no_training,0.92,14.549527340768627,0
32,30,with_training,0.92,4.983166010966883,0
32,40,no_training,0.92,14.521673059423428,0
32,40,with_training,0.92,4.7831155111401875,0
32,HCP,HCP,1.0,47.91611237702717,0
33,0,no_training,0.85,20.68824264161642,0
33,0,with_training,0.78,21.324045699003108,0
33,10,no_training,0.83,19.307080682663724,0
33,10,with_training,0.82,16.63690121463731,0
33,20,no_training,0.84,20.494814832554116,0
33,20,with_training,0.85,13.776816943969777,0
33,30,no_training,0.88,15.479554451274428,0
33,30,with_training,0.87,5.159179446123436,0
33,40,no_training,0.87,15.250523422948838,0
33,40,with_training,0.86,4.800915253331814,0
33,HCP,HCP,0.95,22.729308270385182,0
34,0,no_training,0.79,18.97708562144001,0
34,0,with_training,0.85,18.653560290671273,0
34,10,no_training,0.86,18.582682727187667,0
34,10,with_training,0.87,14.857537950480818,0
34,20,no_training,0.86,19.693799415901598,0
34,20,with_training,0.85,13.952889766907465,0
34,30,no_training,0.88,13.692732331372321,0
34,30,with_training,0.92,4.812649783424312,0
34,40,no_training,0.87,13.549801579568483,0
34,40,with_training,0.91,4.482634505880096,0
34,HCP,HCP,0.92,28.704655136416417,0
35,0,no_training,0.98,35.15392230932359,0
35,0,with_training,0.95,39.055344210409146,0
35,10,no_training,0.92,34.243804313263716,0
35,10,with_training,0.97,27.87811335517025,0
35,20,no_training,0.96,33.54596015617814,0
35,20,with_training,0.9,22.541757902794615,0
35,30,no_training,0.87,12.290919705953401,0
35,30,with_training,0.87,5.012875594957881,0
35,40,no_training,0.89,12.315797046185628,0
35,40,with_training,0.85,4.804450867077771,0
35,HCP,HCP,0.99,56.003536888903874,0
36,0,no_training,0.92,35.76236696143802,0
36,0,with_training,0.93,36.08922509494936,0
36,10,no_training,0.89,36.79985950925788,0
36,10,with_training,0.92,30.19423561734093,0
36,20,no_training,0.97,36.61002694621289,0
36,20,with_training,0.93,23.777915992322036,0
36,30,no_training,0.85,15.638333732972065,0
36,30,with_training,0.91,5.148926038041951,0
36,40,no_training,0.87,15.588832896008748,0
36,40,with_training,0.9,4.827191509527224,0
36,HCP,HCP,0.98,34.38443420464267,0
37,0,no_training,0.87,24.874308369135136,0
37,0,with_training,0.82,24.71846445236279,0
37,10,no_training,0.88,24.578204104018674,0
37,10,with_training,0.87,19.19228710363694,0
37,20,no_training,0.83,25.022777348139748,0
37,20,with_training,0.9,16.57928697904499,0
37,30,no_training,0.93,14.75407424479188,0
37,30,with_training,0.89,4.989116192582568,0
37,40,no_training,0.93,14.658799135506026,0
37,40,with_training,0.88,4.867132188742551,0
37,HCP,HCP,0.93,25.337669986633063,0
38,0,no_training,0.88,29.938486721707264,0
38,0,with_training,0.88,30.38216939662519,0
38,10,no_training,0.93,26.39113530722862,0
38,10,with_training,0.93,24.174199636674743,0
38,20,no_training,0.89,27.954906289320512,0
38,20,with_training,0.97,18.98588270840721,0
38,30,no_training,0.93,16.52978639933563,0
38,30,with_training,0.91,5.067458599578639,0
38,40,no_training,0.92,16.43666661413288,0
38,40,with_training,0.93,4.76705995993186,0
38,HCP,HCP,0.99,46.86284850030397,0
39,0,no_training,0.76,28.986199448429353,0
39,0,with_training,0.88,28.066037088469425,0
39,10,no_training,0.9,28.53239130057013,0
39,10,with_training,0.87,21.200623199640667,0
39,20,no_training,0.84,28.104257837391707,0
39,20,with_training,0.91,20.81176485958434,0
39,30,no_training,0.94,17.735577329736902,0
39,30,with_training,0.9,5.119028001317172,0
39,40,no_training,0.94,17.633758968057478,0
39,40,with_training,0.9,4.796408219718183,0
39,HCP,HCP,1.0,54.134289747945004,0
40,0,no_training,0.88,30.835898757741056,0
40,0,with_training,0.76,32.90629683221158,0
40,10,no_training,0.82,32.285017186508775,0
40,10,with_training,0.85,25.35883980741776,0
40,20,no_training,0.88,31.483217937214974,0
40,20,with_training,0.8,22.011308316644037,0
40,30,no_training,0.89,18.964809115450656,0
40,30,with_training,0.89,4.996130779003893,0
40,40,no_training,0.88,18.880140057012774,0
40,40,with_training,0.87,4.6702827831132545,0
40,HCP,HCP,0.77,33.14368094897132,0
41,0,no_training,0.71,25.827069920801833,0
41,0,with_training,0.7,27.011478223524602,0
41,10,no_training,0.72,26.19501458263499,0
41,10,with_training,0.8,20.545144791609836,0
41,20,no_training,0.7,26.674227527987668,0
41,20,with_training,0.73,16.443063557245157,0
41,30,no_training,0.89,24.125349199824814,0
41,30,with_training,0.92,5.155524111209209,0
41,40,no_training,0.9,24.013366439943482,0
41,40,with_training,0.89,4.794957583965615,0
41,HCP,HCP,0.95,36.85260949889563,0
42,0,no_training,0.95,40.83948606235972,0
