o_observed,Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference
0,D-HCP (within),0.9418,0.06403729780529534,38.62936153861586,14.254601432907096,0,0.0,0.9,0.04179999999999995
0,D-HCP (no-within),0.9418,0.06403729780529534,38.62936153861586,14.254601432907096,0,0.0,0.9,0.04179999999999995
0,Std-CP,,,inf,,0,0.0,0.9,
0,HCP,0.9418,0.06403729780529534,38.62936153861586,14.254601432907096,0,0.0,0.9,0.04179999999999995
10,D-HCP (within),0.9346,0.0562868020199465,24.882934898812298,9.390296152438006,0,0.0,0.9,0.034599999999999964
10,D-HCP (no-within),0.9236,0.06262163673807242,34.487330478539114,13.459647256632929,0,0.0,0.9,0.023599999999999954
10,Std-CP,0.8266000000000001,0.04133536312768957,10.602530294451165,1.587158470916448,0,0.0,0.9,-0.07339999999999991
10,HCP,0.945,0.055960992245145405,38.62936153861586,14.254601432907096,0,0.0,0.9,0.04499999999999993
20,D-HCP (within),0.9096,0.06414142537377535,15.914202379424655,6.408609529259055,0,0.0,0.9,0.009599999999999942
20,D-HCP (no-within),0.9116,0.06634357080949971,28.495931761153933,12.29153266464943,0,0.0,0.9,0.011599999999999944
20,Std-CP,0.9088,0.030145226717965663,5.711067110482429,0.32048032253631004,0,0.0,0.9,0.00880000000000003
20,HCP,0.9502000000000002,0.05262458492734655,38.62936153861586,14.254601432907096,0,0.0,0.9,0.05020000000000013
30,D-HCP (within),0.9321999999999998,0.022065764414215802,5.44826193940639,0.22981522920828207,0,0.0,0.9,0.032199999999999784
30,D-HCP (no-within),0.8978,0.028305188101642925,13.419356754877619,1.6754605326328695,0,0.0,0.9,-0.0021999999999999797
30,Std-CP,0.9398000000000001,0.021427619026454067,5.57689578332219,0.32198067214902526,0,0.0,0.9,0.03980000000000006
30,HCP,0.9488,0.04938974527951637,38.62936153861586,14.254601432907096,0,0.0,0.9,0.048799999999999955
40,D-HCP (within),0.9030000000000001,0.02830230393736994,4.702528493313102,0.20306851028546494,0,0.0,0.9,0.0030000000000001137
40,D-HCP (no-within),0.9044000000000001,0.026585249861607124,13.391492066183535,1.7950783305504827,0,0.0,0.9,0.0044000000000000705
40,Std-CP,0.9028000000000002,0.035227540246754875,4.61886381490563,0.23350787815000904,0,0.0,0.9,0.0028000000000001357
40,HCP,0.9498000000000001,0.054753249833657716,38.62936153861586,14.254601432907096,0,0.0,0.9,0.049800000000000066
