o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,369681.13855965715,334732.1736302705,162568.75,194661.4181332001,270137.44298204524,243361.29262764973,,253810.83990833376
5,265533.120791699,,162568.75,,,,143962.1087971392,
10,225342.81291954507,,162568.75,,,,145677.50178585213,
15,197847.668322925,,162568.75,,,,180639.4616603097,
20,175832.29609847494,,162568.75,,,,169361.64653097614,
