method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,0.9111805555555557,0.10478818765298463,0.008996140880012084,257919.3188826478,266146.75319774944,56690.11737816612,1000
Donor-HCP,5,0.8700674603174604,0.1220836051994089,0.010632500872992435,225095.78469639178,228979.35843009508,37322.38705514611,1000
Donor-HCP,10,0.8549107142857142,0.13024929591086862,0.011137252124523541,214596.9590276166,217403.18005840457,30244.421925794126,1000
Donor-HCP,15,0.837734126984127,0.13864703184243843,0.01165914488589406,200309.7335265071,202701.09071193318,26364.114452149515,1000
Donor-HCP,20,0.8118214285714286,0.14413939687588306,0.012359910868759268,185929.7238304128,187999.3659173591,24363.795262115145,1000
Donor-HCP,25,0.8476507936507937,0.13102673893413339,0.011363930907655735,214582.68356392434,219165.00677777154,35061.243774275434,1000
Donor-HCP,30,0.844545634920635,0.1375938811361436,0.011458110902637333,202307.49068509502,220774.94879296428,71429.09200328798,1000
Donor-HCP,35,0.9336924603174603,0.11522934625218673,0.00786834479822714,241764.5944716559,255727.05013085113,73398.966269326,1000
HCP,0,0.9003769841269842,0.10992434645163744,0.009470917092941985,243984.1022067103,252657.82881471253,53819.7707694591,1000
Pooled-Income-Quantile,0,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,5,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,10,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,15,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,20,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,25,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,30,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,35,0.838,0.3686351745179669,0.011651437679531227,132000.0,132000.0,0.0,1000
Pooling,0,0.814688492063492,0.14321754555796987,0.012287031902083004,164391.5512963343,167805.02755482472,30042.729011635325,1000
Repeated,0,0.9221527777777778,0.09509440275762888,0.008472722833570454,283752.45232474525,291713.0862632083,61089.08117381116,1000
S-HCP,0,0.8973313492063492,0.10943250768225371,0.009598322714821701,313051.86521716055,325171.75599933544,95009.00956089927,1000
S-HCP,5,0.806359126984127,0.14733139942453696,0.012495762694350574,178416.31817484164,180891.72389856374,28008.66315500185,1000
S-HCP,10,0.8125357142857143,0.14938613619898586,0.01234185671995581,185062.7105248851,186445.61574103567,20955.63905412773,1000
S-HCP,15,0.8021805555555556,0.1483795924680192,0.012597099342473083,180536.76502736047,181294.70292560768,19316.226087137347,1000
S-HCP,20,0.8045357142857144,0.1449998381648485,0.012540255129960065,183972.63246978636,184671.48486777477,18217.496616427266,1000
S-HCP,25,0.8249047619047619,0.13981964758144116,0.012018190200342562,196184.32345070672,197154.1926077596,18857.392240511355,1000
S-HCP,30,0.8096230158730159,0.142623687256298,0.012415054894832248,184389.91585961857,184992.30509632188,14198.381423542112,1000
S-HCP,35,0.8127341269841271,0.14556774036920814,0.012336829650257635,194597.35920576792,203066.84883726263,35110.81115046413,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.14951785714285712,0.13016649440318084,0.011276624829188266,25395.835841624994,26594.385258931638,9164.677333232448,1000
Std-CP,10,0.09597420634920634,0.1092332861623968,0.009314674340246484,13843.068182164789,14450.005015096567,4776.561161392345,1000
Std-CP,15,0.06719246031746032,0.09136216556424133,0.007916920714137968,9669.75502157597,9909.9436004902,3192.571117880097,1000
Std-CP,20,0.052853174603174596,0.08003182119281657,0.007075289148687913,7279.375053546374,7535.639975742633,2539.33189856628,1000
Std-CP,25,0.046557539682539686,0.07721944460943146,0.006662577217657476,5892.907488256595,6140.710431704373,2084.3174617533214,1000
Std-CP,30,0.03865674603174602,0.07106550612021333,0.00609609727760172,5256.7998907478905,5368.907988419312,1750.2246086528035,1000
Std-CP,35,0.03374404761904762,0.06742411816792125,0.005710112684468764,4481.171415601663,4634.554780259488,1532.976942815705,1000
Subsampling,0,0.8901607142857144,0.14052691078589596,0.009888104824892439,274629.6687871475,322496.82147181296,188900.40218039317,1000
