puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_educ_HS
101,27,32.96296296296296,8.604477731799708,47.111111111111114,12.463279397226612,2.0,2.1303665267886505,1157.851851851852,679.7306425627335,0.37037037037037035,0.6666666666666666,0.8888888888888888,0.1111111111111111,1.4074074074074074,-0.24831317107378054,0.7493615307158632,-0.6250010021484487,-0.3321121508168403,0.10049206880032457,,
102,26,30.346153846153847,3.2241874349027255,43.65384615384615,6.566230624596171,3.769230769230769,2.006144407717297,930.8846153846154,199.96026143673183,0.3076923076923077,0.4230769230769231,0.8076923076923077,0.07692307692307693,1.2692307692307692,-0.03095608494976254,0.809282495967896,-0.38159678075315995,-0.053829134257477484,0.47394475806688297,0.11538461538461539,
105,25,39.12,7.518421820213779,41.0,2.5,3.08,1.5253414918196733,1584.64,609.6562474050438,0.44,0.56,0.56,0.04,1.96,-0.14209937835796915,0.6344788102048338,-0.5070216542550465,0.10114709419608481,0.2846783090387497,0.16,0.24
107,23,32.43478260869565,6.781164333897252,40.65217391304348,2.2884829364008,3.782608695652174,1.8329440238224415,1096.0,514.0263523488761,0.391304347826087,0.6521739130434783,0.4782608695652174,0.21739130434782608,1.565217391304348,-0.16470030091503557,0.6292410182656041,-0.5849368670075314,-0.012943960263925192,0.24494275229874596,0.08695652173913043,0.21739130434782608
108,48,33.708333333333336,5.414552233243744,41.666666666666664,5.0878801894988674,3.5833333333333335,1.7725247449982766,1164.9583333333333,395.7878734627197,0.4791666666666667,0.8541666666666666,0.8541666666666666,0.0625,1.3125,0.010073308631335006,0.5867008281830312,-0.23837910395322792,0.056957820727379094,0.37600635685593353,0.020833333333333332,0.0625
109,87,34.67816091954023,7.020723895747177,41.747126436781606,4.710745733697456,3.4827586206896552,1.7378285633160555,1251.2988505747126,532.2745863097557,0.3103448275862069,0.7816091954022989,0.9310344827586207,0.011494252873563218,1.3333333333333333,0.03431521379242266,0.6659305769172335,-0.07370864183631198,0.21160343500936563,0.4111915403162598,0.034482758620689655,0.022988505747126436
110,35,34.82857142857143,5.376887981885795,41.142857142857146,2.9915848361583812,3.257142857142857,2.105215612023919,1241.1142857142856,392.42487264732455,0.3142857142857143,0.8,0.8571428571428571,0.08571428571428572,1.2571428571428571,0.0949457130663016,0.5397390245795136,-0.17939990701673647,0.024374104815684916,0.38937559220489426,0.02857142857142857,0.02857142857142857
1305,23,36.56521739130435,7.310180242501931,40.0,0.0,3.608695652173913,2.0391426548425735,1388.1304347826087,563.232497153531,0.34782608695652173,0.9130434782608695,1.0,,1.0869565217391304,0.1884846836697059,0.407285974725491,-0.03783549271070097,0.061719646607315326,0.38089020174360133,,
3714,24,36.375,6.870304720790901,40.625,2.242136015732203,3.2916666666666665,1.966660525659781,1368.375,525.344840164017,0.5416666666666666,0.7916666666666666,0.5416666666666666,0.125,2.0416666666666665,0.03122944399106557,0.895208836215653,-0.4989475303541173,-0.03326589849325057,0.48024621556802316,0.125,0.20833333333333334
3717,29,38.96551724137931,10.015997056925237,43.206896551724135,5.101675567503201,3.5172413793103448,1.8635735574269363,1615.1724137931035,775.3515363537423,0.3448275862068966,0.6551724137931034,0.5517241379310345,0.06896551724137931,2.3793103448275863,0.0032206927709038085,0.8073241489924506,-0.6305974685643427,0.07000178867659024,0.4866004606750689,0.10344827586206896,0.27586206896551724
3719,35,39.94285714285714,8.415471945602746,42.57142857142857,5.473388638976527,3.257142857142857,1.9302980133046987,1664.2285714285715,660.6546256961965,0.3142857142857143,0.7142857142857143,0.42857142857142855,0.2857142857142857,1.7714285714285714,-0.1229620925743451,0.7782903376253805,-0.6176075821464142,-0.19796181325398265,0.29158256450934505,0.05714285714285714,0.22857142857142856
3725,21,35.095238095238095,9.544133076947125,41.142857142857146,4.4077853201547175,3.380952380952381,1.5644868320376006,1318.4285714285713,731.374293465977,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.14285714285714285,2.0,0.016766597522108316,0.5097190105008463,-0.3254996602056224,-0.0961367374566855,0.16363190328701904,0.14285714285714285,0.19047619047619047
3729,33,34.78787878787879,6.863661448880508,46.121212121212125,12.67812480159619,2.6666666666666665,2.01038968030247,1255.878787878788,539.8999767072461,0.3939393939393939,0.6060606060606061,0.9696969696969697,0.030303030303030304,1.2727272727272727,-0.3547665936484971,0.6202370205340046,-0.6069528375945552,-0.3187565031177524,0.0679955626217481,,
