o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,403117.3353441897,410721.85485442745,180000.0,152014.49617458356,244345.04843008792,181971.86184816126,,186317.32021127394
5,281853.752678354,,180000.0,,,149640.36470317843,,
10,235730.1483490558,,180000.0,,,146465.34019440392,,
15,200648.74174892023,,180000.0,,,142913.73428538925,,
20,176620.14447874803,,180000.0,,,135820.58738121338,148587.0,
