o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.981,0.983,0.917,0.882,0.958,0.901,1.0,0.897
5,0.97,,0.917,,,0.902,1.0,
10,0.956,,0.917,,,0.911,1.0,
15,0.955,,0.917,,,0.913,1.0,
20,0.937,,0.917,,,0.894,0.909,
