puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,prop_cow_1.0,prop_cow_2.0,prop_cow_3.0,prop_cow_4.0,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_cow_6.0,prop_educ_HS,prop_cow_5.0,prop_cow_7.0,prop_cow_8.0
101,27,32.96296296296296,8.604477731799708,47.111111111111114,12.463279397226612,2.0,2.1303665267886505,1157.851851851852,679.7306425627335,0.37037037037037035,0.6666666666666666,0.8888888888888888,0.1111111111111111,1.4074074074074074,0.5185185185185185,0.2222222222222222,0.037037037037037035,0.2222222222222222,4303.251433487055,72803.72230814368,-33168.49131013481,-17704.491158450604,13546.327428483273,,,,,,
102,25,30.36,3.289883483245772,43.8,6.658328118479393,3.88,1.96468827043885,932.12,203.982294983331,0.32,0.4,0.8,0.08,1.28,0.84,0.12,,,-4577.006492534261,52281.22982409519,-38870.839803765964,-959.5363694156695,28220.563062457484,0.12,0.04,,,,
105,25,39.12,7.518421820213779,41.0,2.5,3.08,1.5253414918196733,1584.64,609.6562474050438,0.44,0.56,0.56,0.04,1.96,0.8,,,0.08,-8914.735589089105,32256.39362420853,-19035.961052771454,264.0206737747649,12604.743548886327,0.16,0.04,0.24,0.08,,
107,23,32.43478260869565,6.781164333897252,40.65217391304348,2.2884829364008,3.782608695652174,1.8329440238224415,1096.0,514.0263523488761,0.391304347826087,0.6521739130434783,0.4782608695652174,0.21739130434782608,1.565217391304348,1.0,,,,-12392.183352076094,41497.850817975974,-35465.16022094895,-17442.41240725707,327.7954198291409,0.08695652173913043,,0.21739130434782608,,,
108,46,33.52173913043478,5.439522570695102,41.52173913043478,5.04089555727191,3.630434782608696,1.7173454405910422,1152.6521739130435,398.58244469292833,0.5,0.8478260869565217,0.8478260869565217,0.06521739130434782,1.3043478260869565,0.8913043478260869,0.043478260869565216,0.021739130434782608,0.021739130434782608,-6604.688729717952,39163.312979251285,-30017.307496623107,-6724.458509514807,14833.254165218299,0.021739130434782608,,0.06521739130434782,0.021739130434782608,,
109,85,34.694117647058825,7.096316162716575,41.78823529411765,4.758686587622228,3.4705882352941178,1.749749882085992,1253.4470588235295,537.9761568862986,0.3176470588235294,0.7764705882352941,0.9294117647058824,0.011764705882352941,1.3294117647058823,0.9764705882352941,0.011764705882352941,,,-230.85661656298737,42969.26573200859,-19868.717540714482,3381.282743570395,30678.416011386696,0.03529411764705882,0.011764705882352941,0.023529411764705882,,,
110,34,34.73529411764706,5.4289282581450236,40.88235294117647,2.6026176319860013,3.235294117647059,2.132843080923474,1235.1470588235295,396.71126301531774,0.3235294117647059,0.7941176470588235,0.8529411764705882,0.08823529411764706,1.2647058823529411,0.8529411764705882,0.029411764705882353,0.029411764705882353,,6509.676530925152,42317.87573477443,-23140.85543765175,5042.1906918299355,25551.758627759446,0.029411764705882353,,0.029411764705882353,0.058823529411764705,0.029411764705882353,
1305,23,36.56521739130435,7.310180242501931,40.0,0.0,3.608695652173913,2.0391426548425735,1388.1304347826087,563.232497153531,0.34782608695652173,0.9130434782608695,1.0,,1.0869565217391304,0.9130434782608695,0.08695652173913043,,,16243.24954216577,56154.7282048702,-19028.769150585984,-7276.811926626106,42580.323316768714,,,,,,
3714,22,36.59090909090909,7.142489168010793,40.22727272727273,1.066003581778052,3.227272727272727,2.0454785953372094,1387.590909090909,545.1507139001112,0.5454545454545454,0.7727272727272727,0.5,0.13636363636363635,2.0454545454545454,0.9090909090909091,,0.045454545454545456,,-13726.036037456868,47705.43318250028,-49328.2839854187,-9959.622507765365,14011.083250238946,0.13636363636363635,,0.22727272727272727,,0.045454545454545456,
3717,29,38.96551724137931,10.015997056925237,43.206896551724135,5.101675567503201,3.5172413793103448,1.8635735574269363,1615.1724137931035,775.3515363537423,0.3448275862068966,0.6551724137931034,0.5517241379310345,0.06896551724137931,2.3793103448275863,0.6896551724137931,0.10344827586206896,,,-736.6445290846449,61456.483192148145,-33694.15813201497,-11700.960157169495,16910.413143238868,0.10344827586206896,0.06896551724137931,0.27586206896551724,,0.13793103448275862,
