summary,median_rho,median_p_value,frac_p_lt_0p05,mean_rho
resid_q75,0.3012114509590693,0.05565145445760177,0.445,0.29541103546057185
resid_mean,0.29653710356927665,0.059755803895771356,0.41,0.2962968333763434
resid_median,0.27015106783624143,0.0875929102053006,0.295,0.27192825254103054
resid_q25,0.23472720862227536,0.13963814298635543,0.165,0.226505626545128
resid_sd,0.20724396277734952,0.19355360535153288,0.04,0.20800889570066977
