o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.893,0.887,0.804,0.813,0.916,0.903,1.0,0.9
5,0.872,,0.804,,,1.0,0.775,
10,0.868,,0.804,,,1.0,0.791,
15,0.849,,0.804,,,1.0,0.802,
20,0.831,,0.804,,,1.0,0.808,
