o,cov_re,cov_std,med_w_re,med_w_std,re_w_g,std_w_g,sigma2,tau_B2
0,0.965,0.965,23.77508164592784,23.77508164592784,1.0,1.0,,
5,0.962,0.965,7.828385943443944,19.175529852941356,0.04560126949657483,0.8181818181818182,2.0182903488459694,27.35593278874583
10,0.949,0.957,6.4357298996187176,14.7728020230185,0.018975081946387796,0.6428571428571429,2.0182903488459694,27.35593278874583
15,0.929,0.942,5.608170099980754,12.111927309875938,0.013661123566056432,0.5625,2.0182903488459694,27.35593278874583
20,0.888,0.919,4.887348611603662,9.54231769593569,0.00962047561830972,0.4736842105263158,2.0182903488459694,27.35593278874583
