dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
fixedN21,0.05,0.95,10,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,15,2,9.347476602685251,0.5534611736356377,0.9969397463375662,0.05920968804315004,1.0,50,50,456
fixedN21,0.05,0.95,10,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,15,1,6.769126336545153,0.1533630647682591,0.11407129581100986,0.022656256825978077,1.0,50,50,456
fixedN21,0.05,0.95,10,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,15,3,7.6225410600806445,0.597765891385057,0.7547614815204104,0.07842081619154083,1.0,50,50,456
fixedN21,0.05,0.95,10,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,15,4,7.624141081121093,0.23075824221395005,0.481494874212598,0.030266785433096705,1.0,50,50,456
fixedN21,0.05,0.95,10,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,15,14,8.448040104186184,0.1187900750498499,0.20597374937239676,0.014061258420279856,1.0,50,50,456
fixedN21,0.05,0.95,15,15,6.800857313540843,0.22346357239295908,0.344729772500516,0.03285814744973874,1.0,50,50,456
fixedN21,0.05,0.95,15,16,8.607510690418295,0.26957472591853476,0.4406355045780728,0.03131854674529999,1.0,50,50,456
fixedN21,0.05,0.95,15,9,10.525099798255214,0.7551156326694287,1.075034989144707,0.07174427294215369,1.0,50,50,456
fixedN21,0.05,0.95,15,13,8.257657985957733,0.43826350413966325,0.7458528877054798,0.05307358392475647,1.0,50,50,456
fixedN21,0.05,0.95,15,5,8.433563375882413,0.20131241093751553,0.26877156233151117,0.023870385739106634,1.0,50,50,456
fixedN21,0.05,0.95,15,7,7.44811324418445,0.26345724693932965,1.0225426298129083,0.03537234710348145,1.0,50,50,456
fixedN21,0.05,0.95,15,6,9.219661773205063,0.2579772745150047,0.46617512993644833,0.027981208081272503,1.0,50,50,456
fixedN21,0.05,0.95,15,11,9.005249267929155,0.277708958917657,0.7571805957852712,0.03083856433676698,1.0,50,50,456
fixedN21,0.05,0.95,15,12,7.716102420641721,0.1507597428127636,0.30120442335922853,0.019538328367630125,1.0,50,50,456
fixedN21,0.05,0.95,15,10,9.83673368302484,0.2620275320153686,0.48313884866553136,0.026637656406978575,1.0,50,50,456
fixedN21,0.05,0.95,15,17,7.205598093657452,0.08782915475556087,0.09324199822560549,0.012189016597091406,1.0,50,50,456
