o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.87,0.86,0.768,0.788,0.832,0.812,1.0,0.81
5,0.843,,0.768,,,1.0,0.775,
10,0.845,,0.768,,,1.0,0.791,
15,0.836,,0.768,,,1.0,0.802,
20,0.805,,0.768,,,1.0,0.808,
