o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.802,0.783,0.75,0.688,0.728,0.7,1.0,0.708
5,0.789,,0.75,,,0.657,0.431,
10,0.674,,0.75,,,0.64,0.607,
15,0.649,,0.75,,,0.62,0.581,
20,0.623,,0.75,,,0.607,0.638,
