method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n,alpha,nominal_coverage,coverage_se_plot,source
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.175,0.825,0.0132051126462442,permuted_rows
Std-CP,10,0.791,0.4067978422810087,0.0128576436410409,145677.50178585213,186373.4665312916,139453.72218214226,1000,0.175,0.825,0.0128576436410409,permuted_rows
Std-CP,15,0.802,0.3986915536538929,0.0126014284904529,144517.88678443074,179260.48622427863,128315.47886392105,1000,0.175,0.825,0.0126014284904529,permuted_rows
Std-CP,20,0.808,0.3940701603665156,0.0124553602918582,141163.27021753252,177331.36977883065,127817.47682495418,1000,0.175,0.825,0.0124553602918582,permuted_rows
Subsampling,0,0.9,0.3001501125938321,0.0094868329805051,253270.9815687305,301013.2822550895,217672.20666152705,1000,0.175,0.825,0.0094868329805051,permuted_rows
Donor-HCP,0,0.926,0.2619018758859749,0.0082779224446717,281735.3968195722,284106.47171909176,135634.08347839996,1000,0.15,0.85,0.0082779224446717,permuted_rows
Donor-HCP,5,0.899,0.3014795016081357,0.0095288509275777,215532.90964130932,227670.74120384813,107513.4276332611,1000,0.15,0.85,0.0095288509275777,permuted_rows
Donor-HCP,10,0.881,0.3239505270005652,0.0102390917565963,189575.55034791745,202644.26708951584,95567.1186652413,1000,0.15,0.85,0.0102390917565963,permuted_rows
Donor-HCP,15,0.868,0.3386601403925338,0.0107040179372047,175545.29813512895,187809.36898841223,88181.7151542484,1000,0.15,0.85,0.0107040179372047,permuted_rows
Donor-HCP,20,0.849,0.3582280381646965,0.0113224997240008,160823.10438151937,171720.84410584776,79629.29584100068,1000,0.15,0.85,0.0113224997240008,permuted_rows
HCP,0,0.917,0.2760202658994212,0.0087241618508599,263034.835894824,267002.9398045729,125696.63287036816,1000,0.15,0.85,0.0087241618508599,permuted_rows
Pooled-Income-Quantile,0,0.834,0.372266816386557,0.0117662228433767,151975.00000000035,151975.0000000004,5.823678659000281e-11,1000,0.15,0.85,0.0117662228433767,permuted_rows
Pooled-Income-Quantile,5,0.834,0.372266816386557,0.0117662228433767,151975.00000000035,151975.0000000004,5.823678659000281e-11,1000,0.15,0.85,0.0117662228433767,permuted_rows
Pooled-Income-Quantile,10,0.834,0.372266816386557,0.0117662228433767,151975.00000000035,151975.0000000004,5.823678659000281e-11,1000,0.15,0.85,0.0117662228433767,permuted_rows
