o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,1.0,1.0,0.91,0.902,1.0,1.0,1.0,1.0
5,1.0,,0.91,,,1.0,0.775,
10,0.986,,0.91,,,1.0,0.907,
15,0.954,,0.91,,,1.0,0.861,
20,0.92,,0.91,,,1.0,0.907,
