o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,,,198000.0,244450.90025241533,,,,
5,,,198000.0,,,,143962.1087971392,
10,583774.3955360032,,198000.0,,,,221753.96208609408,
15,319866.9132897327,,198000.0,,,,180639.4616603097,
20,232507.41128355882,,198000.0,,,,203766.77331818658,
