o,Donor-HCP,HCP,Pooled-Income-Quantile,Pooling,Repeated,S-HCP,Std-CP,Subsampling
0,0.923,0.915,0.855,0.825,0.958,0.904,1.0,0.897
5,0.906,,0.855,,,0.844,0.849,
10,0.906,,0.855,,,0.855,0.852,
15,0.894,,0.855,,,0.862,0.862,
20,0.88,,0.855,,,0.858,0.848,
